data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSAMXG00000000001	2.78603357040294	2.39660311000575	2.53154746087791	0.533466094408494	1.49373477813329	1.72004017824893
ENSAMXG00000000002	1.89326272571729	1.2441183157097	2.40379385756846	0.0212989794369122	1.20153330972446	2.9667721044279
ENSAMXG00000000003	4.79302099189255	0.114876157155783	0.903666641409551	1.14601684626635	0	2.50889941018798
ENSAMXG00000000004	2.14850632454048	0	4.34869252849392	0	0	0
ENSAMXG00000000005	2.87341516146073	0.199011047293174	0.807764812992418	0	0.328957739212713	0.285662764348288
ENSAMXG00000000006	0	0	0	0	0	1.43814885559619
ENSAMXG00000000007	3.55438924748404	0	0	0	0	0
ENSAMXG00000000008	6.40864221592859	0	0	0	0	0
ENSAMXG00000000009	3.59418926664946	2.29299753340314	4.23480393775168	0.891294086100448	3.74221819473921	2.99514910076306
ENSAMXG00000000010	0	0	0	0.442610541908133	0	1.9912096603077
ENSAMXG00000000011	3.52654029541809	1.52770737227659	5.93132409770419	4.20949566482919	0	6.84876118285277
ENSAMXG00000000012	1.97199176123306	0.954485985904924	1.77385680796333	1.17307546239745	10.7036332114912	3.07839123528547
ENSAMXG00000000013	0.243049883828449	0.162167062469311	1.05411525056275	0	0	2.17300365116802
ENSAMXG00000000014	1.41565107643068	0.904690525680729	5.35667279695196	0	0	1.1578058626043
ENSAMXG00000000015	1.01866460455711	0	0.367892758438676	0.234032465714674	0	0
ENSAMXG00000000016	4.17191860115909	0	0	0	0	0
ENSAMXG00000000017	1.69089259289629	2.39751491923279	4.21679362409136	0.497101547291818	4.46139514928333	1.26562176438497
ENSAMXG00000000018	4.41181849434432	4.80757282461533	6.24687695212221	2.25226655163536	7.23748113283795	5.39497399755702
ENSAMXG00000000019	2.14423471195725	3.23314400207485	4.26751581761774	1.06336604180101	4.1271116473352	3.0547899016304
ENSAMXG00000000020	1.9101026048111	0.534807125523201	2.78628551555025	0	0	1.5264225269801
ENSAMXG00000000021	2.62914070529408	0.164666171672949	1.70448645786165	0	0.638375556214295	0.553611985558201
ENSAMXG00000000022	0	0.468565000802449	0	0	0	1.31844734190512
ENSAMXG00000000023	3.44218511817561	3.12449060873294	6.64733236117169	1.30040631308251	2.13238529025733	2.21170106877995
ENSAMXG00000000024	0	0	1.20768358964454	1.33728838248404	0.575980137509172	3.43387255273288
ENSAMXG00000000025	5.15943098845684	0	1.81038874064175	0.864874378083235	0	1.99341086564679
ENSAMXG00000000026	1.61451575405068	5.70944604336675	3.37833740492704	0	9.82705642390264	0.175860864341936
ENSAMXG00000000027	1.545880475925	2.08730721112906	2.53610849839132	0.312861553317078	1.20289106130363	2.56226077515513
ENSAMXG00000000028	6.14999330095428	5.40365953330861	4.09091343864112	1.54121466870312	9.77923638727903	3.39977071737126
