data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSMUSG00000000001	3.31682492469878	3.42165572447255	5.57915215918848	3.9058183488759	2.93991141713657	4.77691881288071
ENSMUSG00000000028	0.586105350081107	1.22169060010413	0.516429864501267	0	0.539857325242027	4.98218221581826
ENSMUSG00000000031	0	2.53456054393512	0	0	7.83891273792973	0.0484213645848287
ENSMUSG00000000037	0	0	0	0	0	4.07006506457465
ENSMUSG00000000049	0	0	3.26969125300117	9.35725265489678	0	6.51812617218159
ENSMUSG00000000056	3.93078279140407	3.74550015347097	4.52663439433378	3.8113619035228	6.36822499363174	2.24280757309443
ENSMUSG00000000058	3.61573009248715	4.62852258483956	3.85348425059525	0	3.70219799851648	0.143904048136301
ENSMUSG00000000078	3.38425259459072	3.74309057496141	3.57946979615068	0.570810400267021	3.22009558798218	1.52164097096254
ENSMUSG00000000085	4.31912433178698	2.72703269268211	4.35776609666974	2.19379264458349	5.01034894546798	7.33418243454161
ENSMUSG00000000088	6.25325873514148	6.43972565597482	9.04235758334253	7.03892560894813	9.83490372278605	8.42058899007457
ENSMUSG00000000093	0	0.394669220331163	3.30735871830575	0	0	0.245561497238357
ENSMUSG00000000094	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	2.11091351593884
ENSMUSG00000000120	0.465760956297457	0	0	0.151437356594682	0	4.01774735126505
ENSMUSG00000000125	0.924546304172918	0	0	0	0	4.91678918173187
ENSMUSG00000000126	2.6804656062925	0.545941614152077	0	0	2.61522722166012	0
ENSMUSG00000000127	2.70489966542217	2.11656096889273	1.77811787049703	1.11938547272272	2.38995341775674	4.85552659125332
ENSMUSG00000000131	4.48421947370764	3.04989001610464	4.80653718138876	3.70663270321517	4.42535951696863	8.41917842754268
ENSMUSG00000000134	3.39132573710388	2.2474929141716	3.71782686239627	2.95118396043737	2.16511823214642	4.12735866669869
ENSMUSG00000000142	2.88364620579749	0	0	1.60455682690574	0.987421310857963	1.58481929355211
ENSMUSG00000000148	2.95232619435674	1.57082696367239	2.60361925388895	1.93402240907788	1.52306161581559	4.46353747429146
ENSMUSG00000000149	4.29580398678556	3.46926902090865	5.85218683325196	5.19971676441463	3.85648014715561	5.08103295546549
ENSMUSG00000000154	0	0.572192368504063	8.95062130575702	5.87870880067638	0	4.68267415835689
ENSMUSG00000000157	0	0	1.02361024674991	0.80779032948812	0	0
ENSMUSG00000000159	0	0	6.17589204787495	3.73314750580217	0	0
ENSMUSG00000000167	1.75723714480928	0	1.44998629787217	0	0	5.72100286054931
ENSMUSG00000000168	4.84912794458271	4.46305857433158	6.77974174614253	4.11061639798233	6.742098553395	6.41999682558419
ENSMUSG00000000171	4.91811506327495	5.9759878849941	8.18099774362839	6.34761531257502	7.70050230773918	5.4227359402107
ENSMUSG00000000183	0	0	0	0	1.87199294995927	0
ENSMUSG00000000184	4.49376661550266	2.82535568150005	2.73546602455913	0.855079273693866	2.39058846179345	1.90191556259633
