data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSRNOG00000000001	0	0	0	0	0	0
ENSRNOG00000000007	5.86610966005832	0	0	0	0	3.57977777188719
ENSRNOG00000000009	0	0	0	0	0	6.04856818254284
ENSRNOG00000000010	3.14588823200373	0	0	0	0	0
ENSRNOG00000000012	1.21646050264211	3.38022161024639	0	0	3.41734992561067	0
ENSRNOG00000000017	0	0	2.88266529416914	0	0	0.263028036127403
ENSRNOG00000000021	3.48855688447807	2.37934952494742	3.45776472591133	1.9954339632264	2.18239003999459	4.72395856595405
ENSRNOG00000000024	4.21483827690108	2.65070930276729	2.9427396794191	5.09214807719961	2.69659880808572	0.692111583472188
ENSRNOG00000000033	5.62526971363611	2.83204546101367	0.339910855598312	0	4.67838904984493	0
ENSRNOG00000000034	1.20742014375706	0.0108146598945945	5.45093475257813	2.31164853480032	0	2.68259289470515
ENSRNOG00000000036	2.74998723205756	0	4.04891153042688	0.0192273108658879	0	0
ENSRNOG00000000040	1.61293239142826	0.907241872386051	3.32471897628693	0	0	0
ENSRNOG00000000041	1.11624026103584	0	5.40415016231383	5.17423693195587	0	0
ENSRNOG00000000042	3.70973462586728	1.64748385339122	4.06547646291382	1.66827009031905	2.69690448218994	6.39764140897964
ENSRNOG00000000043	4.50313379731223	3.88248352082168	5.43494838581813	3.77877636263412	4.69210496900286	2.02279079518294
ENSRNOG00000000044	4.4407462218243	2.92005475495094	3.94979036805496	2.08223889362327	3.56982896242732	9.00057128757096
ENSRNOG00000000047	4.41511110727621	1.86697017655873	6.65293212890166	4.1305137141427	2.11579818472719	4.43606263990748
ENSRNOG00000000048	4.52722484232341	2.43813279653716	5.16829886057082	3.88027319841358	2.71344695149232	5.4008658041513
ENSRNOG00000000053	0	0	0	11.0763314245287	0.326289213271192	0
ENSRNOG00000000054	6.30351210173929	1.48829935630094	3.47607493860866	1.01485329016905	3.49249729056338	10.030816086699
ENSRNOG00000000060	7.49244221538586	0	0	0	0	0.60657929124036
ENSRNOG00000000062	3.68872412090235	2.26235686560769	3.84294935756719	1.79495950325118	3.00917049223329	1.5557862487902
ENSRNOG00000000064	8.03339346769473	8.61371020263793	9.78606979794386	7.36989707378766	11.6095280795531	10.2635712097929
ENSRNOG00000000066	3.60467423975915	2.08192430826931	3.59150370730169	2.42338596576945	3.38802561056562	5.89620235583249
ENSRNOG00000000068	4.52961835619246	4.4109753984665	6.05629686591528	5.00015726753891	7.07328184178173	3.51265946044907
ENSRNOG00000000070	2.59883171086192	1.10832676870817	2.10040106176366	1.42956727531512	0.846168591864304	5.07593759574142
ENSRNOG00000000073	4.11380038958314	2.96466674596185	4.79134160110019	5.39809904244667	4.63974891365375	5.02560957816863
ENSRNOG00000000075	3.18102139681128	1.26702006205329	2.37682819201804	1.56401285904428	1.95279382688705	4.14898173363537
