Ens.ID	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver	TPM.kidney
ENSGALG00000000003	7.515212	0.037955	16.913084	0.009453	2.952644	0.859513	0.242343	0.004431	0.197873
ENSGALG00000000004	27.458417	4.11027	21.800133	20.865727	18.719922	19.618375	23.901309	2.94771	6.550283
ENSGALG00000000011	32.813573	6.43048	17.899716	12.12448	10.17168	9.020997	13.546713	2.263867	5.274064
ENSGALG00000000013	58.521812	5.26131	10.885835	7.050498	18.83304	33.827756	29.706553	12.490277	9.546499
ENSGALG00000000014	10.21038	1.027624	1.637705	0.078928	0.260116	0.552767	0.440909	0.480141	0.468964
ENSGALG00000000017	2.71192	24.856642	11.941726	15.027598	32.272326	13.047733	13.803279	12.78398	9.326934
ENSGALG00000000019	13.039182	3.242043	119.928212	5.28292	11.078019	30.496421	19.804091	7.476945	17.360676
ENSGALG00000000033	134.46523	57.455803	51.797121	54.673759	59.323356	51.237239	64.145987	28.950109	41.608864
ENSGALG00000000038	0.527756	4.880713	0	0	0.082974	0.100812	0.46267	0.023271	0.01485
ENSGALG00000000040	7.45123	158.092096	11.53966	83.495941	35.32752	8.903155	6.506247	172.059306	78.348756
ENSGALG00000000041	163.89495	17.612072	103.74319	17.659965	84.052864	103.610023	193.454368	39.082249	32.442193
ENSGALG00000000043	113.92614	41.793396	128.604079	83.395551	126.944973	122.642517	146.395824	90.259484	67.409815
ENSGALG00000000044	0.421219	0	0.357787	0	0.073064	0.192445	0.009464	0.036759	0.021719
ENSGALG00000000048	2.508639	2.607157	5.936316	0.069666	95.432341	4.131096	6.742111	1.561414	70.935859
ENSGALG00000000049	19.204115	0.067838	42.49471	0.393707	0.240549	0.573338	0.231983	0.061049	0.278599
ENSGALG00000000054	184.416434	42.757366	100.645353	21.675295	43.919859	60.94494	74.997739	96.99906	118.032221
ENSGALG00000000055	50.187155	27.961648	81.292103	47.169036	76.206951	92.722025	93.405618	45.388396	60.944267
ENSGALG00000000056	9.979713	0.421405	4.795104	7.840925	15.124442	10.339966	40.082529	2.976312	0.564251
ENSGALG00000000059	3.06188	0.173711	594.402799	301.194997	3.909666	4.628581	0.243006	0.073601	0.73314
