Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSDARG00000000001	3.769562	10.116667	2.900518	4.928715	9.997086	2.103418	1.758757	2.857552	1.525227	11.309816	8.05281
ENSDARG00000000002	5.534243	3.478817	5.927779	7.888288	1.135006	12.680327	1.407944	0.396966	0.928491	0.3171425	2.72959
ENSDARG00000000018	12.499272	29.69936	31.162046	14.115008	31.553453	5.889612	5.820386	1.689867	4.582167	30.090928	50.726882
ENSDARG00000000019	29.915788	100.081513	65.704406	48.734851	67.733941	39.67247	16.596478	10.827639	14.921609	77.3282835	109.387585
ENSDARG00000000068	15.260365	14.255121	12.479173	15.110463	51.869898	4.942623	132.741936	2.897475	5.536059	22.812119	18.884627
ENSDARG00000000069	63.804409	47.097147	110.361772	70.04597	137.063651	17.223247	229.682463	246.01664	17.460978	306.5058995	41.289699
ENSDARG00000000086	6.375184	40.74818	19.436676	9.771428	11.436435	8.420968	8.474541	3.624846	3.303045	8.7488195	34.12696
ENSDARG00000000103	15.765589	68.94675	70.721046	11.40043	28.152414	34.929531	5.324459	7.293996	8.058578	22.2722915	48.171171
ENSDARG00000000142	2.255983	20.384525	4.892489	3.877682	5.104154	3.401661	1.564031	0.606312	0.966783	1.80686	8.973175
ENSDARG00000000151	7.267792	20.207731	4.052916	12.687355	21.57437	7.165719	5.812911	1.874961	2.832857	14.3428115	10.341628
ENSDARG00000000161	2.463848	17.842632	1.217167	27.582172	0.387057	0.168499	1.104162	0.054903	0.44568	0.106203	2.356166
ENSDARG00000000175	1.06215	2.932978	14.117831	2.342963	0.786652	0.110148	0.290235	0.023726	0.975159	0.5081025	0.524184
ENSDARG00000000183	4.319132	47.921048	7.32739	7.651943	11.201512	8.127688	1.372894	0.065075	1.261564	23.4176205	12.139565
ENSDARG00000000189	4.461278	29.669626	5.47598	9.71911	4.660357	7.834271	2.493177	1.379441	3.360413	2.99347	1.918912
ENSDARG00000000212	2.843454	7.746323	174.242981	561.874803	0.670364	1.305203	353.44381	0.58582	14.472158	0.174522	3.258535
ENSDARG00000000229	1.542951	7.122887	9.741959	4.465414	2.771641	1.410449	2.052801	0.587484	0.727212	0.237378	7.604308
ENSDARG00000000241	11.786121	23.964526	24.727923	38.276482	20.20291	29.026515	54.859301	12.028369	3.724094	0.697854	8.667961
ENSDARG00000000324	13.052199	37.18287	10.687132	18.947854	23.243353	17.509845	11.975191	3.40592	11.429599	10.7554235	36.038606
ENSDARG00000000349	0.931566	0.777346	2.647347	0.79512	3.240907	0.18924	0	0	0.267206	0.090821	158.62804
ENSDARG00000000369	11.866269	0.183226	9.950209	9.180305	11.62802	10.967667	0.600178	0.071027	15.22616	0.1939285	6.721956
ENSDARG00000000370	4.656521	101.577554	15.280956	3.09974	3.881166	4.879068	0.397944	0.027196	1.746058	0.6316175	16.137389
