Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSMPUG00000000002	0	0	0	0.29	0	0	0
ENSMPUG00000000003	0	0.28	0	0	1	0	27.32
ENSMPUG00000000004	8.56	3.73	9.66	17.15	1.21	1.79	4.59
ENSMPUG00000000005	0	0	0	0	0	0	0
ENSMPUG00000000006	1.27	1.19	0	0.42	2.1	0.49	0
ENSMPUG00000000007	15.43	29.08	29.77	18.7	40.28	88.61	2.33
ENSMPUG00000000008	3.46	9.72	6.18	4.62	11.53	20.03	2.7
ENSMPUG00000000009	33.97	35.4	37.01	18.37	29.64	100.35	30.01
ENSMPUG00000000010	16.84	12.42	15.15	10.79	20.11	28.32	34.61
ENSMPUG00000000011	314.97	83.27	63.18	50.24	135.85	79.47	82.22
ENSMPUG00000000012	0.78	0.21	5.74	0.86	1.43	1.27	0.38
ENSMPUG00000000013	0	0.56	0	0	0	0	0
ENSMPUG00000000014	202.92	237.55	62.06	33.28	193.55	130.38	76.28
ENSMPUG00000000015	0	0	0	0	0.32	0	28.47
ENSMPUG00000000016	57.73	15.81	34.9	13.63	38.6	25.77	23.01
ENSMPUG00000000017	30.34	31.33	19.93	8.13	14.53	44.26	45.42
ENSMPUG00000000018	15.14	15.16	13.15	9.54	19.72	7.8	19.57
ENSMPUG00000000019	20.76	2.91	0.13	0	0	0	121.73
ENSMPUG00000000020	76.7	31.9	26.63	18.18	30.95	16.03	27.57
ENSMPUG00000000021	113.15	48.36	28.49	5.49	17.27	6.41	4.69
ENSMPUG00000000022	32.84	58.53	102.07	393.99	59.65	32.13	252.66
ENSMPUG00000000023	48.97	19.32	15.25	5.7	25.32	16.09	2.51
ENSMPUG00000000024	65.97	53.34	111	34.77	85.71	11.78	32.4
ENSMPUG00000000025	194.34	129.84	35.63	9.08	62.02	42.54	46.26
ENSMPUG00000000026	2.15	0.53	15.5	0.68	5.14	0.26	39.89
ENSMPUG00000000027	8.44	14.18	15.93	5.22	7.68	12.07	21.66
ENSMPUG00000000028	9.65	9.95	9.96	3.74	13.39	7.27	86.8
ENSMPUG00000000029	40.24	30.36	50.26	27.84	39.33	15.47	26.62
ENSMPUG00000000030	0.22	0	0	0	0	0.02	2.36
ENSMPUG00000000031	0	0	0	0	0	0	0
ENSMPUG00000000032	82.7	90.82	56.79	29.33	62.18	136.42	97.94
ENSMPUG00000000033	55.33	10	6.35	2.66	18.09	3.49	20.94
ENSMPUG00000000034	41.36	121.35	51.76	38.32	98.33	117.58	40.89
ENSMPUG00000000035	13.56	43.22	13.9	6.46	10.52	78.21	5.75
ENSMPUG00000000036	29.46	17.4	28.39	15.31	24.49	18.11	137.5
ENSMPUG00000000037	19.06	22.33	9.15	9.45	22.35	20.03	31.47
ENSMPUG00000000038	5.22	10.2	203.56	132.54	66.69	6.27	14.59
ENSMPUG00000000039	0.26	0.08	0.23	0	0.07	0	1.5
ENSMPUG00000000040	12.95	6.56	10.86	4.54	9.92	6.86	50.96
ENSMPUG00000000041	0.23	0	520.57	0.7	0.1	0.45	0.44
ENSMPUG00000000042	0.46	2.85	14.5	5.62	4.72	0.75	1.45
ENSMPUG00000000043	2.34	1.96	2.09	10.78	23.29	1.02	0.59
ENSMPUG00000000044	94.09	56.18	17.11	4.88	81.73	21.16	14.97
ENSMPUG00000000045	62.42	24.23	65.43	11.53	29.76	14.26	132.89
ENSMPUG00000000046	6.19	117.94	4.72	5.1	427.12	33.4	7.27
ENSMPUG00000000047	4.02	640.61	2.79	20.45	2274.57	154.83	2.42
ENSMPUG00000000048	120.1	0.21	0.07	0	1.39	0.11	0.55
ENSMPUG00000000049	0	0	0	0	0	0	1.03
ENSMPUG00000000050	0	0	0	0	0	0	0
ENSMPUG00000000051	5.04	8.77	0.11	0	0.05	6.81	2.42
ENSMPUG00000000052	0	0	0	0	0	0	0
ENSMPUG00000000053	0	0	0	0	0	0	0
ENSMPUG00000000054	0	0	0	0	0	0	3.12
ENSMPUG00000000055	0.93	0.24	1.06	0.34	0	0	59.15
ENSMPUG00000000056	64.47	59.1	137.96	204.64	134.09	27.63	54.92
ENSMPUG00000000057	0	0.12	340.53	0.08	0.1	0.1	0.38
ENSMPUG00000000058	0	0	4.14	0	0	0.11	0
ENSMPUG00000000059	0	0	0	0	0	0	0
ENSMPUG00000000060	81.17	45.42	31.19	12.81	114.03	27.55	229
ENSMPUG00000000061	0	0	0	0	0	0	0
ENSMPUG00000000062	0	0	0	0	0	0	0
