Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSORLG00000000001	18.7973	18.9949	10.4737	73.4322	15.1565	14.1294	29.9538	4.31295	5.07171	1.88199	13.4092
ENSORLG00000000002	13.59814	50.9264	24.3744	13.93482	13.01308	11.59994	10.78211	1.49014	12.05462	5.564349	15.24406
ENSORLG00000000003	4.54088	76.5274	0.17853	0.833211	0.363503	1.4768	0.939813	0	0.102946	0	1.24612
ENSORLG00000000004	0.458982	0.454064	0.186509	22.4402	0.253071	0.30851	0	0	0	0.0397715	0
ENSORLG00000000005	6.45225	15.6864	23.7175	11.677	12.7219	6.4516	11.5203	6.44015	2.39857	7.50285	25.8158
ENSORLG00000000006	5.34637	13.075187	12.29671	7.52878	6.55574	3.98948	5.954577	2.15983	0.597098	7.3636396	12.753939
ENSORLG00000000007	5.48359	33.4597	5.96289	8.46234	5.58059	7.53199	8.37939	1.36533	2.20743	15.5809	13.827
ENSORLG00000000008	13.5349	26.9634	29.2459	17.3186	10.1277	15.5484	11.7436	9.55546	8.88627	11.4093	49.5654
ENSORLG00000000009	11.356466	2.0022	0.497108	0.683654	1.397734	26.36413	0.862643	18.006562	17.760794	0.183259	1.43545
ENSORLG00000000010	5.11195	10.0084	7.57862	16.1974	9.09889	8.2054	70.9742	40.5908	0.904474	2.63474	35.1627
ENSORLG00000000011	0	0.0790475	0.0644499	0	0.351792	0.0535133	0	0	0	0.0789432	1.8301
ENSORLG00000000012	0.107134	0.417512	0.304109	0.0821667	0.118686	0.108292	3.809028	2.761286	0.025061	2.028398	2.313317
ENSORLG00000000013	9.10065	90.9396	6.57497	4.8472	5.55038	9.72351	7.76232	2.10509	0.898249	7.95196	42.3477
ENSORLG00000000014	181.273	119.491	274.929	368.159	228.411	163.504	351.913	105.636	121.805	20.0557	152.896
ENSORLG00000000016	0.787862	0.404257	1.87335	6.55272	0.6194	0.513636	2.2755	0.845461	0.176478	0.0331852	0.698523
ENSORLG00000000017	0.0512432	0.0766137	0.0623277	7.6718	0.0638904	0.0259044	0	0.295576	0.0359558	0.0377255	1.44224
ENSORLG00000000018	0	0	2.14809	7.83132	0	0	0	0	0	0	1.44962
ENSORLG00000000019	0	0	0	4.61131e-09	0	0	0	0.276286	0	0	0
ENSORLG00000000020	0.701676	0.36692	0.196298	0	0.205431	0.668743	0.425222	0	0.218873	0.216869	1.00826
ENSORLG00000000021	2.64066	1.3101	0	45.727	5.58685	3.85155	19.1206	0.435312	1.03039	0.148762	2.57946
ENSORLG00000000022	4.94738	18.3398	8.73149	12.2894	6.15787	5.69121	3.18643	6.99348	0.820679363	0.25789	12.26139
ENSORLG00000000024	4.68771	12.2294	4.16332	2.34926	1.71453	2.61864	2.7106	2.61202	6.30176	4.46649	11.4874
ENSORLG00000000025	2.00337	0.852058	0.116152	18.8689	1.344	0.385204	4.17252	0.0849137	0.134004	0.0241576	0.503009
ENSORLG00000000026	2.271476	5.678	0.241829	3.383001	1.650836	3.19107	0.842506	0	2.21983	1.824114	5.14394
ENSORLG00000000027	3.39962	9.01939	8.14475	12.2133	6.19717	7.18847	50.1316	4.6194	0.754661	0.504304	11.1181
ENSORLG00000000029	7.62294	16.9257	17.5431	15.2881	9.25174	13.6541	24.3021	4.71527	3.56144	6.81089	16.1192
ENSORLG00000000030	8.90287	22.6224	7.06134	31.9071	13.36795	30.8721	15.40602	3.356281	1.807384	1.955765	16.26421
ENSORLG00000000031	99.4594	113.134	28.6508	40.3136	32.5005	151.144	32.1241	11.1683	140.938	30.1041	25.4695
ENSORLG00000000032	78.2939	282.738	79.1769	184.343	61.9427	86.4645	104.937	15.8684	6.93247	3.37902	168.569
ENSORLG00000000033	19.335	28.8591	21.5968	172.866	23.7583	44.9475	230.18	3.74718	7.0535	1.67621	16.8353
ENSORLG00000000034	19.5591	58.4231	45.5164	95.2909	22.5253	33.104	131.203	21.5034	5.06529	28.4286	35.937
ENSORLG00000000035	8.67344	10.2005	7.03859	44.8281	9.22465	10.3066	27.7299	2.34978	5.82808	0.525836	6.18358
ENSORLG00000000036	3.565683	36.9319	0.782857	0.15965	0.259417	0.998845	0.134281	0.0923879	0.0711395	0.0341901	0.61754898
ENSORLG00000000038	0.607664	30.0033	0.493117	0.92901	0.28014	4.09197	0.521864	0.0600248	0.0474026	0.118191	1.34655
ENSORLG00000000039	11.344	19.6443	25.7314	3.63446	26.8927	11.3154	37.8404	91.7794	5.19434	11.2037	32.1139
ENSORLG00000000040	3.67867	100.868	0.429573	0.304907	0.0733743	0.17851	6.03921	0.0261199	0.0206507	4.34057	10.4675
ENSORLG00000000041	1.23325	2.21951	35.0567	4.67233	10.357	0.718606	2.83384	0.166906	0.161323	8.14905	40.3871
ENSORLG00000000043	1.70307	17.6466	2.07615	1.07184	2.18794	3.05056	3.63414	0	0	0.149917	3.03825
ENSORLG00000000044	1.78225	14.3753	4.96296	3.7721	1.47498	5.77867	12.7513	0.113483	0.178841	0.098135	3.77726
ENSORLG00000000045	10.8447	22.196	6.48987	9.83749	6.9183	9.03641	7.72419	2.86073	10.2554	1.8832	17.464
ENSORLG00000000046	139.733	258.586	215.631	202.292	163.363	160.988	265.856	72.884	69.9974	213.657	57.7264
ENSORLG00000000049	6.53814	34.1403	5.57422	4.47957	4.4422	6.23751	1.03767	0.963615	1.49356	1.17067	1.94601
ENSORLG00000000050	0.328042	1.41591	0.133027	0.0419289	0.0302836	0.29474	0	0.0323602	0.281369	0.0629164	2.32183
ENSORLG00000000051	0.138153	0.615392	0.16834	0	1.60028	0	0	0	0.194145	0.0334012	2.46108
