Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000001	0.36	0.06	863.44	4.18	0.54	0.42	1.25
ENSOCUG00000000003	16.83	0.52	3.45	45.51	4.42	0.27	4.76
ENSOCUG00000000004	23.44	12.61	9.66	6.64	14.38	4.02	12.75
ENSOCUG00000000005	7.94	2.8	17.52	12.1	16.73	17.53	50.33
ENSOCUG00000000006	31.22	28.59	34.56	5.08	36.41	5.7	14.89
ENSOCUG00000000007	4.8	15.54	2.77	2.71	50.43	6.42	15.65
ENSOCUG00000000008	0.5	0.47	0.3	0.3	0.66	0.24	568.93
ENSOCUG00000000009	240.25	62.59	280.24	123.78	237.49	51.73	73.89
ENSOCUG00000000010	9.98	2.25	11.83	15.84	10.83	2.25	11.54
ENSOCUG00000000012	34.84	209.99	160.17	98.44	49.93	51.17	16.72
ENSOCUG00000000013	8.63	1.23	4.83	4.9	7.77	0.62	51.66
ENSOCUG00000000014	2356.14	442.57	7291.06	12185.71	6509.14	371.68	1864.13
ENSOCUG00000000015	23.77	61.73	25.76	5.94	18.28	467.92	29.07
ENSOCUG00000000016	0.66	0.39	1.1	0.82	0.97	0.51	53.44
ENSOCUG00000000017	12.53	3.76	5.55	1.39	5.91	2.72	191.05
ENSOCUG00000000018	55.58	41.76	63.67	53.36	68.08	53.6	31.46
ENSOCUG00000000020	6.98	3.07	13.27	10.48	13.53	6.31	14.2
ENSOCUG00000000021	95.6	14.58	26.44	11.85	28.47	15.8	36.63
ENSOCUG00000000022	32.77	18.45	38.03	25.37	21.82	13.77	73.96
ENSOCUG00000000023	9.71	80.33	31.61	31.33	22.83	1.44	6.71
ENSOCUG00000000024	9.36	1.6	2.79	1.88	8.42	1.31	10.52
ENSOCUG00000000025	0.67	4.28	22.24	18.37	156.22	0.91	9.81
ENSOCUG00000000026	0.57	0	1.24	2.69	0.11	0	19.67
ENSOCUG00000000028	12.31	4.97	133.52	8.47	51.81	27.19	11.98
ENSOCUG00000000030	10.18	5.44	19.29	15.07	16.56	3.55	7.14
ENSOCUG00000000031	1.17	0.75	0.52	0.76	4.64	0.41	66.21
ENSOCUG00000000032	1.12	0.48	3.14	3.63	1.8	0.12	0.99
ENSOCUG00000000034	11.15	4.72	8.4	8.41	8.99	10.75	10.77
ENSOCUG00000000036	0	0.08	0	0	0	0	0
ENSOCUG00000000038	8.31	3.21	16.97	6.87	15.7	6.54	10.36
ENSOCUG00000000040	20.77	12.03	19.83	14.03	20.17	11.54	49.55
ENSOCUG00000000041	0.03	169.12	0.09	0.06	0.23	0.14	0.24
ENSOCUG00000000044	0.2	0	0.06	0	0.07	0.07	81.7
ENSOCUG00000000045	0.05	0.16	0.25	0.41	0.4	0.06	0.07
ENSOCUG00000000046	0.25	0	0	0	0	0	0
ENSOCUG00000000049	2.11	0.74	0.44	80.37	8.21	1.04	0.14
ENSOCUG00000000051	4.82	1.35	31.01	8.51	6.57	14.3	7.14
ENSOCUG00000000052	0	0	0	0	0	0	0.23
ENSOCUG00000000054	0	0	0	0	0	0	0
ENSOCUG00000000055	1.59	0.63	0.17	0.3	3.5	0.29	394.28
ENSOCUG00000000057	87.9	15.92	66.74	49.98	49.98	55.19	110.07
ENSOCUG00000000059	21.79	7.15	11.35	6.37	11.78	7.01	14.42
ENSOCUG00000000060	104.14	18.96	56.28	45.74	56.15	28.99	378.09
ENSOCUG00000000061	0.54	0.13	0.85	0.59	4.27	0.42	3.74
