Gene stable ID	Transcript stable ID
ENSAMXG00000000001	ENSAMXT00000000001
ENSAMXG00000000002	ENSAMXT00000000013
ENSAMXG00000000003	ENSAMXT00000000002
ENSAMXG00000000004	ENSAMXT00000000003
ENSAMXG00000000005	ENSAMXT00000000004
ENSAMXG00000000006	ENSAMXT00000000005
ENSAMXG00000000007	ENSAMXT00000000009
ENSAMXG00000000008	ENSAMXT00000000017
ENSAMXG00000000009	ENSAMXT00000000006
ENSAMXG00000000010	ENSAMXT00000000021
ENSAMXG00000000011	ENSAMXT00000000007
ENSAMXG00000000012	ENSAMXT00000000014
ENSAMXG00000000013	ENSAMXT00000000008
ENSAMXG00000000014	ENSAMXT00000000010
ENSAMXG00000000015	ENSAMXT00000000012
ENSAMXG00000000016	ENSAMXT00000000020
ENSAMXG00000000017	ENSAMXT00000000032
ENSAMXG00000000018	ENSAMXT00000000011
ENSAMXG00000000019	ENSAMXT00000000019
ENSAMXG00000000020	ENSAMXT00000000015
ENSAMXG00000000021	ENSAMXT00000000016
ENSAMXG00000000022	ENSAMXT00000000018
ENSAMXG00000000023	ENSAMXT00000000026
ENSAMXG00000000024	ENSAMXT00000000022
ENSAMXG00000000025	ENSAMXT00000000029
ENSAMXG00000000026	ENSAMXT00000000023
ENSAMXG00000000027	ENSAMXT00000000024
ENSAMXG00000000027	ENSAMXT00000000027
ENSAMXG00000000028	ENSAMXT00000000025
ENSAMXG00000000029	ENSAMXT00000000028
ENSAMXG00000000030	ENSAMXT00000000031
ENSAMXG00000000031	ENSAMXT00000000030
ENSAMXG00000000032	ENSAMXT00000000052
ENSAMXG00000000033	ENSAMXT00000000033
ENSAMXG00000000034	ENSAMXT00000000034
ENSAMXG00000000035	ENSAMXT00000000036
ENSAMXG00000000036	ENSAMXT00000000035
ENSAMXG00000000037	ENSAMXT00000000041
ENSAMXG00000000038	ENSAMXT00000000039
ENSAMXG00000000039	ENSAMXT00000000037
ENSAMXG00000000040	ENSAMXT00000000043
ENSAMXG00000000041	ENSAMXT00000000065
ENSAMXG00000000042	ENSAMXT00000000038
ENSAMXG00000000043	ENSAMXT00000000040
ENSAMXG00000000044	ENSAMXT00000000042
ENSAMXG00000000045	ENSAMXT00000000044
ENSAMXG00000000046	ENSAMXT00000000051
ENSAMXG00000000047	ENSAMXT00000000045
ENSAMXG00000000048	ENSAMXT00000000046
ENSAMXG00000000049	ENSAMXT00000000047
ENSAMXG00000000050	ENSAMXT00000000048
ENSAMXG00000000051	ENSAMXT00000000049
ENSAMXG00000000052	ENSAMXT00000000050
ENSAMXG00000000053	ENSAMXT00000000053
ENSAMXG00000000054	ENSAMXT00000000054
ENSAMXG00000000055	ENSAMXT00000000063
ENSAMXG00000000056	ENSAMXT00000000058
ENSAMXG00000000057	ENSAMXT00000000056
