"tree_file"	"parent"	"node"	"label"	"lrt"	"pvalue"	"qvalue"	"selected"
"genetree.1"	44	45	"Clupeocephala"	3.85253443624242	0.049671	1	0
"genetree.1"	45	46	"Clupeocephala"	9.46848904315266	0.0020903	0.141630660175439	0
"genetree.1"	45	50	"Clupeocephala"	6.42787883072742	0.011234	0.44360687109194	0
"genetree.1"	46	47	"Euteleosteomorpha"	37.949987371132	7.2582e-10	0.000320645459375304	1
"genetree.1"	50	51	"Euteleosteomorpha"	1.16785067610908	0.27984	1	0
"genetree.1"	47	48	"Ovalentaria"	5.39817847311497e-07	0.99941	1	0
"genetree.1"	47	48	"Ovalentaria"	1.1575810527429	0.28197	1	0
"genetree.1"	51	52	"Ovalentaria"	2.02853698283434e-07	0.99964	1	0
"genetree.1"	51	52	"Ovalentaria"	3.05299181491137e-08	0.99986	1	0
"genetree.1"	46	49	"Otophysi"	14.7761516757309	0.00012106	0.0181461084681625	1
"genetree.1"	54	55	"Boreoeutheria"	9.54867573454976e-07	0.99922	1	0
"genetree.1"	55	56	"Euarchontoglires"	7.07223080098629e-09	0.99993	1	0
"genetree.1"	56	59	"Catarrhini"	7.97037500888109e-07	0.99929	1	0
"genetree.1"	55	60	"Laurasiatheria"	7.19039235264063e-07	0.99932	1	0
"genetree.100"	37	38	"Amniota"	1.33109252613212	0.24861	1	0
"genetree.100"	38	39	"Theria"	8.24393726670678	0.0040888	0.224334921448072	0
"genetree.100"	39	40	"Boreoeutheria"	7.7199365478009e-07	0.9993	1	0
"genetree.100"	41	43	"Glires"	0	1	1	0
"genetree.100"	43	45	"Murinae"	4.60640876553953e-08	0.99983	1	0
"genetree.100"	46	47	"Caniformia"	7.02835677657276e-07	0.99933	1	0
"genetree.100"	46	47	"Caniformia"	1.47898390423506e-07	0.99969	1	0
"genetree.100"	38	49	"Sauria"	3.01159756676498	0.082671	1	0
"genetree.100"	37	50	"Clupeocephala"	1.72876752912998e-08	0.9999	1	0
"genetree.100"	50	51	"Euteleosteomorpha"	8.58635758049786e-08	0.99977	1	0
"genetree.100"	51	52	"Ovalentaria"	13.5367965775367	0.00023393	0.0296292633317961	1
"genetree.1000"	19	20	"Osteoglossocephalai"	3.87080945074558e-09	0.99995	1	0
"genetree.1000"	20	23	"Clupeocephala"	2.33558239415288e-09	0.99996	1	0
"genetree.1000"	20	21	"Clupeocephala"	1.01863406598568e-08	0.99992	1	0
"genetree.1000"	23	25	"Euteleosteomorpha"	3.64923696292681	0.056095	1	0
"genetree.1000"	21	22	"Euteleosteomorpha"	2.02936977347417	0.15428	1	0
"genetree.1000"	23	24	"Otophysi"	0	1	1	0
"genetree.1000"	26	27	"Eutheria"	5.17102307640016e-08	0.99982	1	0
"genetree.1000"	26	27	"Eutheria"	0	1	1	0
"genetree.1000"	32	33	"Murinae"	3.25126165989786e-07	0.99955	1	0
"genetree.1001"	25	26	"Boreoeutheria"	1.01717887446284e-08	0.99992	1	0
"genetree.1001"	26	27	"Euarchontoglires"	9.16770659387112e-10	0.99998	1	0
"genetree.1001"	28	29	"Murinae"	5.80752384848893e-07	0.99939	1	0
"genetree.1001"	27	30	"Catarrhini"	9.15606506168842e-08	0.99976	1	0
"genetree.1001"	26	31	"Laurasiatheria"	3.5302946344018e-08	0.99985	1	0
"genetree.1001"	31	32	"Caniformia"	0	1	1	0
