Gene stable ID	Transcript stable ID
ENSORLG00000000001	ENSORLT00000000001
ENSORLG00000000002	ENSORLT00000000002
ENSORLG00000000002	ENSORLT00000000003
ENSORLG00000000003	ENSORLT00000000004
ENSORLG00000000004	ENSORLT00000000005
ENSORLG00000000005	ENSORLT00000000007
ENSORLG00000000006	ENSORLT00000000008
ENSORLG00000000006	ENSORLT00000000010
ENSORLG00000000006	ENSORLT00000000011
ENSORLG00000000007	ENSORLT00000000006
ENSORLG00000000008	ENSORLT00000000009
ENSORLG00000000009	ENSORLT00000000013
ENSORLG00000000009	ENSORLT00000000014
ENSORLG00000000010	ENSORLT00000000012
ENSORLG00000000011	ENSORLT00000000016
ENSORLG00000000012	ENSORLT00000000022
ENSORLG00000000012	ENSORLT00000000024
ENSORLG00000000013	ENSORLT00000000015
ENSORLG00000000014	ENSORLT00000000017
ENSORLG00000000016	ENSORLT00000000019
ENSORLG00000000017	ENSORLT00000000021
ENSORLG00000000018	ENSORLT00000000020
ENSORLG00000000019	ENSORLT00000000023
ENSORLG00000000020	ENSORLT00000000025
ENSORLG00000000021	ENSORLT00000000027
ENSORLG00000000022	ENSORLT00000000026
ENSORLG00000000022	ENSORLT00000000028
ENSORLG00000000024	ENSORLT00000000031
ENSORLG00000000025	ENSORLT00000000030
ENSORLG00000000026	ENSORLT00000000032
ENSORLG00000000026	ENSORLT00000000033
ENSORLG00000000027	ENSORLT00000000034
ENSORLG00000000029	ENSORLT00000000039
ENSORLG00000000030	ENSORLT00000000036
ENSORLG00000000030	ENSORLT00000000038
ENSORLG00000000031	ENSORLT00000000037
ENSORLG00000000032	ENSORLT00000000040
ENSORLG00000000033	ENSORLT00000000041
ENSORLG00000000034	ENSORLT00000000042
ENSORLG00000000035	ENSORLT00000000043
ENSORLG00000000036	ENSORLT00000000045
ENSORLG00000000036	ENSORLT00000000046
ENSORLG00000000039	ENSORLT00000000047
ENSORLG00000000040	ENSORLT00000000053
ENSORLG00000000041	ENSORLT00000000052
ENSORLG00000000043	ENSORLT00000000050
ENSORLG00000000044	ENSORLT00000000051
ENSORLG00000000045	ENSORLT00000000054
ENSORLG00000000046	ENSORLT00000000055
ENSORLG00000000049	ENSORLT00000000060
ENSORLG00000000050	ENSORLT00000000058
ENSORLG00000000051	ENSORLT00000000059
ENSORLG00000000051	ENSORLT00000000061
ENSORLG00000000052	ENSORLT00000000062
ENSORLG00000000053	ENSORLT00000000063
ENSORLG00000000054	ENSORLT00000000064
ENSORLG00000000055	ENSORLT00000000072
ENSORLG00000000057	ENSORLT00000000066
ENSORLG00000000058	ENSORLT00000000067
ENSORLG00000000059	ENSORLT00000000068
ENSORLG00000000060	ENSORLT00000000071
ENSORLG00000000060	ENSORLT00000000073
ENSORLG00000000061	ENSORLT00000000069
ENSORLG00000000061	ENSORLT00000000070
ENSORLG00000000062	ENSORLT00000000074
ENSORLG00000000063	ENSORLT00000000076
ENSORLG00000000064	ENSORLT00000000075
ENSORLG00000000065	ENSORLT00000000077
ENSORLG00000000065	ENSORLT00000000078
ENSORLG00000000065	ENSORLT00000000079
ENSORLG00000000067	ENSORLT00000000080
ENSORLG00000000068	ENSORLT00000000082
ENSORLG00000000069	ENSORLT00000000086
ENSORLG00000000070	ENSORLT00000000083
ENSORLG00000000072	ENSORLT00000000085
ENSORLG00000000073	ENSORLT00000000094
ENSORLG00000000073	ENSORLT00000000096
ENSORLG00000000073	ENSORLT00000000098
ENSORLG00000000073	ENSORLT00000000100
ENSORLG00000000074	ENSORLT00000000087
ENSORLG00000000075	ENSORLT00000000089
ENSORLG00000000076	ENSORLT00000000088
ENSORLG00000000077	ENSORLT00000000090
ENSORLG00000000078	ENSORLT00000000091
ENSORLG00000000078	ENSORLT00000000092
ENSORLG00000000079	ENSORLT00000000110
ENSORLG00000000080	ENSORLT00000000093
ENSORLG00000000081	ENSORLT00000000095
ENSORLG00000000082	ENSORLT00000000097
ENSORLG00000000083	ENSORLT00000000099
ENSORLG00000000084	ENSORLT00000000101
ENSORLG00000000084	ENSORLT00000000102
ENSORLG00000000085	ENSORLT00000000103
ENSORLG00000000085	ENSORLT00000000104
ENSORLG00000000085	ENSORLT00000000106
ENSORLG00000000086	ENSORLT00000000105
ENSORLG00000000087	ENSORLT00000000111
ENSORLG00000000087	ENSORLT00000000112
ENSORLG00000000088	ENSORLT00000000107
ENSORLG00000000089	ENSORLT00000000108
