Gene stable ID	Transcript stable ID
ENSELUG00000000002	ENSELUT00000000002
ENSELUG00000000003	ENSELUT00000000003
ENSELUG00000000004	ENSELUT00000000004
ENSELUG00000000005	ENSELUT00000000005
ENSELUG00000000006	ENSELUT00000000006
ENSELUG00000000007	ENSELUT00000000007
ENSELUG00000000008	ENSELUT00000000008
ENSELUG00000000009	ENSELUT00000000009
ENSELUG00000000010	ENSELUT00000000010
ENSELUG00000000011	ENSELUT00000000011
ENSELUG00000000012	ENSELUT00000000012
ENSELUG00000000013	ENSELUT00000000013
ENSELUG00000000014	ENSELUT00000000014
ENSELUG00000000015	ENSELUT00000000015
ENSELUG00000000016	ENSELUT00000000016
ENSELUG00000000017	ENSELUT00000000017
ENSELUG00000000018	ENSELUT00000000018
ENSELUG00000000019	ENSELUT00000000019
ENSELUG00000000020	ENSELUT00000000020
ENSELUG00000000021	ENSELUT00000000021
ENSELUG00000000022	ENSELUT00000000022
ENSELUG00000000023	ENSELUT00000000023
ENSELUG00000000024	ENSELUT00000000024
ENSELUG00000000025	ENSELUT00000000025
ENSELUG00000000026	ENSELUT00000000026
ENSELUG00000000027	ENSELUT00000000027
ENSELUG00000000028	ENSELUT00000000028
ENSELUG00000000029	ENSELUT00000000029
ENSELUG00000000030	ENSELUT00000000030
ENSELUG00000000031	ENSELUT00000000031
ENSELUG00000000032	ENSELUT00000000032
ENSELUG00000000033	ENSELUT00000000033
ENSELUG00000000034	ENSELUT00000000034
ENSELUG00000000035	ENSELUT00000000035
ENSELUG00000000036	ENSELUT00000000036
ENSELUG00000000037	ENSELUT00000000037
ENSELUG00000000038	ENSELUT00000000038
ENSELUG00000000039	ENSELUT00000019681
ENSELUG00000000040	ENSELUT00000019678
ENSELUG00000000041	ENSELUT00000019673
ENSELUG00000000042	ENSELUT00000019670
ENSELUG00000000043	ENSELUT00000019667
ENSELUG00000000044	ENSELUT00000019592
ENSELUG00000000044	ENSELUT00000019593
ENSELUG00000000044	ENSELUT00000019594
ENSELUG00000000044	ENSELUT00000019595
ENSELUG00000000044	ENSELUT00000019596
ENSELUG00000000045	ENSELUT00000019589
ENSELUG00000000046	ENSELUT00000019574
ENSELUG00000000047	ENSELUT00000019546
ENSELUG00000000048	ENSELUT00000019543
ENSELUG00000000049	ENSELUT00000019438
ENSELUG00000000050	ENSELUT00000019409
ENSELUG00000000051	ENSELUT00000019402
ENSELUG00000000052	ENSELUT00000019395
ENSELUG00000000053	ENSELUT00000019290
ENSELUG00000000054	ENSELUT00000019243
ENSELUG00000000055	ENSELUT00000019228
ENSELUG00000000056	ENSELUT00000019086
ENSELUG00000000056	ENSELUT00000019091
ENSELUG00000000056	ENSELUT00000019093
ENSELUG00000000057	ENSELUT00000018995
ENSELUG00000000057	ENSELUT00000019012
ENSELUG00000000058	ENSELUT00000018900
ENSELUG00000000058	ENSELUT00000018903
ENSELUG00000000059	ENSELUT00000018901
ENSELUG00000000060	ENSELUT00000018898
ENSELUG00000000060	ENSELUT00000018899
ENSELUG00000000061	ENSELUT00000018776
ENSELUG00000000062	ENSELUT00000018774
ENSELUG00000000062	ENSELUT00000018782
ENSELUG00000000063	ENSELUT00000018563
ENSELUG00000000064	ENSELUT00000018091
ENSELUG00000000064	ENSELUT00000018094
ENSELUG00000000065	ENSELUT00000018069
ENSELUG00000000065	ENSELUT00000018071
ENSELUG00000000065	ENSELUT00000018075
ENSELUG00000000066	ENSELUT00000018064
ENSELUG00000000066	ENSELUT00000018065
ENSELUG00000000067	ENSELUT00000018014
ENSELUG00000000067	ENSELUT00000018021
ENSELUG00000000068	ENSELUT00000018011
ENSELUG00000000069	ENSELUT00000018006
ENSELUG00000000070	ENSELUT00000017993
ENSELUG00000000071	ENSELUT00000017644
ENSELUG00000000072	ENSELUT00000017648
ENSELUG00000000072	ENSELUT00000017666
ENSELUG00000000073	ENSELUT00000017633
ENSELUG00000000074	ENSELUT00000017635
ENSELUG00000000074	ENSELUT00000017647
ENSELUG00000000075	ENSELUT00000017575
ENSELUG00000000075	ENSELUT00000017586
ENSELUG00000000075	ENSELUT00000017606
ENSELUG00000000075	ENSELUT00000017622
ENSELUG00000000076	ENSELUT00000017589
ENSELUG00000000076	ENSELUT00000017594
ENSELUG00000000077	ENSELUT00000017547
ENSELUG00000000078	ENSELUT00000017541
ENSELUG00000000079	ENSELUT00000017526
ENSELUG00000000080	ENSELUT00000017539
ENSELUG00000000081	ENSELUT00000017528
ENSELUG00000000082	ENSELUT00000017533
ENSELUG00000000082	ENSELUT00000017550
ENSELUG00000000083	ENSELUT00000017521
ENSELUG00000000084	ENSELUT00000017518
ENSELUG00000000085	ENSELUT00000017537
ENSELUG00000000085	ENSELUT00000017560
ENSELUG00000000085	ENSELUT00000017568
ENSELUG00000000086	ENSELUT00000017522
ENSELUG00000000086	ENSELUT00000017525
ENSELUG00000000086	ENSELUT00000017542
ENSELUG00000000087	ENSELUT00000017510
ENSELUG00000000088	ENSELUT00000017499
ENSELUG00000000089	ENSELUT00000017214
ENSELUG00000000090	ENSELUT00000017196
ENSELUG00000000091	ENSELUT00000017127
ENSELUG00000000092	ENSELUT00000017157
ENSELUG00000000092	ENSELUT00000017187
ENSELUG00000000093	ENSELUT00000017115
ENSELUG00000000093	ENSELUT00000017128
ENSELUG00000000093	ENSELUT00000017136
ENSELUG00000000093	ENSELUT00000017148
ENSELUG00000000094	ENSELUT00000017149
ENSELUG00000000094	ENSELUT00000017163
ENSELUG00000000095	ENSELUT00000017100
ENSELUG00000000095	ENSELUT00000017110
ENSELUG00000000095	ENSELUT00000017126
ENSELUG00000000096	ENSELUT00000017095
ENSELUG00000000096	ENSELUT00000017098
ENSELUG00000000096	ENSELUT00000017105
ENSELUG00000000097	ENSELUT00000017077
ENSELUG00000000097	ENSELUT00000017082
ENSELUG00000000098	ENSELUT00000017046
ENSELUG00000000099	ENSELUT00000017050
ENSELUG00000000099	ENSELUT00000017063
ENSELUG00000000100	ENSELUT00000016986
ENSELUG00000000101	ENSELUT00000016983
ENSELUG00000000102	ENSELUT00000016990
ENSELUG00000000102	ENSELUT00000017005
ENSELUG00000000103	ENSELUT00000016961
ENSELUG00000000104	ENSELUT00000016865
ENSELUG00000000105	ENSELUT00000016832
ENSELUG00000000105	ENSELUT00000016860
ENSELUG00000000105	ENSELUT00000016886
ENSELUG00000000105	ENSELUT00000016914
ENSELUG00000000105	ENSELUT00000016938
ENSELUG00000000105	ENSELUT00000016966
ENSELUG00000000105	ENSELUT00000016971
ENSELUG00000000106	ENSELUT00000016813
ENSELUG00000000107	ENSELUT00000016523
ENSELUG00000000108	ENSELUT00000016533
ENSELUG00000000109	ENSELUT00000016509
ENSELUG00000000110	ENSELUT00000016495
ENSELUG00000000110	ENSELUT00000016507
ENSELUG00000000111	ENSELUT00000016496
ENSELUG00000000111	ENSELUT00000016512
ENSELUG00000000111	ENSELUT00000016519
ENSELUG00000000112	ENSELUT00000016448
ENSELUG00000000112	ENSELUT00000016459
ENSELUG00000000113	ENSELUT00000016441
ENSELUG00000000113	ENSELUT00000016474
ENSELUG00000000113	ENSELUT00000016478
ENSELUG00000000114	ENSELUT00000016406
ENSELUG00000000115	ENSELUT00000016384
ENSELUG00000000116	ENSELUT00000016238
ENSELUG00000000116	ENSELUT00000016314
ENSELUG00000000117	ENSELUT00000016236
ENSELUG00000000117	ENSELUT00000016251
ENSELUG00000000118	ENSELUT00000016225
ENSELUG00000000118	ENSELUT00000016234
ENSELUG00000000119	ENSELUT00000016209
