Gene,From,To,JumpProbability
1000,19,20,0.0243
1000,20,21,0.0261
1000,21,1,0.0798
1000,21,22,0.0058
1000,22,2,0.0574
1000,22,3,0.0527
1000,20,23,0.0248
1000,23,24,0.018
1000,24,4,0.0413
1000,24,5,0.0363
1000,23,25,0.007
1000,25,6,0.063
1000,25,7,0.0533
1000,19,26,0.0732
1000,26,8,0.0649
1000,26,27,0.0104
1000,27,28,0.0138
1000,28,29,0.0187
1000,29,9,0.0136
1000,29,10,0.0629
1000,28,11,0.9986
1000,27,30,0.0125
1000,30,31,0.0027
1000,31,12,0.0205
1000,31,32,0.0176
1000,32,33,0.0143
1000,33,13,0.0066
1000,33,14,0.0294
1000,32,15,0.9968
1000,30,34,0.0042
1000,34,35,0.0216
1000,35,16,0.0092
1000,35,17,0.0047
1000,34,18,0.0208
1002,10,11,0.9547
1002,11,1,0.3805
1002,11,2,0.9997
1002,10,12,0.7798
1002,12,13,0.1345
1002,13,14,0.2508
1002,14,15,0.0641
1002,15,3,0.1681
1002,15,4,0.1649
1002,14,5,0.2001
1002,13,16,0.3081
1002,16,6,0.9774
1002,16,7,0.2438
1002,12,17,0.54
1002,17,8,0.9924
1002,17,9,0.2292
1003,28,29,0.3612
1003,29,30,0.1131
1003,30,31,0.096
1003,31,32,0.0448
1003,32,33,0.003
1003,33,34,0.0435
1003,34,1,0.0058
1003,34,2,0.0038
1003,33,35,0.0077
1003,35,3,0.0162
1003,35,36,0.038
1003,36,4,0.0078
1003,36,5,0.0053
1003,32,37,0.0221
1003,37,6,0.0203
1003,37,38,0.0181
1003,38,7,0.0078
1003,38,8,0.0076
1003,31,9,0.05
1003,30,10,0.1368
1003,29,39,0.1104
1003,39,40,0.0662
1003,40,41,0.0163
1003,41,42,0.0581
1003,42,11,0.0713
1003,42,12,0.0727
1003,41,13,0.1589
1003,40,43,0.05
1003,43,14,0.0603
1003,43,15,0.0532
1003,39,44,0.0707
1003,44,45,0.0176
1003,45,46,0.0594
1003,46,16,0.0347
1003,46,17,0.0406
1003,45,18,0.0924
1003,44,47,0.0504
1003,47,19,0.069
1003,47,20,0.0541
1003,28,48,0.3598
1003,48,21,0.1911
1003,48,49,0.2155
1003,49,50,0.004
1003,50,51,0.0443
1003,51,22,0.0123
1003,51,23,0.9913
1003,50,52,0.0106
1003,52,24,0.0221
1003,52,25,0.0229
1003,49,53,0.0349
1003,53,26,0.0378
1003,53,27,0.0182
1005,24,25,0.041
1005,25,26,0.001
1005,26,27,0.0276
1005,27,28,0.0068
1005,28,29,0.0207
1005,29,1,0.0022
1005,29,2,0.8739
1005,28,3,0.0015
1005,27,30,0.0213
1005,30,4,0.0012
1005,30,5,9e-04
1005,26,31,0.0277
1005,31,32,0.0055
1005,32,6,0.0017
1005,32,7,0.0044
1005,31,33,0.019
1005,33,8,0.0012
1005,33,9,9e-04
1005,25,34,0.0651
1005,34,10,0.0015
1005,34,35,0.0172
1005,35,36,0.0086
1005,36,11,0.001
1005,36,37,0.0065
1005,37,12,2e-04
1005,37,13,2e-04
1005,35,38,0.0012
1005,38,39,0.0014
1005,39,40,0.0142
1005,40,14,7e-04
1005,40,15,1e-04
1005,39,16,0.0015
1005,38,41,0.0152
1005,41,17,1e-04
1005,41,18,0
1005,24,42,0.2428
1005,42,43,0.0056
1005,43,44,0.0229
1005,44,19,4e-04
1005,44,20,0.001
1005,43,21,0.0023
1005,42,45,0.0187
1005,45,22,0.0014
1005,45,23,0.0015
1006,21,22,0.314
1006,22,23,0.0076
1006,23,24,0.026
1006,24,1,0.002
1006,24,2,0.0134
1006,23,3,0.0388
1006,22,25,0.0255
1006,25,4,0.0011
1006,25,5,0.0017
1006,21,26,0.0082
1006,26,27,0.1998
1006,27,28,0.0082
1006,28,6,0.0029
1006,28,7,0.0023
1006,27,29,0.0274
1006,29,8,0.0021
1006,29,9,0.002
1006,26,30,0.0271
1006,30,31,0.0763
1006,31,10,0.0023
1006,31,11,0.0026
1006,30,32,0.0894
1006,32,33,0.0225
1006,33,34,0.0111
1006,34,35,0.0083
1006,35,12,5e-04
1006,35,13,0.0011
1006,34,14,0.001
1006,33,36,0.0011
1006,36,37,0.0039
1006,37,38,0.0197
1006,38,15,1e-04
1006,38,16,1e-04
1006,37,17,4e-04
1006,36,39,0.0221
1006,39,18,0.9987
1006,39,19,0.0015
1006,32,20,0.0018
1007,24,25,1
1007,25,1,1
1007,25,26,0.9993
1007,26,27,0.5676
