Gene,From,To,JumpProbability
1000,19,20,0.0177
1000,20,21,0.0224
1000,21,1,0.0496
1000,21,22,0.0032
1000,22,2,0.0432
1000,22,3,0.0521
1000,20,23,0.0173
1000,23,24,0.0148
1000,24,4,0.033
1000,24,5,0.0367
1000,23,25,0.0046
1000,25,6,0.0751
1000,25,7,0.0825
1000,19,26,0.0694
1000,26,8,0.0911
1000,26,27,0.0113
1000,27,28,0.0133
1000,28,29,0.0153
1000,29,9,0.0046
1000,29,10,0.004
1000,28,11,0.9956
1000,27,30,0.0161
1000,30,31,0.0032
1000,31,12,0.0886
1000,31,32,0.0125
1000,32,33,0.0143
1000,33,13,0.0041
1000,33,14,0.0112
1000,32,15,0.9979
1000,30,34,0.0817
1000,34,35,0.0994
1000,35,16,0.0052
1000,35,17,0.0081
1000,34,18,0.9804
1001,23,24,0.9148
1001,24,25,0.1726
1001,25,26,0.5835
1001,26,27,0.0182
1001,27,28,0.0383
1001,28,29,0.2033
1001,29,1,0.0112
1001,29,2,0.0095
1001,28,3,0.0531
1001,27,30,0.2244
1001,30,4,0.0117
1001,30,5,0.0118
1001,26,31,0.1115
1001,31,6,0.0445
1001,31,32,0.0939
1001,32,7,0.0201
1001,32,8,0.0205
1001,25,9,0.3916
1001,24,33,0.6023
1001,33,34,0.2968
1001,34,10,0.1051
1001,34,11,0.1141
1001,33,12,0.2262
1001,23,35,0.925
1001,35,36,0.5594
1001,36,13,0.3915
1001,36,14,0.9522
1001,35,37,0.6693
1001,37,15,1
1001,37,38,0.2315
1001,38,39,0.0176
1001,39,40,0.2298
1001,40,16,0.1054
1001,40,17,0.0637
1001,39,41,0.0414
1001,41,18,1
1001,41,42,0.2084
1001,42,19,0.8848
1001,42,20,0.4471
1001,38,43,0.1772
1001,43,21,0.9915
1001,43,22,0.0912
1003,28,29,0.0107
1003,29,30,8e-04
1003,30,31,0.0344
1003,31,32,0.013
1003,32,33,5e-04
1003,33,34,0.0136
1003,34,1,0
1003,34,2,3e-04
1003,33,35,0.0025
1003,35,3,5e-04
1003,35,36,0.011
1003,36,4,1e-04
1003,36,5,3e-04
1003,32,37,0.0064
1003,37,6,3e-04
1003,37,38,0.0059
1003,38,7,0.0222
1003,38,8,0.0011
1003,31,9,0.0019
1003,30,10,0.0027
1003,29,39,7e-04
1003,39,40,0.0233
1003,40,41,0.0043
1003,41,42,0.0208
1003,42,11,0.02
1003,42,12,0.0032
1003,41,13,0.0043
1003,40,43,0.0151
1003,43,14,8e-04
1003,43,15,0.0011
1003,39,44,0.0201
1003,44,45,0.0053
1003,45,46,0.0203
1003,46,16,0.0014
1003,46,17,1
1003,45,18,0.0013
1003,44,47,0.0164
1003,47,19,6e-04
1003,47,20,0.0015
1003,28,48,0.0118
1003,48,21,0.0043
1003,48,49,0.0747
1003,49,50,9e-04
1003,50,51,0.0138
1003,51,22,3e-04
1003,51,23,0
1003,50,52,0.0044
1003,52,24,1e-04
1003,52,25,3e-04
1003,49,53,0.0123
1003,53,26,1e-04
1003,53,27,1e-04
1005,24,25,0.0179
1005,25,26,0.0012
1005,26,27,0.0295
1005,27,28,0.0077
1005,28,29,0.0244
1005,29,1,0.0014
1005,29,2,0.9945
1005,28,3,0.0022
1005,27,30,0.0216
1005,30,4,5e-04
1005,30,5,0.0026
1005,26,31,0.0293
1005,31,32,0.0069
1005,32,6,0.0148
1005,32,7,0.002
1005,31,33,0.0239
1005,33,8,0.0017
1005,33,9,0.0015
1005,25,34,0.0756
1005,34,10,8e-04
1005,34,35,0.0198
1005,35,36,0.0087
1005,36,11,0.0259
1005,36,37,0.0085
1005,37,12,5e-04
1005,37,13,2e-04
1005,35,38,0.0018
1005,38,39,0.003
1005,39,40,0.0167
1005,40,14,0
1005,40,15,0
1005,39,16,4e-04
1005,38,41,0.017
1005,41,17,0
1005,41,18,1e-04
1005,24,42,0.2776
1005,42,43,0.0097
1005,43,44,0.0265
1005,44,19,0.001
1005,44,20,0.0011
1005,43,21,0.0015
1005,42,45,0.0227
1005,45,22,0.0015
1005,45,23,0.0016
1006,21,22,0.5582
1006,22,23,0.017
1006,23,24,0.0637
1006,24,1,0.0028
1006,24,2,0.0021
1006,23,3,0.0053
1006,22,25,0.0559
1006,25,4,0.0029
1006,25,5,0.0039
1006,21,26,0.0173
1006,26,27,0.3908
1006,27,28,0.0185
1006,28,6,0.0048
1006,28,7,0.0061
1006,27,29,0.057
1006,29,8,0.0027
1006,29,9,0.0028
1006,26,30,0.0201
1006,30,31,0.1649
1006,31,10,0.006
1006,31,11,0.0046
1006,30,32,0.191
1006,32,33,0.0484
1006,33,34,0.0213
1006,34,35,0.0185
1006,35,12,1
1006,35,13,5e-04
1006,34,14,0.001
1006,33,36,0.0044
1006,36,37,0.0059
1006,37,38,0.0426
1006,38,15,3e-04
1006,38,16,1e-04
1006,37,17,0.001
1006,36,39,0.0484
1006,39,18,1
1006,39,19,3e-04
1006,32,20,0.0032
1008,26,27,0.003
1008,27,28,0.003
1008,28,29,0.0029
1008,29,30,0.002
1008,30,31,0.0049
1008,31,1,0.0054
1008,31,2,0.0074
1008,30,3,1
1008,29,4,0.0183
1008,28,32,0.0033
1008,32,33,6e-04
1008,33,34,0.0052
1008,34,5,0.0054
1008,34,6,0.006
1008,33,7,0.0142
1008,32,35,0.0103
1008,35,8,0.0172
1008,35,9,0.9948
1008,27,36,0.0098
1008,36,37,0.0023
1008,37,38,0.0041
1008,38,10,0.0071
1008,38,11,0.0061
1008,37,12,0.0157
1008,36,39,0.9983
1008,39,13,0.7801
1008,39,14,0.5963
1008,26,40,0.0065
1008,40,41,0.0106
1008,41,15,0.009
1008,41,16,0.0099
1008,40,42,0.0091
1008,42,17,0.9992
1008,42,43,0.0112
1008,43,44,1e-04
1008,44,45,0.0029
1008,45,18,9e-04
1008,45,19,6e-04
1008,44,46,3e-04
1008,46,47,0.0029
1008,47,20,3e-04
1008,47,21,4e-04
1008,46,22,0.0032
1008,43,48,0.001
1008,48,49,8e-04
1008,49,23,9e-04
1008,49,24,0.0011
1008,48,25,0.0025
100,36,37,0.0112
100,37,38,0.0011
100,38,39,0.0305
100,39,1,8e-04
100,39,40,0.0125
100,40,41,0.0015
100,41,42,0.0105
100,42,2,1e-04
100,42,3,2e-04
100,41,43,0.0021
100,43,44,0.0042
100,44,4,7e-04
100,44,5,0.0079
100,43,45,0.0103
100,45,6,1e-04
100,45,7,1e-04
100,40,46,0.0055
100,46,47,0.0048
100,47,8,0
100,47,9,0
100,46,48,0.0063
100,48,10,0.1007
100,48,11,0.8955
100,38,49,0.0263
100,49,12,0.0555
100,49,13,0.0431
100,37,50,0.0393
100,50,14,9e-04
100,50,51,0.0048
100,51,15,0.0018
100,51,52,0.0165
100,52,16,5e-04
100,52,17,0.001
100,36,53,0.0043
100,53,54,0.1295
100,54,55,0.0167
100,55,18,6e-04
100,55,19,3e-04
100,54,20,0.0021
100,53,56,0.0053
100,56,57,0.001
100,57,21,0.0023
100,57,58,0.0277
100,58,59,0.0136
100,59,60,0.0064
100,60,61,0.0051
100,61,22,1e-04
100,61,23,1e-04
