Gene,From,To,JumpProbability
1000,19,20,0.0273
1000,20,21,0.0263
1000,21,1,0.0942
1000,21,22,0.0079
1000,22,2,0.1314
1000,22,3,0.071
1000,20,23,0.0327
1000,23,24,0.0206
1000,24,4,0.0531
1000,24,5,0.0698
1000,23,25,0.0065
1000,25,6,0.2045
1000,25,7,0.1748
1000,19,26,0.0872
1000,26,8,0.044
1000,26,27,0.0087
1000,27,28,0.0224
1000,28,29,0.0371
1000,29,9,0.0075
1000,29,10,0.0085
1000,28,11,0.997
1000,27,30,0.0114
1000,30,31,0.0022
1000,31,12,0.0193
1000,31,32,0.0063
1000,32,33,0.0064
1000,33,13,0.0023
1000,33,14,0.0033
1000,32,15,0.9992
1000,30,34,0.0104
1000,34,35,0.0218
1000,35,16,0.0171
1000,35,17,0.0053
1000,34,18,0.0161
1002,10,11,0.4833
1002,11,1,0.0093
1002,11,2,1
1002,10,12,0.0345
1002,12,13,0.0023
1002,13,14,0.0611
1002,14,15,0.0131
1002,15,3,0.0048
1002,15,4,0.0039
1002,14,5,0.0033
1002,13,16,0.0731
1002,16,6,0.004
1002,16,7,0.0039
1002,12,17,0.158
1002,17,8,0.0033
1002,17,9,0.0033
1003,28,29,0.0776
1003,29,30,0.0043
1003,30,31,0.1658
1003,31,32,0.0708
1003,32,33,0.0057
1003,33,34,0.0707
1003,34,1,3e-04
1003,34,2,3e-04
1003,33,35,0.0098
1003,35,3,0.0017
1003,35,36,0.0614
1003,36,4,1e-04
1003,36,5,3e-04
1003,32,37,0.0326
1003,37,6,0.0018
1003,37,38,0.028
1003,38,7,4e-04
1003,38,8,3e-04
1003,31,9,0.0053
1003,30,10,0.0166
1003,29,39,0.0058
1003,39,40,0.1124
1003,40,41,0.0282
1003,41,42,0.0928
1003,42,11,0.0034
1003,42,12,0.0036
1003,41,13,0.0067
1003,40,43,0.0822
1003,43,14,0.0047
1003,43,15,0.0046
1003,39,44,0.1033
1003,44,45,0.0254
1003,45,46,0.0977
1003,46,16,0.0033
1003,46,17,0.0035
1003,45,18,0.0065
1003,44,47,0.0813
1003,47,19,0.0031
1003,47,20,0.0052
1003,28,48,0.0812
1003,48,21,0.0271
1003,48,49,0.3143
1003,49,50,0.0056
1003,50,51,0.0657
1003,51,22,5e-04
1003,51,23,1
1003,50,52,0.017
1003,52,24,0.0014
1003,52,25,1
1003,49,53,0.0589
1003,53,26,9e-04
1003,53,27,1
1005,24,25,0.9999
1005,25,26,0.1172
1005,26,27,0.254
1005,27,28,0.0706
1005,28,29,0.2283
1005,29,1,0.289
1005,29,2,1
1005,28,3,0.4382
1005,27,30,0.2049
1005,30,4,0.1221
1005,30,5,0.1106
1005,26,31,0.2659
1005,31,32,0.0707
1005,32,6,1
1005,32,7,0.1774
1005,31,33,0.2143
1005,33,8,0.1489
1005,33,9,1
1005,25,34,0.5631
1005,34,10,0.1275
1005,34,35,0.1784
1005,35,36,0.0875
1005,36,11,0.0287
1005,36,37,0.0744
1005,37,12,0.014
1005,37,13,0.0165
1005,35,38,0.0148
1005,38,39,0.0318
1005,39,40,0.1545
1005,40,14,0.0189
1005,40,15,0.0132
1005,39,16,0.049
1005,38,41,0.1718
1005,41,17,0.1103
1005,41,18,0.1449
1005,24,42,0.9617
1005,42,43,0.0644
1005,43,44,0.2361
1005,44,19,0.0794
1005,44,20,0.0785
1005,43,21,0.1597
1005,42,45,0.2004
1005,45,22,0.1345
1005,45,23,0.9741
1006,21,22,0.9954
1006,22,23,0.1126
1006,23,24,0.3593
1006,24,1,0.1554
1006,24,2,0.155
1006,23,3,0.981
1006,22,25,0.3295
1006,25,4,0.2089
1006,25,5,0.2023
1006,21,26,0.7463
1006,26,27,0.9615
1006,27,28,0.1136
1006,28,6,0.3121
1006,28,7,0.3067
1006,27,29,0.3233
1006,29,8,0.2072
1006,29,9,0.2098
1006,26,30,0.9822
1006,30,31,0.6992
1006,31,10,0.9878
1006,31,11,0.9892
1006,30,32,0.7673
1006,32,33,0.287
1006,33,34,0.1419
1006,34,35,0.1279
