Gene,From,To,JumpProbability
1000,19,20,0.0378
1000,20,21,0.0642
1000,21,1,0.5353
1000,21,22,0.0165
1000,22,2,0.1323
1000,22,3,0.3376
1000,20,23,0.0704
1000,23,24,0.0526
1000,24,4,0.1184
1000,24,5,0.9526
1000,23,25,0.0169
1000,25,6,0.9646
1000,25,7,0.1168
1000,19,26,0.1057
1000,26,8,0.1073
1000,26,27,0.0315
1000,27,28,0.013
1000,28,29,0.0146
1000,29,9,0.0464
1000,29,10,0.0733
1000,28,11,0.9967
1000,27,30,0.0105
1000,30,31,0.0032
1000,31,12,0.0162
1000,31,32,0.0085
1000,32,33,0.0088
1000,33,13,0.0039
1000,33,14,0.0075
1000,32,15,0.9977
1000,30,34,0.0057
1000,34,35,0.0164
1000,35,16,0.0053
1000,35,17,0.0186
1000,34,18,0.0176
1001,23,24,0.0352
1001,24,25,0.0029
1001,25,26,0.1129
1001,26,27,0.0025
1001,27,28,0.0057
1001,28,29,0.0301
1001,29,1,6e-04
1001,29,2,1e-04
1001,28,3,0.001
1001,27,30,0.0337
1001,30,4,3e-04
1001,30,5,2e-04
1001,26,31,0.0156
1001,31,6,7e-04
1001,31,32,0.0135
1001,32,7,3e-04
1001,32,8,3e-04
1001,25,9,0.0063
1001,24,33,0.1142
1001,33,34,0.0488
1001,34,10,1
1001,34,11,0.0018
1001,33,12,0.0048
1001,23,35,0.035
1001,35,36,0.1073
1001,36,13,0.0516
1001,36,14,0.8822
1001,35,37,0.1429
1001,37,15,0.0078
1001,37,38,0.0354
1001,38,39,0.0018
1001,39,40,0.0367
1001,40,16,0.0074
1001,40,17,0.0034
1001,39,41,0.0056
1001,41,18,0.0086
1001,41,42,0.0288
1001,42,19,5e-04
1001,42,20,1e-04
1001,38,43,0.0246
1001,43,21,0.0017
1001,43,22,0.0033
1004,19,1,0.024
1004,19,20,0.0154
1004,20,21,0.001
1004,21,2,0.004
1004,21,22,0.0423
1004,22,3,0.0015
1004,22,23,0.0172
1004,23,24,0.0097
1004,24,25,0.0058
1004,25,4,3e-04
1004,25,5,1e-04
1004,24,6,0.0931
1004,23,26,0.0012
1004,26,27,0.0183
1004,27,7,4e-04
1004,27,8,0
1004,26,28,0.0037
1004,28,9,5e-04
1004,28,29,0.0137
1004,29,10,8e-04
1004,29,11,2e-04
1004,20,30,0.05
1004,30,31,0.0083
1004,31,32,0.0062
1004,32,12,1
1004,32,33,0.0074
1004,33,13,0.0018
1004,33,14,0.0017
1004,31,15,0.0022
1004,30,34,0.0072
1004,34,16,0.0014
1004,34,35,0.029
1004,35,17,0.0012
1004,35,18,6e-04
1005,24,25,0.075
1005,25,26,0.0031
1005,26,27,0.0957
1005,27,28,0.0226
1005,28,29,0.0777
1005,29,1,0.0435
1005,29,2,1
1005,28,3,0.1383
1005,27,30,0.076
1005,30,4,0.0101
1005,30,5,1
1005,26,31,0.0949
1005,31,32,0.0221
1005,32,6,0.0548
1005,32,7,0.0162
1005,31,33,0.0771
1005,33,8,0.0139
1005,33,9,0.0628
1005,25,34,0.2403
1005,34,10,0.0041
1005,34,35,0.0638
1005,35,36,0.0331
1005,36,11,0.0016
1005,36,37,0.0259
1005,37,12,3e-04
1005,37,13,7e-04
1005,35,38,0.0042
1005,38,39,0.0094
1005,39,40,0.0583
1005,40,14,6e-04
1005,40,15,3e-04
1005,39,16,0.0013
1005,38,41,0.0589
1005,41,17,0.0013
1005,41,18,2e-04
1005,24,42,0.6573
1005,42,43,0.025
1005,43,44,0.0848
1005,44,19,0.0041
1005,44,20,0.0045
1005,43,21,0.0071
1005,42,45,0.071
1005,45,22,0.9974
1005,45,23,0.0063
1006,21,22,0.696
1006,22,23,0.0253
1006,23,24,0.0943
1006,24,1,0.0282
1006,24,2,0.0279
1006,23,3,0.0618
1006,22,25,0.0791
1006,25,4,0.2507
1006,25,5,0.0633
1006,21,26,0.1872
1006,26,27,0.5054
1006,27,28,0.0251
1006,28,6,0.059
1006,28,7,0.0563
1006,27,29,0.0835
1006,29,8,0.0365
1006,29,9,0.038
1006,26,30,0.1914
1006,30,31,0.2214
1006,31,10,0.0629
1006,31,11,0.0639
1006,30,32,0.2641
1006,32,33,0.0696
1006,33,34,0.0341
1006,34,35,0.028
1006,35,12,0.1622
1006,35,13,0.0155
1006,34,14,0.9987
1006,33,36,0.0047
1006,36,37,0.0127
1006,37,38,0.0602
1006,38,15,0.0036
1006,38,16,0.0032
1006,37,17,1
1006,36,39,0.0642
1006,39,18,0.0227
1006,39,19,0.0105
1006,32,20,0.0588
1007,24,25,0.0118
1007,25,1,0.0109
1007,25,26,0.0463
1007,26,27,0.0044
1007,27,28,0.0191
1007,28,2,0.0013
1007,28,3,0.0018
1007,27,4,0.9982
1007,26,5,0.003
1007,24,29,0.0119
1007,29,30,0.0621
1007,30,6,9e-04
1007,30,31,0.0135
1007,31,32,0.0013
1007,32,33,0.0028
1007,33,34,0.013
1007,34,7,1e-04
1007,34,8,0
1007,33,9,0.0013
1007,32,35,0.0124
1007,35,10,6e-04
1007,35,11,1e-04
1007,31,36,0.0065
1007,36,12,3e-04
1007,36,37,0.0047
1007,37,13,0.038
1007,37,14,0.0016
1007,29,38,7e-04
1007,38,39,0.0216
1007,39,40,0.0057
1007,40,41,0.0168
1007,41,15,4e-04
1007,41,16,7e-04
1007,40,17,0.0011
1007,39,42,0.0149
1007,42,18,0.0027
1007,42,19,0.0012
1007,38,43,0.0266
1007,43,44,0.0052
1007,44,45,0.0208
1007,45,20,9e-04
1007,45,21,9e-04
1007,44,22,0.0017
1007,43,23,8e-04
100,36,37,1
100,37,38,0.8881
100,38,39,0.884
100,39,1,0.6093
100,39,40,0.6131
100,40,41,0.0665
100,41,42,0.5986
100,42,2,0.0736
100,42,3,0.0824
100,41,43,0.1355
100,43,44,0.2883
100,44,4,0.159
100,44,5,1
100,43,45,0.5621
100,45,6,0.1677
100,45,7,0.876
100,40,46,0.3305
