Gene,From,To,JumpProbability
1000,19,20,0.0013
1000,20,21,6e-04
1000,21,1,0.0037
1000,21,22,0
1000,22,2,0.0023
1000,22,3,0.0026
1000,20,23,0.0016
1000,23,24,0.001
1000,24,4,0.0024
1000,24,5,0.0019
1000,23,25,5e-04
1000,25,6,0.0029
1000,25,7,0.002
1000,19,26,0.0031
1000,26,8,0.0029
1000,26,27,9e-04
1000,27,28,8e-04
1000,28,29,0.0024
1000,29,9,0.9986
1000,29,10,0.0024
1000,28,11,0.015
1000,27,30,2e-04
1000,30,31,2e-04
1000,31,12,8e-04
1000,31,32,6e-04
1000,32,33,2e-04
1000,33,13,2e-04
1000,33,14,1e-04
1000,32,15,0.0133
1000,30,34,3e-04
1000,34,35,2e-04
1000,35,16,3e-04
1000,35,17,3e-04
1000,34,18,9e-04
1001,23,24,0.5853
1001,24,25,0.0771
1001,25,26,0.3293
1001,26,27,0.0079
1001,27,28,0.0204
1001,28,29,0.0964
1001,29,1,0.0041
1001,29,2,0.006
1001,28,3,0.0211
1001,27,30,0.1094
1001,30,4,0.0057
1001,30,5,0.0067
1001,26,31,0.0554
1001,31,6,0.0169
1001,31,32,0.0474
1001,32,7,0.0102
1001,32,8,0.0091
1001,25,9,0.1761
1001,24,33,0.3453
1001,33,34,0.1498
1001,34,10,0.0498
1001,34,11,0.047
1001,33,12,0.1011
1001,23,35,0.5915
1001,35,36,0.3206
1001,36,13,0.1248
1001,36,14,0.1308
1001,35,37,0.3987
1001,37,15,1
1001,37,38,0.1156
1001,38,39,0.0091
1001,39,40,0.114
1001,40,16,0.006
1001,40,17,0.0061
1001,39,41,0.0183
1001,41,18,1
1001,41,42,0.1001
1001,42,19,0.0191
1001,42,20,0.0348
1001,38,43,0.0859
1001,43,21,1
1001,43,22,0.0188
1004,19,1,0.6117
1004,19,20,0.4254
1004,20,21,0.0575
1004,21,2,0.1284
1004,21,22,0.1475
1004,22,3,0.0519
1004,22,23,0.0619
1004,23,24,0.0308
1004,24,25,0.0271
1004,25,4,0.0081
1004,25,5,0.0093
1004,24,6,0.0163
1004,23,26,0.0049
1004,26,27,0.0606
1004,27,7,0.0087
1004,27,8,0.0922
1004,26,28,0.0091
1004,28,9,0.0734
1004,28,29,0.0606
1004,29,10,0.0025
1004,29,11,0.0038
1004,20,30,0.1929
1004,30,31,0.0267
1004,31,32,0.0245
1004,32,12,0.0776
1004,32,33,0.0251
1004,33,13,0.0703
1004,33,14,0.0479
1004,31,15,0.121
1004,30,34,0.0241
1004,34,16,0.914
1004,34,35,0.107
1004,35,17,0.8819
1004,35,18,0.1326
1005,24,25,0.9934
1005,25,26,0.1592
1005,26,27,0.3191
1005,27,28,0.0789
1005,28,29,0.2665
1005,29,1,0.1927
1005,29,2,1
1005,28,3,0.9987
1005,27,30,0.2408
1005,30,4,0.1419
1005,30,5,0.1383
1005,26,31,0.3081
1005,31,32,0.0787
1005,32,6,1
1005,32,7,0.263
1005,31,33,0.243
1005,33,8,0.4565
1005,33,9,0.8826
1005,25,34,0.6245
1005,34,10,0.1669
1005,34,35,0.2066
1005,35,36,0.1006
1005,36,11,0.3877
1005,36,37,0.0913
1005,37,12,0.0182
1005,37,13,0.0981
1005,35,38,0.0179
1005,38,39,0.0341
1005,39,40,0.1807
1005,40,14,0.0181
1005,40,15,0.011
1005,39,16,0.057
1005,38,41,0.201
1005,41,17,0.0176
1005,41,18,1
1005,24,42,0.976
1005,42,43,0.0843
1005,43,44,0.2661
1005,44,19,0.1498
1005,44,20,0.3177
1005,43,21,0.2122
1005,42,45,0.2423
1005,45,22,0.1345
1005,45,23,0.1375
1006,21,22,1
1006,22,23,0.2012
1006,23,24,0.5471
1006,24,1,0.9997
1006,24,2,0.2529
1006,23,3,1
1006,22,25,0.5076
1006,25,4,0.9997
1006,25,5,0.316
1006,21,26,0.9615
1006,26,27,0.996
1006,27,28,0.1922
1006,28,6,0.9986
1006,28,7,0.5087
1006,27,29,0.5031
1006,29,8,0.4431
1006,29,9,0.3779
1006,26,30,0.9958
1006,30,31,0.8786
1006,31,10,0.5485
1006,31,11,0.9994
1006,30,32,0.9192
1006,32,33,0.4513
1006,33,34,0.2447
1006,34,35,0.2216
1006,35,12,0.2114
1006,35,13,0.0663
1006,34,14,1
1006,33,36,0.0374
1006,36,37,0.0858
1006,37,38,0.408
1006,38,15,0.1433
1006,38,16,0.9988
1006,37,17,0.9244
1006,36,39,0.431
1006,39,18,0.9998
1006,39,19,0.9987
