Gene,From,To,JumpProbability
1000,19,20,0.0229
1000,20,21,0.028
1000,21,1,0.0659
1000,21,22,0.0071
1000,22,2,0.0994
1000,22,3,0.0731
1000,20,23,0.0251
1000,23,24,0.0212
1000,24,4,0.1157
1000,24,5,0.0569
1000,23,25,0.0072
1000,25,6,0.0568
1000,25,7,0.0863
1000,19,26,0.0777
1000,26,8,0.039
1000,26,27,0.008
1000,27,28,0.0133
1000,28,29,0.0153
1000,29,9,0.015
1000,29,10,0.0061
1000,28,11,0.9984
1000,27,30,0.0068
1000,30,31,0.0043
1000,31,12,0.0151
1000,31,32,0.0105
1000,32,33,0.013
1000,33,13,0.0818
1000,33,14,0.0107
1000,32,15,0.9974
1000,30,34,0.018
1000,34,35,0.0097
1000,35,16,0.0056
1000,35,17,0.0064
1000,34,18,0.0118
1001,23,24,1
1001,24,25,0.9577
1001,25,26,0.9981
1001,26,27,0.1264
1001,27,28,0.2587
1001,28,29,0.8173
1001,29,1,0.7232
1001,29,2,1
1001,28,3,0.996
1001,27,30,0.8459
1001,30,4,0.9993
1001,30,5,0.6087
1001,26,31,0.6074
1001,31,6,0.7281
1001,31,32,0.5385
1001,32,7,0.9822
1001,32,8,0.6222
1001,25,9,1
1001,24,33,0.999
1001,33,34,0.923
1001,34,10,0.9485
1001,34,11,0.9893
1001,33,12,1
1001,23,35,1
1001,35,36,0.9982
1001,36,13,1
1001,36,14,0.9999
1001,35,37,0.9998
1001,37,15,0.9913
1001,37,38,0.8626
1001,38,39,0.1228
1001,39,40,0.8469
1001,40,16,0.5123
1001,40,17,0.9827
1001,39,41,0.255
1001,41,18,0.947
1001,41,42,0.8145
1001,42,19,0.9986
1001,42,20,0.413
1001,38,43,0.7626
1001,43,21,0.9991
1001,43,22,0.8738
1002,10,11,0.9065
1002,11,1,0.3014
1002,11,2,0.3105
1002,10,12,0.6713
1002,12,13,0.1096
1002,13,14,0.2009
1002,14,15,0.0493
1002,15,3,0.1516
1002,15,4,0.248
1002,14,5,0.4053
1002,13,16,0.2351
1002,16,6,0.2217
1002,16,7,0.9996
1002,12,17,0.4614
1002,17,8,0.1988
1002,17,9,0.9788
1003,28,29,0.61
1003,29,30,0.0994
1003,30,31,0.299
1003,31,32,0.1511
1003,32,33,0.0109
1003,33,34,0.1419
1003,34,1,0.0907
1003,34,2,0.013
1003,33,35,0.0264
1003,35,3,1
1003,35,36,0.134
1003,36,4,0.0217
1003,36,5,0.0208
1003,32,37,0.0712
1003,37,6,0.194
1003,37,38,0.0607
1003,38,7,0.0807
1003,38,8,0.8994
1003,31,9,1
1003,30,10,1
1003,29,39,0.0812
1003,39,40,0.2181
1003,40,41,0.0575
1003,41,42,0.1949
1003,42,11,0.0434
1003,42,12,0.0596
1003,41,13,0.1637
1003,40,43,0.1711
1003,43,14,0.1056
1003,43,15,0.9499
1003,39,44,0.2245
1003,44,45,0.0572
1003,45,46,0.1948
1003,46,16,0.058
1003,46,17,0.0493
1003,45,18,0.1009
1003,44,47,0.1685
1003,47,19,0.0569
1003,47,20,0.0643
1003,28,48,0.6197
1003,48,21,0.2757
1003,48,49,0.5621
1003,49,50,0.0129
1003,50,51,0.1456
1003,51,22,0.0094
1003,51,23,0.9999
1003,50,52,0.0348
1003,52,24,0.0207
1003,52,25,0.0212
1003,49,53,0.1199
1003,53,26,0.9998
1003,53,27,0.0141
1004,19,1,0.9767
1004,19,20,0.8853
1004,20,21,0.1813
1004,21,2,0.4947
1004,21,22,0.3972
1004,22,3,0.284
1004,22,23,0.1985
1004,23,24,0.0914
1004,24,25,0.0844
1004,25,4,0.136
1004,25,5,0.0268
1004,24,6,0.1043
1004,23,26,0.015
1004,26,27,0.1916
1004,27,7,0.302
1004,27,8,0.9371
1004,26,28,0.0308
1004,28,9,0.9531
1004,28,29,0.1769
1004,29,10,0.0294
1004,29,11,1
1004,20,30,0.5129
1004,30,31,0.0905
1004,31,32,0.0808
1004,32,12,0.4989
1004,32,33,0.0867
1004,33,13,0.1659
1004,33,14,0.1608
1004,31,15,0.2272
1004,30,34,0.0767
1004,34,16,0.8854
1004,34,35,0.2962
1004,35,17,0.1758
1004,35,18,0.1377
1005,24,25,1
1005,25,26,0.8954
1005,26,27,0.9395
