Gene,From,To,JumpProbability
1000,19,20,0.0213
1000,20,21,0.0273
1000,21,1,0.062
1000,21,22,0.0065
1000,22,2,0.0615
1000,22,3,0.0788
1000,20,23,0.025
1000,23,24,0.0178
1000,24,4,0.0395
1000,24,5,0.0398
1000,23,25,0.0047
1000,25,6,0.0974
1000,25,7,0.064
1000,19,26,0.0726
1000,26,8,0.0551
1000,26,27,0.0162
1000,27,28,0.0142
1000,28,29,0.0178
1000,29,9,0.0145
1000,29,10,0.0065
1000,28,11,0.9971
1000,27,30,0.0143
1000,30,31,0.0027
1000,31,12,0.0167
1000,31,32,0.0086
1000,32,33,0.0067
1000,33,13,0.0048
1000,33,14,0.012
1000,32,15,0.9994
1000,30,34,0.0062
1000,34,35,0.0596
1000,35,16,0.0095
1000,35,17,0.0086
1000,34,18,0.0367
1003,28,29,0.0103
1003,29,30,0.0037
1003,30,31,0.0331
1003,31,32,0.0147
1003,32,33,0.0015
1003,33,34,0.0124
1003,34,1,1e-04
1003,34,2,2e-04
1003,33,35,0.0018
1003,35,3,0.0014
1003,35,36,0.0124
1003,36,4,2e-04
1003,36,5,0
1003,32,37,0.0074
1003,37,6,2e-04
1003,37,38,0.0052
1003,38,7,1e-04
1003,38,8,7e-04
1003,31,9,0.0031
1003,30,10,0.006
1003,29,39,0.0026
1003,39,40,0.0227
1003,40,41,0.0056
1003,41,42,0.0177
1003,42,11,5e-04
1003,42,12,2e-04
1003,41,13,0.0023
1003,40,43,0.0151
1003,43,14,9e-04
1003,43,15,0.0014
1003,39,44,0.0204
1003,44,45,0.0053
1003,45,46,0.0192
1003,46,16,0.0015
1003,46,17,0.0025
1003,45,18,0.0015
1003,44,47,0.0162
1003,47,19,9e-04
1003,47,20,0.0011
1003,28,48,0.0107
1003,48,21,0.0047
1003,48,49,0.0718
1003,49,50,8e-04
1003,50,51,0.0133
1003,51,22,0.0025
1003,51,23,0.9972
1003,50,52,0.0019
1003,52,24,7e-04
1003,52,25,0.0061
1003,49,53,0.0113
1003,53,26,5e-04
1003,53,27,1e-04
1005,24,25,0.0198
1005,25,26,0.001
1005,26,27,0.03
1005,27,28,0.0104
1005,28,29,0.0295
1005,29,1,0.0015
1005,29,2,1
1005,28,3,0.0101
1005,27,30,0.0244
1005,30,4,0.0021
1005,30,5,0.024
1005,26,31,0.0309
1005,31,32,0.0075
1005,32,6,0.0304
1005,32,7,0.0027
1005,31,33,0.0248
1005,33,8,0.0042
1005,33,9,0.004
1005,25,34,0.0819
1005,34,10,0.0017
1005,34,35,0.0199
1005,35,36,0.0087
1005,36,11,1e-04
1005,36,37,0.0083
1005,37,12,0
1005,37,13,0
1005,35,38,0.0016
1005,38,39,0.004
1005,39,40,0.0171
1005,40,14,0
1005,40,15,1e-04
1005,39,16,6e-04
1005,38,41,0.0183
1005,41,17,1e-04
1005,41,18,0
1005,24,42,0.2829
1005,42,43,0.007
1005,43,44,0.0265
1005,44,19,0.0013
1005,44,20,0.0013
1005,43,21,0.0034
1005,42,45,0.0228
1005,45,22,0.0035
1005,45,23,0.001
1007,24,25,1
1007,25,1,0.9997
1007,25,26,0.9526
1007,26,27,0.2962
1007,27,28,0.7247
1007,28,2,0.9843
1007,28,3,0.9919
1007,27,4,0.9506
1007,26,5,0.9946
1007,24,29,1
1007,29,30,0.9816
1007,30,6,1
1007,30,31,0.6168
1007,31,32,0.0671
1007,32,33,0.135
1007,33,34,0.5759
