Gene,From,To,JumpProbability
1000,43,1,1
1000,43,44,0.2268
1000,44,45,0.3209
1000,45,46,0.0323
1000,46,47,0.0395
1000,47,48,0.0617
1000,48,2,0.0987
1000,48,49,0.0412
1000,49,3,0.0361
1000,49,4,0.0363
1000,47,50,0.9551
1000,50,51,0.97
1000,51,52,0.2608
1000,52,5,0.534
1000,52,6,0.6205
1000,51,53,0.6004
1000,53,54,0.4508
1000,54,55,0.6134
1000,55,56,0.2331
1000,56,57,0.3126
1000,57,7,0.9667
1000,57,8,0.21
1000,56,9,0.7371
1000,55,10,0.8249
1000,54,58,0.1995
1000,58,59,0.3751
1000,59,11,0.9
1000,59,12,0.2003
1000,58,13,0.7873
1000,53,14,0.6094
1000,50,15,0.4616
1000,46,60,0.1099
1000,60,61,0.0262
1000,61,16,0.0166
1000,61,17,0.0189
1000,60,18,0.0611
1000,45,62,0.0312
1000,62,63,0.0069
1000,63,19,0.1902
1000,63,64,0.0137
1000,64,65,0.017
1000,65,66,0.0208
1000,66,67,0.0146
1000,67,68,0.0135
1000,68,69,0.0087
1000,69,70,0.008
1000,70,71,0.0065
1000,71,72,0.0037
1000,72,20,0.0019
1000,72,21,0.0037
1000,71,22,0.0082
1000,70,23,0.0144
1000,69,73,0.0103
1000,73,74,0.0067
1000,74,24,0.0045
1000,74,25,0.0061
1000,73,26,0.012
1000,68,27,0.0426
1000,67,28,0.0714
1000,66,75,0.0345
1000,75,29,0.0454
1000,75,30,0.0475
1000,65,76,0.9883
1000,76,31,0.574
1000,76,32,0.8658
1000,64,77,0.0329
1000,77,33,0.1103
1000,77,34,0.1006
1000,62,78,0.0407
1000,78,79,0.0481
1000,79,35,0.0574
1000,79,36,0.0577
1000,78,80,0.047
1000,80,81,0.0289
1000,81,37,0.0192
1000,81,38,0.0196
1000,80,39,0.0534
1000,44,82,0.5435
1000,82,83,0.0346
1000,83,40,0.0182
1000,83,41,0.0174
1000,82,42,0.064
1002,23,24,0.3135
1002,24,25,0.0277
1002,25,26,0.0821
1002,26,27,0.0208
1002,27,28,0.0725
1002,28,1,0.0277
1002,28,2,0.028
1002,27,3,0.0564
1002,26,4,0.0579
1002,25,29,0.0848
1002,29,30,0.0185
1002,30,31,0.0703
1002,31,5,0.0319
1002,31,6,0.022
1002,30,7,0.0785
1002,29,8,0.9709
1002,24,32,0.0366
1002,32,9,0.0768
1002,32,33,0.1191
1002,33,10,0.0313
1002,33,34,0.0543
1002,34,35,0.0246
1002,35,11,0.0173
1002,35,36,0.0215
1002,36,12,0.0849
1002,36,13,0.0131
1002,34,37,0.0027
1002,37,38,0.0526
1002,38,14,0.0072
1002,38,15,0.0108
1002,37,39,0.009
1002,39,16,0.0605
1002,39,40,0.047
1002,40,17,0.0026
1002,40,18,0.0019
1002,23,41,0.5983
1002,41,19,0.0509
1002,41,42,0.0189
1002,42,43,0.0826
1002,43,20,0.9861
1002,43,21,0.0287
1002,42,22,0.0417
1003,26,27,0.9934
1003,27,28,0.4743
1003,28,29,0.6015
1003,29,1,0.5227
1003,29,30,0.3237
1003,30,31,0.0278
1003,31,32,0.3162
1003,32,2,0.1995
1003,32,3,0.0952
1003,31,33,0.3331
1003,33,4,0.0751
1003,33,5,0.0734
1003,30,34,0.1578
1003,34,35,0.1473
1003,35,6,0.1552
1003,35,7,0.1909
1003,34,8,0.4822
1003,28,9,0.805
1003,27,36,0.7432
1003,36,37,0.4031
1003,37,10,0.4204
1003,37,11,0.4506
1003,36,12,0.7037
1003,26,38,0.9927
1003,38,39,0.4785
1003,39,40,0.5965
1003,40,13,0.5305
1003,40,41,0.3257
1003,41,42,0.1673
1003,42,43,0.1534
1003,43,14,0.1828
1003,43,15,0.8712
1003,42,16,0.3647
1003,41,44,0.0267
1003,44,45,0.3069
1003,45,17,0.2282
1003,45,18,0.1179
1003,44,46,0.0564
1003,46,47,0.285
1003,47,19,0.5687
1003,47,20,0.7279
1003,46,21,0.7145
1003,39,22,0.8029
1003,38,48,0.7522
1003,48,23,0.7113
1003,48,49,0.4097
1003,49,24,0.4581
1003,49,25,0.4153
1004,24,25,0.0149
1004,25,26,0.0818
1004,26,27,7e-04
1004,27,28,0.018
1004,28,1,3e-04
1004,28,2,1
1004,27,3,5e-04
1004,26,29,0.0111
1004,29,4,2e-04
1004,29,5,2e-04
1004,25,30,0.0494
1004,30,31,0.0052
1004,31,32,0.0224
1004,32,6,0.0022
1004,32,7,5e-04
1004,31,8,0.0136
1004,30,9,0.0024
1004,24,33,0.014
1004,33,34,0.0015
1004,34,10,0.0032
1004,34,35,0.0375
1004,35,36,0.0146
1004,36,37,0.001
1004,37,38,0.0028
1004,38,39,0.0123
1004,39,11,4e-04
1004,39,12,3e-04
1004,38,13,4e-04
1004,37,40,0.0162
1004,40,14,1e-04
1004,40,15,4e-04
1004,36,41,0.007
1004,41,42,0.005
1004,42,16,0.0013
1004,42,17,4e-04
1004,41,18,5e-04
1004,35,19,0.0011
1004,33,43,0.0515
1004,43,44,0.0059
1004,44,45,0.02
1004,45,20,6e-04
1004,45,21,9e-04
1004,44,22,0.0014
1004,43,23,0.0026
1008,25,26,0.0024
1008,26,27,4e-04
1008,27,28,5e-04
1008,28,1,8e-04
1008,28,2,4e-04
1008,27,3,0.0033
1008,26,29,0.001
1008,29,4,0.0021
1008,29,5,0.0011
1008,25,30,0.0013
1008,30,31,0.002
1008,31,6,0.0042
1008,31,32,0.0016
1008,32,7,0.0568
1008,32,33,0.0079
1008,33,34,0.001
1008,34,8,3e-04
1008,34,35,6e-04
1008,35,9,0.0012
1008,35,10,2e-04
1008,33,36,0
1008,36,37,0.0042
1008,37,11,0.0065
1008,37,12,2e-04
1008,36,38,2e-04
1008,38,13,0.0021
1008,38,39,3e-04
1008,39,14,1e-04
1008,39,15,1e-04
1008,30,40,0.9989
1008,40,16,7e-04
1008,40,41,7e-04
1008,41,42,0
1008,42,43,3e-04
1008,43,17,2e-04
1008,43,18,1e-04
1008,42,44,0
1008,44,19,8e-04
1008,44,45,3e-04
1008,45,20,0
1008,45,21,0
1008,41,46,1e-04
1008,46,47,2e-04
1008,47,22,5e-04
1008,47,23,4e-04
1008,46,24,2e-04
1009,24,25,0.5231
1009,25,26,0.0066
1009,26,27,0.008
1009,27,28,0.0609
1009,28,1,0.0302
1009,28,2,0.0539
1009,27,3,0.09
1009,26,29,0.0684
1009,29,4,0.0386
1009,29,5,0.0455
1009,25,6,0.0659
1009,24,30,0.3252
1009,30,31,0.0417
1009,31,32,0.1004
1009,32,7,0.0939
1009,32,33,0.0425
1009,33,34,0.0025
1009,34,35,0.0401
1009,35,8,0.0064
1009,35,9,0.0382
1009,34,36,0.0071
