data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSBTAG00000000005	4.38572790228666	3.2609694334603	0.471183548867798	1.98095793058781	0	5.76457958216011
ENSBTAG00000000008	0	0	6.87929142791281	0	0	2.03843490508848
ENSBTAG00000000009	0	0	0.468696484593153	0	0	1.2143990549624
ENSBTAG00000000010	6.49142844569083	8.39597723760765	5.13780643329855	4.88225001024651	6.86781617108454	4.52325373914389
ENSBTAG00000000011	2.77015332720611	0	0.178209307363672	5.13242372745187	0	1.79753610011792
ENSBTAG00000000012	3.4423259104253	1.21442084443698	3.08031195468235	1.92555638625863	2.76081884407651	4.82069932699412
ENSBTAG00000000013	1.91352294928096	0.273564594763473	3.23553140881481	1.53292693424252	3.14477586803573	4.50095172610234
ENSBTAG00000000014	6.81984720886164	10.0706522550153	7.10780703009853	5.13755850765891	8.48517507798689	6.0166636631788
ENSBTAG00000000015	2.24420561208847	1.36274741447901	0	0.755020004230529	0	0
ENSBTAG00000000016	0.525362069003323	0	0	0	0	0.253054589542358
ENSBTAG00000000019	8.20298740169095	6.00730660905127	7.52454592587634	4.56871410693033	6.6596724285937	4.99260744124527
ENSBTAG00000000021	3.62097833259286	5.98015367094477	4.61332129886627	3.10994869395334	3.74470306268445	5.72497968239291
ENSBTAG00000000022	1.97991827198436	4.92441577067943	3.16727022237761	1.38659807289309	2.4608817820917	3.31540900642619
ENSBTAG00000000023	4.01408317601198	4.10697102148597	4.85769454846247	2.21125693884805	3.61049923219965	5.00548722309641
ENSBTAG00000000024	4.67320855167666	5.86356876988787	4.27213628882742	2.43177971953478	5.63540331743911	7.75732639652732
ENSBTAG00000000025	6.37248004366046	4.18140846210851	4.86235767948124	3.07790642142983	5.35327457503749	4.09511444028578
ENSBTAG00000000026	4.0567366455832	3.18645401358025	4.14806039472448	2.89423195330346	2.21737545499416	3.85952290312385
ENSBTAG00000000027	0	0	0	0	0	0.739284981358269
ENSBTAG00000000029	3.56135513519489	0	3.37486080340166	0	0	6.07614747988673
ENSBTAG00000000030	2.00550941054725	0	0	0	0	3.3958622140757
ENSBTAG00000000031	0	0	4.60269724735469	0	0	1.2100893586729
ENSBTAG00000000032	2.02649476647141	1.58395705345772	2.07686228027459	2.23374320538721	1.88066148893746	0.205788912422899
ENSBTAG00000000033	2.47189658482786	1.6180282799068	0	0.601070623131515	5.79227433751431	5.64785257529938
ENSBTAG00000000037	3.16138353983037	0.514332684833941	2.97251076308009	1.83291505851676	1.79782117214239	4.78754213142748
ENSBTAG00000000039	3.57021867731959	2.08994113841008	4.18206326388775	3.24135721483087	3.12793907689645	3.53976651604647
ENSBTAG00000000040	4.64799836387044	3.4594425982022	3.63721895821404	2.93136961773215	5.05003392087545	4.77443726978939
ENSBTAG00000000042	4.29981941209817	2.7245990267897	2.26585858423266	3.01586106883392	1.28318725569895	2.18305127412945
ENSBTAG00000000044	1.1247024765494	5.79590444984179	0	0	6.66303775965721	0
ENSBTAG00000000046	3.66451008147878	3.26659727634021	3.52827694160545	2.70557878649179	4.1258893761042	2.77841866080558
ENSBTAG00000000049	1.76811992754453	0.0468949813025072	2.18534080786974	1.47376321534442	0.379265602153326	4.6376834135079
ENSBTAG00000000050	5.08557845931873	5.29819692304993	4.92990626362688	3.84998355649278	5.24430415754293	5.10835649852234
ENSBTAG00000000052	4.58960239071189	4.48214132486171	1.81647868015159	1.13032190502442	4.6072184134826	1.55304302864266
ENSBTAG00000000053	2.31063038849151	3.00154482315225	1.24344708020007	0	4.48275830814455	2.46438933511067
ENSBTAG00000000054	3.60340138318255	1.10407244993454	3.40266754294615	2.77041927832103	3.38255785089756	3.76911189864423
ENSBTAG00000000056	4.06666145067754	5.63069009930062	3.65494469783921	2.18528997801599	1.98250057285173	6.8710462478986
ENSBTAG00000000057	2.65120047168487	1.89887656389466	2.24434673810522	0	0	4.28324863748564
ENSBTAG00000000059	0	0	0	0	0	0
ENSBTAG00000000061	4.86310530261698	3.02872820064399	2.51242468841909	0	0.981400715328774	0
ENSBTAG00000000062	0	7.69541038940678	0.981845816451328	0.217453679019537	1.6973709192828	3.73590184334265
ENSBTAG00000000064	3.14190919798827	1.68455636972626	2.0882280290978	1.25664636410308	2.67622856231391	4.60042384105689
