data1	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.muscle	TPM.testis
ENSORLG00000000001	3.43535308965708	2.55171344661006	4.04070537429974	2.7921043717075	5.24950174595287	3.7958823635901
ENSORLG00000000002	4.5860958009452	2.36164682545627	3.81406552800181	0.761952670302442	8.04861632158049	3.98341268734301
ENSORLG00000000003	5.06130852659003	0.375664295511091	0	0	0	0.321743027088261
ENSORLG00000000004	0	0	0	0	0	0
ENSORLG00000000005	3.21204890416995	1.79636263526571	3.78042790107192	3.55799151093466	2.82854469609616	4.75371471245916
ENSORLG00000000006	2.99959467655073	1.33321846716742	2.7949608548971	1.47097032707083	0	3.72262298705036
ENSORLG00000000007	4.09597990878811	1.94554926791795	2.55557945957372	0.594853182925009	2.56005643907198	3.84074697452009
ENSORLG00000000008	3.84410593905537	2.64392463525868	3.44145071269426	4.31171243450372	7.06271506904401	5.70754145619136
ENSORLG00000000009	0.810069288435678	3.15272092100044	0.497728454793771	5.52210942632538	9.30158673386194	0.528567259766001
ENSORLG00000000010	2.68771025297119	2.02806063462022	3.28222359257006	7.07479318371064	0	5.20554486652107
ENSORLG00000000011	0	0	0	0	0	0.88373337689591
ENSORLG00000000012	0	0	0	1.94026255278028	0	1.22635290232327
ENSORLG00000000013	5.26264158309962	2.1916263044469	2.54751105088133	1.42193102401044	0	5.47741612605532
ENSORLG00000000014	5.58123988155117	4.91102829870354	8.07291987752935	8.90189330088423	15.5266739766102	7.35470074956851
ENSORLG00000000016	0	0	0	0	0	0
ENSORLG00000000017	0	0	0	0	0	0.535467663302867
ENSORLG00000000018	0	0	0	0	0	0.542930912740903
ENSORLG00000000020	0	0	0	0	0	0.0120284723607102
ENSORLG00000000021	0.315165437545725	1.29931594013017	2.55724590025895	0	0.0967902991981043	1.38558713015616
ENSORLG00000000022	3.39440082463803	1.67552909920462	2.70189652469979	3.71544894163237	0	3.66503296131153
ENSORLG00000000024	2.92156461032453	0.927560761963154	0.801382500623731	1.83410336011828	5.95157081977535	3.56968846862207
ENSORLG00000000025	0	0	0.439457977375667	0	0	0
ENSORLG00000000026	2.02631977150245	1.11805459690343	0.74511116886292	0	2.57816716910168	2.3948808504635
ENSORLG00000000027	2.56630364978637	1.90057012776749	2.71135277520456	2.92323100458356	0	3.52190785231401
ENSORLG00000000029	3.30077375662468	2.51874299617163	3.30698604290656	2.9624706942795	4.10656115456359	4.06503652393448
ENSORLG00000000030	3.63928041158083	3.30481492136027	3.85405750233171	2.31302844658691	1.91360455863735	4.07813214782166
ENSORLG00000000031	5.51745138238488	4.8352894539715	5.17457884825979	4.60965214651398	15.9983779198864	4.73396712215863
ENSORLG00000000032	6.58620871001007	4.29715087142964	6.13324644790636	5.28063781898779	6.25996652497212	7.4973964283836
