Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSBTAG00000000005	1.359347	72.455102	5.417607	21.765867	0.848256	2.982114	10.729656	34.807929	5.208028
ENSBTAG00000000008	88.435401	4.547221	0.013208	0.02382	0	0	0.038474	0.111195	0
ENSBTAG00000000009	1.357146	2.465203	0.235718	0.264562	0.434114	33.678965	79.106233	1.345682	0.959246
ENSBTAG00000000010	28.434127	28.808972	77.504156	95.516094	50.749264	37.177248	46.919152	29.795187	58.385661
ENSBTAG00000000011	1.123124	3.802023	0.031764	6.998069	0	0.681151	0.012243	0.031911	71.914149
ENSBTAG00000000012	7.441025	35.933966	1.876195	11.220459	4.848105	8.9705	9.307443	18.457175	4.973133
ENSBTAG00000000013	8.232942	28.335542	1.152284	3.834253	6.038332	7.552409	15.815892	25.93939	3.585784
ENSBTAG00000000014	102.633462	87.379483	184.574954	120.296761	127.954488	99.920057	64.472792	50.800155	72.222416
ENSBTAG00000000015	0.709815	0.483357	2.026075	4.836695	0.306703	1.589665	3.741409	3.321764	1.875651
ENSBTAG00000000016	0.295748	1.206851	0.097463	1.446275	0	2.30515	1.036029	6.954881	0.278218
ENSBTAG00000000019	134.65211	40.829598	22.480638	317.798881	45.055009	71.658627	223.295491	147.576462	44.965022
ENSBTAG00000000020	0	0.587228	0	0.754327	0.055427	0.734826	0.036408	0.037991	0.363837
ENSBTAG00000000021	20.203512	70.354388	22.166569	12.72052	8.509266	13.507765	28.604786	37.862749	13.338928
ENSBTAG00000000022	7.874795	11.743295	12.827101	4.017291	4.08405	5.943157	9.867096	13.851355	3.174279
ENSBTAG00000000023	23.690647	41.222189	8.3981	16.76538	7.880728	19.394516	40.458944	45.880414	6.309445
ENSBTAG00000000024	16.176408	318.473105	20.867176	26.635817	25.08387	22.389105	26.456277	19.716346	7.581797
ENSBTAG00000000025	23.762736	20.959415	8.728337	87.860525	21.346947	25.080205	74.943724	37.895961	12.987592
ENSBTAG00000000026	14.920125	17.593828	5.212421	17.275235	3.553228	22.312742	17.322501	22.649485	11.144964
ENSBTAG00000000027	0	1.731995	0	0.072861	0	0	0	0	0
ENSBTAG00000000029	9.015316	91.327851	0.011952	12.198826	0	0.037508	0	0.059958	0.018865
ENSBTAG00000000030	0.688345	12.466656	0.044149	4.090151	0.027675	3.595363	0.468105	3.56714	0.028483
ENSBTAG00000000031	20.064142	2.457322	0.002909	0.350864	0.036056	3.23839	6.401401	0.258606	0.441109
ENSBTAG00000000032	3.869792	1.165205	2.272133	4.150883	2.930958	14.352754	40.859153	71.673254	6.428746
ENSBTAG00000000033	0.569471	66.436145	2.312601	5.675461	27.437786	2.414214	4.836068	11.74058	1.649894
ENSBTAG00000000037	6.936308	35.059543	1.305386	9.211173	2.795365	9.290825	16.238055	26.44742	4.603776
ENSBTAG00000000039	15.254368	13.873431	2.953208	12.275005	5.98048	34.824753	20.599201	23.492592	14.882026
ENSBTAG00000000040	10.69597	34.719837	6.004397	26.16834	17.94876	17.602344	22.064496	12.189749	11.495143
ENSBTAG00000000042	4.376911	5.063021	4.103075	20.491387	2.082781	64.475721	3.927741	7.593396	12.333371
ENSBTAG00000000044	0	0.182858	20.148251	2.203268	45.141789	0.004349	0.011173	0	0.004479
ENSBTAG00000000046	9.963065	7.879854	5.433428	13.115454	10.581544	11.37821	9.193289	6.49732	9.524178
ENSBTAG00000000049	4.153208	31.365414	1.024596	3.462012	1.242167	7.527223	10.989829	14.805424	3.413342
