Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSMMUG00000000001	0.311534	17.525266	0.191279	4.811908	0.902247	7.984835	2.636825	4.746221	1.00041
ENSMMUG00000000002	0.306822	7.327401	0.094105	0.940574	0.154437	2.476971	0.246397	0.852612	0.08932
ENSMMUG00000000004	0.102665	0.282874	0	0.182243	0	0.047117	0	0.032139	0
ENSMMUG00000000005	13.665769	19.318844	20.898198	3.065293	6.179543	35.094436	16.746609	39.590171	43.652071
ENSMMUG00000000006	0.501817	0.237381	0	0	0	0.38833	0.327183	0.233041	0.466116
ENSMMUG00000000007	22.983784	18.0873	4.752261	12.411361	0.656313	39.98053	48.707064	33.388923	36.602965
ENSMMUG00000000009	3.258075	1.357709	1.829677	1.946651	0.060676	64.405458	250.978921	608.906695	26.34375
ENSMMUG00000000010	36.977418	121.684212	26.025748	63.779428	27.861487	63.916448	71.664985	55.359941	75.783544
ENSMMUG00000000012	0.298111	0.228777	0	0	0	0.505236	0.647691	0.746262	0
ENSMMUG00000000013	12.338286	16.185474	2.750472	31.251902	0.424042	44.845474	41.166275	53.743587	10.368455
ENSMMUG00000000014	0	0	0	0	0	0	0	0	0
ENSMMUG00000000015	0	58.267532	0	0	0	2.491938	0	1.05146	0.593424
ENSMMUG00000000016	15.027189	121.620571	1.61376	40.906168	0.393773	110.40248	71.685864	63.88513	15.369469
ENSMMUG00000000017	0	0.505279	0	0	0	0	75.830382	0	0
ENSMMUG00000000018	3.039302	0	0	0	0	0.216832	0	0	0
ENSMMUG00000000019	5.776313	15.093613	1.948823	2.52903	5.007868	3.066402	7.452187	5.918805	5.285163
ENSMMUG00000000020	0.170678	1.063697	0.395849	0.628976	0.581192	0.55782	1.38285	0.76847	0.177307
ENSMMUG00000000021	0.909381	32.951785	0.334567	1.051605	0.118486	2.935159	4.722101	1.743295	2.867606
ENSMMUG00000000022	0	1.133746	0.025416	0.10743	0.147579	0	0.116916	0.048581	0.229913
ENSMMUG00000000023	0.42128	2.332184	0.140001	0	0	1.994878	1.109131	1.185703	0.219081
ENSMMUG00000000024	0.049285	0.522716	0.103081	0	0	5.080164	2.489875	3.914525	0.485898
ENSMMUG00000000025	3.497999	6.007239	0.394996	3.1786	0.260753	0.82807	4.560325	0.467119	1.981914
ENSMMUG00000000026	0	0	0	0	0	0	0	0	0
ENSMMUG00000000027	0	1.017251	0.128479	1.872744	0	0	3.347447	1.20123	0
ENSMMUG00000000029	6.708007	14.117276	1.798849	14.961448	0.325285	5.822363	31.390687	20.409847	8.620173
ENSMMUG00000000030	8.73347	101.838486	1.735763	5.799795	0.785341	23.003021	38.374437	71.773599	7.846724
ENSMMUG00000000031	0.117883	2.063356	0.181964	8.567217	0.080753	0.354306	12.622316	2.140418	0
ENSMMUG00000000032	0	818.384316	0	0.525574	0	0	2.18844	0.834835	0.208997
ENSMMUG00000000033	4.682241	11.809716	8.586928	6.466936	27.480446	8.206139	19.742022	11.970708	4.730943
ENSMMUG00000000034	0	0.397638	0.132396	0.049237	0	0	0.054021	0.070107	0.161978
ENSMMUG00000000036	0	0	0.399034	0	0	0	0	0	0
ENSMMUG00000000037	7.487969	562.561483	3.268233	15.066595	3.233247	19.318692	23.429621	26.225894	10.376137
ENSMMUG00000000038	10.490185	33.46212	3.446069	16.259006	12.158164	8.483649	13.43036	14.18315	7.687806
ENSMMUG00000000039	114.037915	134.091905	40.988964	43.796773	117.719612	65.668433	45.484077	38.449585	71.090336
ENSMMUG00000000040	10.057635	3.34815	34.668339	19.558515	11.993433	31.901938	3.918112	11.746246	2.140199
ENSMMUG00000000041	0	0.870364	0	1.502472	0	0.329379	0.761241	0	0
ENSMMUG00000000042	9.495146	9.235428	1.905536	18.01464	1.359984	23.466436	16.776563	7.021328	7.30755
ENSMMUG00000000043	22.757326	39.409103	9.819899	68.525844	1.487646	37.795962	49.025373	37.609656	12.318236
ENSMMUG00000000044	2.777958	77.52124	0.487698	3.61383	0.44342	1.444752	4.866918	3.04832	0.367157
ENSMMUG00000000045	4.036745	4.7047	2.10581	0.548692	1.887641	0.551103	28.153866	6.758385	2.942903
ENSMMUG00000000046	0	0.705208	0	0	4.262393	1.17382	0.048222	0	0.036394
ENSMMUG00000000047	0	0	0	1.745578	0	0	0	0	789.537225
ENSMMUG00000000048	0	6.397522	0	0.598373	0	5.163358	253.750074	0	0.083474
ENSMMUG00000000049	4.222423	32.606383	0.457947	118.512607	0.057366	6.152369	25.607832	9.869388	2.866689
ENSMMUG00000000050	347.232965	421.943847	80.951201	162.576239	90.559435	511.674967	824.853038	1011.268133	233.037962
ENSMMUG00000000051	1.402064	3.94747	0.306949	3.867324	0.095953	0.826691	1.443248	1.020779	0.382407
ENSMMUG00000000052	0	0	0	0	0	0.359766	0	0	0
ENSMMUG00000000053	0	7.326367	0.736808	4.22262	0	0	0	3.079547	1.780311
ENSMMUG00000000054	27.551446	236.339612	6.585615	2.750016	15.799807	4.494352	6.67862	9.694134	8.270157
ENSMMUG00000000055	40.923033	64.940268	8.13363	10.428714	13.24057	44.763234	27.577202	57.432836	43.433095
ENSMMUG00000000056	19.558027	23.847999	9.414649	71.541788	3.678265	93.656842	113.856593	68.56756	34.912816
ENSMMUG00000000058	35.864758	142.527473	24.860438	79.428282	21.765849	127.992028	203.743043	210.971789	72.473031
ENSMMUG00000000059	6.515753	6.411167	3.627958	34.156746	0.876285	59.51073	43.045323	49.987596	12.041875
ENSMMUG00000000061	0.791589	0.450801	1.198219	1.28104	0.748717	2.298107	1.673171	2.918526	1.060462
ENSMMUG00000000062	0	0	0	0	0	0	0	0	0.467722
ENSMMUG00000000063	2.018745	8.751966	5.085745	53.057673	2.087151	0.67356	2.975602	3.176786	0.242554
ENSMMUG00000000064	0	0	0	0	14.577965	0	0.139407	0.231253	0
ENSMMUG00000000065	11.716524	73.389958	11.728157	41.637071	0	3.120601	45.51863	8.524638	2.916243
ENSMMUG00000000066	0	0	0	0	0	0	0	0	0
ENSMMUG00000000067	5.08969	1.24229	2.132041	20.444001	0.799126	8.953309	14.906719	5.296263	14.175588
ENSMMUG00000000068	0	0	0	0.182299	0	0	0.288109	0	0
ENSMMUG00000000069	20.218068	34.393865	24.908007	23.743275	3.997522	41.451977	80.461965	45.03968	56.701037
ENSMMUG00000000070	0.471578	109.32182	1.209648	2.315164	0.707962	31.368316	2.238346	7.706465	1.334127
ENSMMUG00000000072	10.100587	57.560564	5.216721	24.536105	4.438447	42.189634	33.697035	32.208812	15.031057
ENSMMUG00000000073	0.851617	0.388215	0.079389	0.152322	0	0.749885	18.52652	8.583327	0.708176
ENSMMUG00000000074	44.316078	249.177577	18.700388	101.294003	32.804285	73.191659	116.41028	108.17565	43.768115
ENSMMUG00000000075	7.415055	52.329708	0.968463	6.429019	0	4.950094	5.333435	5.985335	4.410614
ENSMMUG00000000076	0.503796	0.387892	0.112106	0.238726	0	0.363223	0.47246	1.634045	0.197398
ENSMMUG00000000079	0.473594	647.904187	0.795722	2.719743	0	1.523707	2.40523	5.228936	0.389681
ENSMMUG00000000080	0	0.110352	0	0	0	0	0	0	0
ENSMMUG00000000081	6.858377	248.979317	3.302068	9.957341	5.180794	34.138443	14.691598	9.223362	5.65671
ENSMMUG00000000082	0	0	0	0	0	0	0	0	0
ENSMMUG00000000083	5.618398	26.317204	0.4401	2.273958	2.086808	9.638027	3.385527	5.562553	0.614784
ENSMMUG00000000084	0.406353	2.794291	0.172256	0	0.210348	0.445296	0	0.897518	0
ENSMMUG00000000085	0.155589	1.246087	0.283087	74.358646	0	1.371393	0.896466	1.869851	0.27961
ENSMMUG00000000086	2.527919	9.335185	2.352236	19.008022	0.717621	2.43701	18.423866	11.553026	4.199262
ENSMMUG00000000087	0.076824	1.631434	0.11495	2.407865	0.01856	0.477132	4.099158	2.232683	0.902077
ENSMMUG00000000088	0	0	0	0	0	0	0	0	0
ENSMMUG00000000089	6.386765	1.193337	0	0.916608	0	12.978438	1.889986	0	0.911781
ENSMMUG00000000090	29.952841	126.902845	19.770122	27.915408	20.985045	28.835287	36.897382	22.371968	9.965599
ENSMMUG00000000091	0.854416	8.200964	0.479111	1.243703	0.810211	1.968473	3.928584	1.685284	0.913612
ENSMMUG00000000092	163.178818	46.098812	5.079499	11.208114	20.090783	35.317221	41.882979	43.724085	44.133002
ENSMMUG00000000093	0	0	0	0	0	0	0	0	0
ENSMMUG00000000094	1.318327	19.540392	3.147437	16.511666	0.761456	4.741942	24.041412	10.21146	4.320849
ENSMMUG00000000097	61.688307	90.38287	17.172332	121.577167	23.061277	235.378424	176.974968	201.311201	121.343666
ENSMMUG00000000098	0	0.151125	0.017433	0.909394	0	0.098841	0.168451	1.096802	0.095013
ENSMMUG00000000099	0	0.487347	0	0	0	0	0.544815	0	0
