Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSMUSG00000000001	38.639422	20.442951	29.656736	19.676683	6.912233	30.376246	44.246291	45.758743	20.705286
ENSMUSG00000000003	0	0	0	0	0	0.031733	0	0	0
ENSMUSG00000000028	1.402498	23.273271	3.354414	1.692973	1.426197	4.169763	2.446729	10.483703	0.702387
ENSMUSG00000000031	0.043174	1.031061	12.315784	0.122754	173.27634	0.119528	2.001929	0.362795	0.080603
ENSMUSG00000000037	0.123947	13.080335	0.528763	0.965956	0.110716	0.017182	0.290671	0.342086	0.003203
ENSMUSG00000000049	8.513097	61.410458	0.320978	0.424275	0.843435	1.249285	0.419876	0.04117	1422.210869
ENSMUSG00000000056	19.39252	4.12394	40.874575	34.156053	65.875059	7.56606	10.060125	26.558489	19.242157
ENSMUSG00000000058	12.478195	1.095166	98.030742	25.737127	11.410959	0.661092	144.771572	5.950383	0.531986
ENSMUSG00000000078	10.428128	2.614935	40.777121	20.90531	8.310689	31.545155	67.513626	38.888116	1.557173
ENSMUSG00000000085	17.361947	102.831619	14.902898	48.413509	26.972488	6.968214	30.682524	21.8301	5.485387
ENSMUSG00000000088	373.391755	204.259085	589.670101	275.110076	643.843755	473.590673	123.685037	130.380303	235.393438
ENSMUSG00000000093	8.725742	1.167803	1.478432	0.832035	0.972502	1.76157	96.969117	2.067629	0.670701
ENSMUSG00000000094	0.019423	0.520948	0	0.070566	0.975399	0.07074	31.578529	0.033432	0.008982
ENSMUSG00000000103	0	3.794262	0	0	0.005595	0	0	0	0
ENSMUSG00000000120	0.452309	12.655099	0.271986	1.519503	0.282209	1.066254	0.295129	5.608843	1.124676
ENSMUSG00000000125	0.003621	22.331449	0	2.294467	0.034933	0.495422	0.008114	0.152176	0
ENSMUSG00000000126	0.582301	0.266934	1.717451	11.109561	5.583298	0.223179	3.878477	0.11662	0.179883
ENSMUSG00000000127	3.204783	21.483724	8.139976	11.356096	4.814533	3.011766	7.219617	3.048944	2.383315
ENSMUSG00000000131	23.294567	204.077157	20.519933	56.153016	18.359129	33.324919	47.775786	102.664669	17.740458
ENSMUSG00000000134	11.41729	13.562424	9.267336	21.038558	4.152817	11.267778	20.672435	27.257144	9.872186
ENSMUSG00000000142	0.956274	2.721409	0.513855	13.334024	1.914259	7.195115	10.377266	6.206556	3.472657
ENSMUSG00000000148	5.503241	16.771337	4.740543	14.182556	2.72255	3.691186	10.871896	20.446513	4.484114
ENSMUSG00000000149	46.205889	24.772911	31.089115	47.409883	12.629439	8.163836	53.021719	41.57103	56.502221
ENSMUSG00000000154	351.616842	19.261391	1.7627	0.570103	0.204321	83.98484	10.57677	1.396567	95.687371
ENSMUSG00000000157	1.95512	0.031002	0	0.063634	0.004838	0.918436	1.164165	0.372652	1.871493
ENSMUSG00000000159	57.118612	0.595224	0	0.464262	0	32.883371	20.905805	0.082412	18.109193
ENSMUSG00000000167	2.584992	37.115237	0.637771	4.847627	0.486752	0.631005	7.644926	0.553055	0.230007
ENSMUSG00000000168	84.829539	57.719244	83.209618	77.934601	84.235803	26.435983	27.057858	24.40923	24.271061
ENSMUSG00000000171	212.395162	30.741352	372.470514	82.916967	158.201357	239.669678	92.653073	55.136465	137.674834
ENSMUSG00000000182	0.006399	0.034069	0	0.496523	0.081254	0	0	0.083908	0.004846
ENSMUSG00000000183	0	0.012777	0.395251	0	3.424745	0	0	0.006475	0
ENSMUSG00000000184	5.999614	3.324979	16.427555	56.636655	4.816544	40.96961	53.813944	123.37074	1.941433
ENSMUSG00000000194	18.890385	23.744674	8.108239	22.913246	8.40178	25.035877	24.574874	24.407637	7.962896
ENSMUSG00000000197	0.12339	0.238531	0.690782	33.170971	0.17987	0.018083	0.097861	0.039982	0.001293
ENSMUSG00000000202	0.043906	0.491398	0	18.133497	0.109772	0.060691	0.102609	0.062165	0
ENSMUSG00000000204	0.039934	0.114742	0.49268	0.005605	0.093248	0.518764	2.113788	2.448999	0.033045
ENSMUSG00000000214	0	1.229791	0	1.075776	0.077471	0.22799	0	0	0
ENSMUSG00000000215	0	0.412678	0	0.817304	0.074969	225.654148	0	0	0
ENSMUSG00000000216	9.326157	0.005172	0	0.152251	0	0	51.131203	0.020953	0
ENSMUSG00000000223	0.023162	1.986998	0.260524	34.715164	1.473033	0.104006	0.113631	0.173468	0.003764
