Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.cerebellum	TPM.liver
ENSMODG00000000001	0	0.701883	0	66.672187	73.792417	0
ENSMODG00000000002	0	0	0.148578	0	0	0.513137
ENSMODG00000000003	0	25.068901	0	0	0	0
ENSMODG00000000005	2.475339	1.654672	0.240074	1.430279	0.533488	0.230026
ENSMODG00000000006	0.88627	4.676718	0	0.316497	0.232123	0.105583
ENSMODG00000000008	0.098613	0.230633	0.019766	0.332959	0.724724	0.214694
ENSMODG00000000011	0.019506	0	0.011875	18.071618	17.626822	0
ENSMODG00000000012	17.363717	4.029387	2.141206	137.855847	285.263896	0.620868
ENSMODG00000000013	0	0.341234	0.023888	0.132901	0.4548	0.086811
ENSMODG00000000014	0.721328	48.648152	0.097804	0.823359	2.754896	0.181356
ENSMODG00000000015	0.144995	0.084589	0.009728	0.114937	0.059671	0.07047
ENSMODG00000000016	0	6.620099	0	0	0	0
ENSMODG00000000018	0	22.436615	0	0	0	0
ENSMODG00000000019	0	0	0	0	0	0
ENSMODG00000000020	0.100225	2.646097	0.062645	0.09183	0.033169	0.004773
ENSMODG00000000021	0.277244	0.410342	0	1.856569	0.349563	0
ENSMODG00000000022	3.462347	15.394459	1.225521	6.484842	16.605302	0.63886
ENSMODG00000000023	0	0	0	0	0	0
ENSMODG00000000026	0	1.207208	0	0	0	0.087614
ENSMODG00000000029	0	0.06915	0	0.054888	0.43744	0
ENSMODG00000000031	71.322869	105.696725	35.36197	63.983208	88.0206	7.766401
ENSMODG00000000032	0.022785	0.083469	0.018792	1.224282	2.778861	0.222361
ENSMODG00000000033	0.112804	0.78307	0.057852	26.078485	0.530001	0
ENSMODG00000000034	0.633141	0.324093	8.784493	3.809999	2.693722	0.061552
ENSMODG00000000035	10.601522	10.57027	7.345903	21.157706	30.280655	2.721712
ENSMODG00000000036	0.035953	0.167048	0.04415	0.082556	0.359688	0
ENSMODG00000000038	13.445393	0	0	0	0.259685	0
ENSMODG00000000040	1.514531	1.890873	0.390083	1.193969	1.140351	0.40565
ENSMODG00000000041	0	0.250835	0	0	0	0
ENSMODG00000000042	0.697421	14.74505	0.597654	144.499212	170.77751	1.015511
ENSMODG00000000043	9.179444	10.866655	4.623414	13.940689	24.025538	4.436926
ENSMODG00000000044	0.371155	0.343328	0.115835	1.494874	0.323788	0
ENSMODG00000000048	0	4.364551	0.009889	0.139406	0	0
ENSMODG00000000049	5.159503	1.922046	0.641257	0.180175	0.032639	1.943575
ENSMODG00000000050	0	0.032053	0	0	0	0
ENSMODG00000000052	1.244023	3.049223	0.864486	2.583231	4.335303	0.560245
ENSMODG00000000053	0	0.152215	0.003544	1.324649	0.531437	0
ENSMODG00000000054	0.012895	1.590912	0	0.014847	0.038399	1.804212
ENSMODG00000000056	2.646939	11.161433	1.782441	3.878294	1.34	0.889052
ENSMODG00000000057	0	0.062517	0.035473	0.362053	0.179488	0
ENSMODG00000000058	0	1.520818	0	0.104747	0	0
ENSMODG00000000060	0.259422	0.037682	0.005272	0.983748	1.085771	0.977732
ENSMODG00000000063	0	0	0	0	0	0
ENSMODG00000000065	5.827688	3.699292	1.723782	2.693143	3.051923	4.394304
ENSMODG00000000067	7.770923	48.4526	3.591819	11.636582	29.149289	4.985264
ENSMODG00000000068	6.338697	2.743092	1.376334	4.982455	5.253482	4.026615
ENSMODG00000000074	0	0.580926	0	0.064784	0.414471	0
ENSMODG00000000076	0.084735	0.173037	0	0.731176	0	0
ENSMODG00000000077	0	0	0	3.796734	0	0
ENSMODG00000000079	0.380691	15.515953	0.013033	0.62125	0.530815	0.067422
ENSMODG00000000081	0	0	0	0	0	0
ENSMODG00000000082	2.737633	35.144845	2.023249	6.171458	3.871586	1.486141
ENSMODG00000000083	3.090387	12.25256	2.658097	23.127292	9.59813	3.367418
ENSMODG00000000084	0.261288	0.155518	0.185321	0.300841	0.166152	0.780429
ENSMODG00000000085	0.034906	0	18.097781	0.242745	0.230214	1.44763
ENSMODG00000000086	0.07381	0.173869	0.015258	0	0.187765	0.055218
ENSMODG00000000087	1.953047	4.170663	4.709563	11.92543	15.904293	2.288288
ENSMODG00000000088	3.342119	4.602688	1.58183	9.36081	15.485318	2.495258
ENSMODG00000000089	7.809808	12.323999	4.287884	4.991735	13.10163	3.215394
ENSMODG00000000090	3.90348	6.298897	2.482235	6.323522	4.809659	22.496202
ENSMODG00000000092	1.972208	24.061612	0.790455	83.140974	56.450589	0.05835
ENSMODG00000000094	2.747736	33.428952	12.365607	6.185853	6.105511	1.609603
ENSMODG00000000095	0	0.019094	0	0	0	8.281687
ENSMODG00000000097	0.391052	7.302309	0.509533	2.397253	3.550945	0.23502
ENSMODG00000000098	399.123993	96.764899	930.764911	357.556594	298.453656	164.294746
ENSMODG00000000099	0	0.302744	0.01364	6.847831	12.516939	0
ENSMODG00000000101	801.918479	0	180.651607	439.631139	534.061961	192.188127
ENSMODG00000000102	1.915094	1.013455	0	0	0	12.474634
ENSMODG00000000104	1.770326	0.98055	0.680778	2.087798	4.484337	0.363314
ENSMODG00000000105	0.091071	0.186292	8.811029	0.177671	0.435711	0
ENSMODG00000000106	0	0	0	0	0	0
ENSMODG00000000107	2.934266	5.4417	2.044655	7.013059	3.909691	2.18794
ENSMODG00000000109	4.255989	7.295199	0.662168	7.926755	6.961038	0.399163
ENSMODG00000000111	2.604317	6.857422	1.563567	7.479857	9.432779	1.076709
ENSMODG00000000113	0	0	0	0.02384	0	0
ENSMODG00000000115	1.066799	5.903782	0.380907	1.886084	1.670184	19.759888
ENSMODG00000000116	1.964632	6.276902	1.628709	4.592688	4.418716	0.338486
ENSMODG00000000117	1.574266	0.559063	0	12.60821	3.886526	0.022753
ENSMODG00000000118	1.06641	3.780408	0.867564	2.275711	4.050341	2.273668
ENSMODG00000000120	0	5.748233	0.107649	0.171109	0	0.057772
ENSMODG00000000121	15.537306	9.559278	5.245712	11.799938	23.370088	3.276128
ENSMODG00000000122	0.634195	13.827824	0.385143	8.067304	20.162212	3.125121
ENSMODG00000000123	0	0.163273	0	0	0	0
ENSMODG00000000124	0.019427	0.516212	0.003956	0.223702	2.180335	0.014118
ENSMODG00000000125	0.504337	0.054107	0.055502	0.841486	0.268732	0.085198
ENSMODG00000000126	1.039682	5.562989	0.009045	54.328986	28.038262	0.545601
ENSMODG00000000127	0.141499	0.177179	0.029222	0	0	0.054195
ENSMODG00000000129	3.270024	11.548435	1.316281	3.143153	3.145971	1.207478
ENSMODG00000000130	8.213365	0.196315	1.423853	8.846469	19.880193	2.558958
ENSMODG00000000131	2.875175	102.936565	1.886803	5.61518	7.444597	1.36919
ENSMODG00000000132	0.919028	4.316096	0.299319	2.95852	18.627262	0.14233
ENSMODG00000000133	0.269073	0.158147	0	0.310422	0	0
ENSMODG00000000134	1.386287	3.880055	4.29782	5.09956	5.213775	1.047177
ENSMODG00000000135	7.471839	33.64701	7.342934	29.926527	21.189553	3.406048
ENSMODG00000000137	16.156881	3.245847	14.975199	15.924932	15.782435	8.681954
ENSMODG00000000138	0	0.042842	0	0	0	0.214557
ENSMODG00000000139	1.880506	3.864865	1.331553	4.211594	6.264443	1.076925
ENSMODG00000000141	6.934531	8.553954	13.795745	11.883378	10.859584	3.287143
ENSMODG00000000142	23.343415	0.516993	3.921178	1.860942	1.708424	0.950977
ENSMODG00000000144	1.172488	41.059136	0.01002	12.49971	4.542304	0.177288
ENSMODG00000000145	6.032643	9.85198	2.061017	23.435402	38.696169	3.097822
