Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.muscle	TPM.colon	TPM.lung	TPM.spleen	TPM.liver
ENSRNOG00000000001	0.188081	0.03652	0.389314	0.783935	0.430457	2.110526	3.00716	0.285132	0.059652
ENSRNOG00000000007	0.004497	7.119243	0.98108	138.167252	0.024679	0.04836	0.377288	0.072053	0.102799
ENSRNOG00000000008	0.050267	0.049962	0.082846	0.559522	0.735004	0.044332	0.037594	0.135429	0
ENSRNOG00000000009	0	27.562208	0.037121	0.040526	0	0	0.045807	0	0
ENSRNOG00000000010	0.010654	0.54879	0.007635	14.055958	0	3.02314	0.080911	1.848333	0
ENSRNOG00000000012	0.630294	0.422357	18.871414	2.778803	7.837158	0.985454	0.448096	0.772073	0.060125
ENSRNOG00000000017	7.588482	1.155137	0	0.414923	0	0.055041	0.556582	0.779065	0.107673
ENSRNOG00000000021	11.369678	13.331887	7.907571	18.74529	3.724158	21.718363	5.278631	29.0828	5.16097
ENSRNOG00000000024	7.915844	1.461534	10.010667	34.50604	5.076591	28.037067	40.33181	33.298613	65.889945
ENSRNOG00000000033	1.269942	0.953653	11.719393	112.856948	16.75378	1.031214	58.041183	21.04452	0.694199
ENSRNOG00000000034	46.165373	4.353032	1.009443	2.757777	0.372325	19.066331	9.788361	4.30753	6.693869
ENSRNOG00000000035	0.032596	0.389664	0.060337	0.681674	0	0	0.145897	0.074204	0.030813
ENSRNOG00000000036	17.228248	0.225941	0.216927	10.078723	0.024687	3.512555	0.718935	5.58463	1.015939
ENSRNOG00000000040	10.354419	0.368502	2.199998	3.877225	0.525728	2.413203	3.298097	5.004433	0.193941
ENSRNOG00000000041	44.671626	0.109666	0.563364	2.554405	0.355222	0.953467	1.935401	1.490549	70.491984
ENSRNOG00000000042	17.430058	33.376208	4.186137	22.573282	5.077526	12.349138	19.756589	8.136001	3.943434
ENSRNOG00000000043	45.649422	3.031633	29.199422	43.963004	16.892799	39.707403	105.071178	82.917719	22.372142
ENSRNOG00000000044	16.068553	139.078217	12.650936	41.718012	8.591226	17.051335	22.693756	18.55269	5.542892
ENSRNOG00000000047	107.477693	11.38509	5.065877	40.829114	3.577702	116.747994	86.338	94.590304	29.877311
ENSRNOG00000000048	37.846005	19.323243	8.32204	44.861895	5.128384	52.751188	50.079538	39.340664	24.319818
ENSRNOG00000000053	0.617477	0.201175	0.07957	0.153079	1.217235	0.508864	0.821359	0.354839	9041.83225
ENSRNOG00000000054	11.516984	244.672938	3.64529	199.527591	8.200137	7.957376	4.232456	10.050114	2.304021
ENSRNOG00000000055	0.145123	0.272337	0.460949	0.022831	0	0	0.127589	0.30608	0.023729
ENSRNOG00000000060	0.291563	1.394574	0.207313	541.770718	0.232413	0.914767	0.399745	0.081378	0
ENSRNOG00000000062	14.905802	2.346774	7.143093	22.178311	6.128545	16.371107	26.61168	11.590436	4.376487
ENSRNOG00000000064	972.633374	277.978176	1782.754325	853.484989	1090.59519	992.330343	420.816551	259.238845	428.931636
ENSRNOG00000000065	0.010591	0.962808	0.007831	0.118571	0	0.072089	0.02983	0.149336	0.018983
ENSRNOG00000000066	12.49057	25.35315	6.1064	20.666201	7.699913	15.201618	30.153685	12.619965	7.338169
ENSRNOG00000000068	70.656092	6.862009	46.221507	44.9522	70.915768	73.745398	103.283613	100.915034	61.088824
ENSRNOG00000000070	4.378332	16.169871	2.620102	8.876718	1.664954	7.298108	1.60342	6.260733	3.240518
ENSRNOG00000000073	29.035205	15.729764	13.151057	31.697775	16.36826	49.433842	25.459044	24.719827	84.742067
ENSRNOG00000000075	5.317522	9.726921	3.007559	14.477038	3.24305	14.583438	13.450515	13.419506	3.619394
ENSRNOG00000000081	6.842273	0.576961	20.05821	4.088424	11.438524	17.406273	75.383431	18.191533	32.442767
ENSRNOG00000000082	9.421302	6.719543	21.878306	13.117469	1.501923	36.203044	19.114631	13.405477	2.112171
