Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSAMXG00000000001	3.01643	10.8649	4.47705	4.35098	5.25868	10.7363	2.61813	1.6624	1.72619	3.04594	2.85041
ENSAMXG00000000002	2.80651	5.05867	3.32853	17.4511	4.83613	3.42874	6.95048	1.0205	1.55135	8.35189	6.09027
ENSAMXG00000000003	2.70647	60.5832	3.22708	1.22488	1.80853	1.1205	2.86147	2.97985	0.762197	1.3703	4.6083
ENSAMXG00000000004	0.509602	6.29437	0.634757	0	17.311	0.0301042	13.6533	0.188282	0	0.0738469	0.148517
ENSAMXG00000000005	2.39411	11.709	1.84559	1.70063	1.69831	1.21787	1.81147	0.509526	1.12775	1.68869	1.19001
ENSAMXG00000000006	0	0.078231	0.174411	0.0680377	0.0699371	0	0.0945338	0.601941	0	0.707616	2.40079
ENSAMXG00000000007	0.356132	20.9773	0.576905	0.26179	0.185804	0.234129	0.335584	0.528974	0.0991651	0.181456	0.406226
ENSAMXG00000000008	3.06519	241.626	35.8886	0.384418	0.458045	0.239961	0.141211	0.238028	0.164811	0.319285	0.286941
ENSAMXG00000000009	9.74763	21.7045	5.83729	15.8099	16.0654	9.68926	11.315	2.33774	3.9262	8.6701	6.19643
ENSAMXG00000000010	0.0899629	0.20547	12.0104	13.178	0.720911	0	0	1.52455	0.161647	5.19738	3.36221
ENSAMXG00000000011	9.92698	20.483	57.352	21.9969	48.8639	4.54062	63.6548	55.1809	0.751462	16.7121	64.7627
ENSAMXG00000000012	24.2758	5.41144	13.5854	16.0814	3.19977	2.57368	4.69511	3.05767	49.9922	3.62473	6.51864
ENSAMXG00000000013	0.883117	1.23135	0.551821	7.65384	1.99603	1.17423	0.756354	0.800547	0	0.523926	3.75582
ENSAMXG00000000014	3.37469	3.3607	1.71767	8.311	33.5237	2.44983	9.38041	0.648806	0.997889	4.73033	2.024
ENSAMXG00000000015	0.523319	2.39224	2.0902	1.03681	1.2728	0.151733	0.534037	1.24979	0.524208	0.407009	0.987906
ENSAMXG00000000016	1.34884	35.5948	1.02537	0.370723	0.619714	0.241975	0.187293	0.345492	0.303	0.32585	0.8024
