Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSCAFG00000000001	0.56	1.83	8.91	18.31	3.06	1.56	4.65
ENSCAFG00000000002	0	0	0	0	0	0	0
ENSCAFG00000000005	1.42	0.7	1.84	1.39	3.68	0.24	0.63
ENSCAFG00000000006	0	0	0	0	0	0	0
ENSCAFG00000000007	11.03	4.95	8.98	3.85	15.98	1.51	16.34
ENSCAFG00000000008	45.43	26.36	20.44	6.5	27.54	38.27	12.89
ENSCAFG00000000009	21.4	12.09	52.61	18.23	28.91	20.79	13.95
ENSCAFG00000000010	15.33	7.16	12	6.98	31.8	7.52	127.41
ENSCAFG00000000011	4.03	11.4	10.24	6.05	34.14	26.39	12.7
ENSCAFG00000000012	13.95	3.28	8.12	4.85	19.5	2.35	38.82
ENSCAFG00000000013	4.53	0.02	2.45	0.17	0.02	0	0.21
ENSCAFG00000000014	0	0	0	0	0	0	0
ENSCAFG00000000015	0.84	0	0.8	0	0.3	0	0.11
ENSCAFG00000000016	3486.54	0.37	10.84	4.21	6.84	9.27	0.76
ENSCAFG00000000017	9.7	3.25	3.53	3.3	17.4	2.91	17.38
ENSCAFG00000000019	5.57	3.09	7.83	2.59	22.5	2.01	87.18
ENSCAFG00000000020	16.27	7.2	11.75	7.49	25.51	3.25	13.95
ENSCAFG00000000021	27.81	29.21	36.17	32.93	33.19	35.19	27.22
ENSCAFG00000000022	5.6	1.8	2.03	1.33	7.41	1.52	6.84
ENSCAFG00000000024	5.92	0.15	99	0.38	0.38	0	1.03
ENSCAFG00000000025	9.53	0	0	0.06	0.29	0.06	1.42
ENSCAFG00000000026	14.53	27.49	171.11	331.13	57.88	11.92	52.88
ENSCAFG00000000027	181.22	112.62	237.64	212.13	568.34	259.05	178.49
ENSCAFG00000000028	30.94	23.53	31.27	12.31	32.69	15.94	53.72
ENSCAFG00000000029	7.47	0.49	1.28	0.16	11.21	0.2	85.75
ENSCAFG00000000030	0	0	0	0	0	0	0
ENSCAFG00000000031	75.28	0	0	0	0.84	0.04	2.52
ENSCAFG00000000032	29.09	0	0	0	0	0	0
ENSCAFG00000000033	35.05	29.1	57.13	31.69	32.61	29.57	157.37
ENSCAFG00000000034	0	0.19	0	0	0	0	149.25
ENSCAFG00000000035	0	0	0	0	0	0	0
ENSCAFG00000000036	17	10.55	9.24	12.63	26.1	10.23	3.86
ENSCAFG00000000037	2.42	0.54	0.9	0.58	5.11	0.23	13.31
ENSCAFG00000000038	0.6	1.14	0.09	0.47	7.65	0	0.35
ENSCAFG00000000039	88.87	15.76	0	0	3.31	0.08	4.71
ENSCAFG00000000040	0.71	1.3	0.11	0.49	17.35	0.22	0.86
ENSCAFG00000000041	0	0.26	0	0	0	0.58	0
ENSCAFG00000000042	0	0	0.11	0	0	0	0
ENSCAFG00000000043	32.03	19.74	20.18	4.37	39.83	9.25	7.06
ENSCAFG00000000044	0	0	0	0	0	0	0
ENSCAFG00000000045	0	0	0	0	0	0	0.12
ENSCAFG00000000047	3.52	0.7	0.48	0.19	1.77	0.21	0.56
ENSCAFG00000000048	0	0	0	0	0	0	0
ENSCAFG00000000049	3.24	0.04	0.09	0.28	0.48	0	0.06
ENSCAFG00000000051	0	0	0	0	0	0	0
ENSCAFG00000000052	5.33	1.67	0.15	0.16	0.75	0.5	0.17
ENSCAFG00000000054	0	0	0.17	0.87	1.5	0.18	1.19
ENSCAFG00000000056	12.91	13.35	0.21	0.03	0.05	0.32	1.87
ENSCAFG00000000058	0.45	0.58	4.48	0.04	11.17	0.27	0.6
ENSCAFG00000000059	0.44	46.73	0.07	0.04	0.6	0	0.42
ENSCAFG00000000060	32.56	152.47	6.13	4.3	35.07	106.9	3.15
ENSCAFG00000000061	94.32	33.21	133.36	53.18	105.32	71.75	130.03
ENSCAFG00000000062	0	0	0	0	0	0	0
ENSCAFG00000000063	12.14	7.07	25.69	33.23	16.05	7.75	7.29
ENSCAFG00000000064	123.22	239.53	494.7	113.2	939.99	186.34	287.65
ENSCAFG00000000065	14.08	0.54	1.87	0.29	3.33	1.47	3.57
ENSCAFG00000000066	30.47	9.42	21.42	13.37	53.75	4.78	27.62
ENSCAFG00000000067	13.96	4.75	13.49	33.33	27.62	2.64	12.2
ENSCAFG00000000068	10.18	7.98	12.82	1.49	17.49	6.03	8.1
ENSCAFG00000000069	13.48	4.16	5.45	3.91	27.41	4.09	23.37
ENSCAFG00000000070	40.68	3.76	11.34	20.35	44.64	3.14	35.55
ENSCAFG00000000071	2.51	4.71	34.69	17.08	60.88	6.22	234.06
ENSCAFG00000000072	5.36	3.17	1.04	8.04	18.82	3.31	3.23
ENSCAFG00000000073	9.61	8.83	4.42	11.93	31.8	6.01	85.61
ENSCAFG00000000074	0.41	2.92	1.37	28.88	13.99	0.87	1.59
ENSCAFG00000000075	1.26	0.93	0.92	1.12	11.04	0.51	0.53
ENSCAFG00000000076	27.14	19.59	46.63	39.46	50.79	52.04	47.76
ENSCAFG00000000078	7.33	4.06	3.98	0.98	25.26	2.32	21.09
ENSCAFG00000000079	25.96	4.9	10.08	5.51	20.14	2.48	11
ENSCAFG00000000080	0.38	0	0.26	0.27	0.4	0.07	16.18
ENSCAFG00000000081	0	0	0.52	0	0	0	1.24
ENSCAFG00000000082	2.86	1.13	5.96	2.89	14.18	0.63	27.08
ENSCAFG00000000083	19.71	9.94	24.25	19.97	47.61	20.7	100.74
ENSCAFG00000000086	17.96	0.05	0.05	0	0.14	0.04	1.27
ENSCAFG00000000087	33.34	16.1	19.12	9.58	37.88	21.19	27.43
ENSCAFG00000000088	42	15.82	135.5	51.79	31.48	18.35	18.97
ENSCAFG00000000089	0	0	0	0	0	0	2.87
ENSCAFG00000000090	1.96	0	0.43	0	0	0	0
ENSCAFG00000000093	5.43	9.22	1.52	1.51	21.32	0.41	3.82
ENSCAFG00000000094	20.42	16.04	35.66	66.57	59.41	7.62	288.53
ENSCAFG00000000096	0	0	0.25	0	0	0	0
ENSCAFG00000000097	3.18	1.47	108.9	60.12	101	0.47	0.66
ENSCAFG00000000098	0	0	0	0	0	0	0
ENSCAFG00000000099	2.26	0	0	0	0	0	0.18
ENSCAFG00000000100	87.28	19.89	48.61	38.75	56.8	26.83	27.97
ENSCAFG00000000101	0.37	0.03	0	0	0	0.04	0.1
ENSCAFG00000000102	44.06	21.16	27.19	18.19	46.77	20.33	131.19
ENSCAFG00000000103	44.93	23.17	11.94	1.62	90.43	21.32	41.78
ENSCAFG00000000104	3.75	2.45	3.12	1.54	9.29	2.29	50.79
ENSCAFG00000000105	11.34	5.38	3.38	1.03	20.1	3.49	47.76
ENSCAFG00000000106	0	0	0	0	0	0	0
ENSCAFG00000000107	0.18	36.53	0.03	0.02	0.41	21.62	0.2
ENSCAFG00000000108	17.86	25.24	49.51	28.89	135.4	22	309.75
ENSCAFG00000000109	84.24	25.93	31.56	16.37	91.54	21.19	74.91
ENSCAFG00000000110	114.81	14.27	3.19	1.08	15.27	127.03	79.2
ENSCAFG00000000111	46.94	15.76	13.37	4.3	37.54	11.15	55.83
ENSCAFG00000000112	7.57	3.21	89.24	20.32	8.07	3.46	10.36
ENSCAFG00000000113	27.92	16.18	9.47	2.31	17.58	11.54	68.13
ENSCAFG00000000115	164.29	502.57	182.18	21.71	118.45	342.83	40.57
ENSCAFG00000000116	83.34	12.44	71.17	17.8	78.26	9.07	27.45
ENSCAFG00000000118	42.11	14.41	39.03	23.66	52	13.75	14.22
ENSCAFG00000000119	8.93	4.67	5.89	4.23	19.24	5.79	21.57
ENSCAFG00000000120	0.67	0.71	0.38	1.7	2.11	0	1.33
ENSCAFG00000000121	23.44	5.49	18.78	80.7	86.31	3.97	34.19
ENSCAFG00000000122	0	0	0	55.21	0.19	0	0.15
ENSCAFG00000000123	0.84	1.89	6.13	18.24	21.5	1.07	0.56
ENSCAFG00000000124	2.29	1.14	2.68	3.65	8.72	0.65	13.31
ENSCAFG00000000125	91.29	10.86	28.51	17.55	36.07	9.39	13.8
ENSCAFG00000000126	33.18	68.71	26.43	11.69	33.31	39.65	40.06
ENSCAFG00000000127	0.31	0	0	15.33	0	0	0.25
ENSCAFG00000000128	0.14	0.07	0.16	0	0	0	1.8
ENSCAFG00000000129	44.34	0	0	0.27	0	0	0.54
ENSCAFG00000000130	6.25	8.36	10.27	10.11	12.7	7.67	5.82
