Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUG00000000007	729.23	3521.01	1116.02	1771.03	3766.74	1711.08	980.618	749.644	299.028	37.9137	1441.81
ENSELUG00000000011	945.83	4613.75	1214.57	2274.61	5476.8	1948.63	1239.92	1103.46	294.62	36.4762	1613.56
ENSELUG00000000017	5991.05	24256.9	11318.2	13246.8	20485.6	13489.1	6543.21	6207.79	2142.93	480.723	10008.2
ENSELUG00000000020	5017.94	19664.4	8770.95	12144.8	22616.6	11457.4	5910.83	4527.76	2335.89	325.842	9301.81
ENSELUG00000000022	2275.45	10962.4	7131.02	5440.46	12793.1	4508.29	3613.57	4353.01	666.771	143.014	6007.21
ENSELUG00000000023	1586.82	8341.51	4623.05	3855.82	9355.92	2817.03	2620.27	2662.28	583.227	76.2401	4605.09
ENSELUG00000000024	6134.12	27240.1	10237.6	13828.8	28756.3	11460.6	8015.7	6575.97	2976.89	542.211	18590.3
ENSELUG00000000026	624.68	2798.99	1268.36	1255.12	3223.18	1302.72	842.499	783.33	269.868	37.5964	1500.62
ENSELUG00000000028	898.553	3120.04	1910.94	1842.66	3562.56	1616.47	1308.23	1240.87	171.477	32.6224	1324.93
ENSELUG00000000029	801.469	3392.57	1556.97	1578.51	4003.02	1379.83	1105.57	989.154	271.893	34.7301	1521.84
ENSELUG00000000033	485.384	1613.78	1084.4	742.567	1736.82	828.886	597.562	660.887	68.325	16.8208	845.645
ENSELUG00000000034	661.004	3104.65	1606.9	1106.67	2780.29	1224.72	896.148	797.401	223.47	27.565	1697.81
ENSELUG00000000036	1178.99	5226.9	3512.99	2583.46	6407.33	2165.53	1800.87	1651.04	434.688	63.7429	3825.59
ENSELUG00000000044	0.726836	0.0812461	1.0481977	0.0388898	4.3336541	0.2387593	0.0770797	0.0536084	0.0950349148	265.977302	14.234768
ENSELUG00000000046	3.35435	3.05868	4.66633	5.6313	7.56482	6.35097	4.55987	3.94501	0.50179	4.11473	2.66279
ENSELUG00000000049	0.0420728	0.099416	0.971388	0.093772	0.103049	0.185654	0.0697531	0.0323205	0	0.0347938	0.0637275
ENSELUG00000000050	33.1112	72.1332	35.989	79.3636	68.0734	76.5619	60.2976	23.984	3.856	4.70859	81.7225
ENSELUG00000000051	3.54089	6.17824	7.25	3.77	5.3443	146.307	7.59593	6.05016	0.542066	27.2512	6.82933
ENSELUG00000000052	4.82119	7.23522	7.73746	4.63382	11.6878	327.14	20.2721	6.10107	0.601721	16.6581	4.13972
ENSELUG00000000053	2.43356	12.3086	2.88733	48.3198	0.633531	16.6481	0	3.81021	0	5.23434	0.999766
ENSELUG00000000054	10.419	12.6097	12.3175	12.0728	25.3583	15.5603	19.4043	24.8265	11.6789	37.0723	29.8115
ENSELUG00000000055	5.48128	17.4353	0.616844	4.39832	0.155089	1.2767	0.757935	0.1167	0.0414003	11.0992	12.1261
ENSELUG00000000056	0.076255	6.165414	12.894958	0.1983343	0	0	0	0	0	0.031525	2.610516
ENSELUG00000000057	16.0556	0.844662	1.731491	0.930737	4.491455	340.8217	1.18846	0.64191	0.0626013	6.7083	3.068811
ENSELUG00000000058	0.2540052	0.1598943	0.2439141	0.9902858	0.1231262	419.8772	0.919561	0.5973616	0	0.358005	0.6210607
ENSELUG00000000059	9.83313	20.7343	62.1945	30.4147	12.6667	23.2775	26.2628	3.649	0.871314	18.0779	24.0541
ENSELUG00000000060	132.2532	485.523	467.8461	57.3853	48.8593	42.4839	61.8853	5.037	18.73211	18.99066	42.6522
ENSELUG00000000061	0.592348	0.0489012	15.1897	12.4204	0	86.1022	0.0573546	48.1237	0.0562716	0.213125	0.708251
ENSELUG00000000062	8.28101	39.27083	17.44711	24.4315	5.521812	7.859891	9.748979	418.63997	21.1283	8.41926	12.46722
ENSELUG00000000063	2.7716	4.21312	4.44837	5.96758	4.09393	4.4532	8.18933	1.91769	1.08185	20.026	26.2037
ENSELUG00000000064	2.91696	1.70901	16.97944	161.5838	1.322038	42.8791	3.02026	0.244178	0.109942	0.671505	1.840659
ENSELUG00000000065	6.19801	9.528846	4.110113	2.313339	16.48702	0.948278	3.926511	0.352608	1.577884	49.942952	26.199657
ENSELUG00000000066	1.840569	0.68664389	3.86148	0.0537166	0.0788471	32.4084	0.160826	33.62546	0	0.160659	0.44127
ENSELUG00000000067	22.11125	37.10809	31.01687	32.65416	30.91624	41.03453	40.34709	23.89663	2.664278	84.3737	29.90483
ENSELUG00000000068	67.6591	83.8838	111.909	196.455	89.2207	106.332	149.196	296.524	15.3722	172.953	96.0651
ENSELUG00000000069	5.81451	48.3091	2.75861	0.0992711	0	0	0.0989883	0	0	0	3.25875
ENSELUG00000000070	1.00923	0.710295	0	0.542876	0	0.447122	0	0.944958	0	0	0.390898
ENSELUG00000000071	0.343372	1.52436	1.9022	0.859127	0.392457	0.715495	0	1.31246	0	16.5597	2.16213
ENSELUG00000000072	4.5792516	7.468424	8.283226	7.294	5.494740427437	8.2801437007	8.95341	3.1600888956	0.48613000972238	18.2419938861	22.8328171
ENSELUG00000000073	0.252243	2.13544	0.546976	0	0	0	0.140149	0	0	0	0.578567
ENSELUG00000000074	0.36726	2.15662	0.31091	1.2267	1.3057	0.277828	1.21809	1.20416	0.0741951	0.043411	0.795064
ENSELUG00000000075	13.3876	9.37755	9.3436579	68.40407	16.79921	10.30439	44.7207370245456	2.5835616	1.054594	43.299213	8.7294629
ENSELUG00000000076	945.988	1629.845	895.695	2051.661	6495.56	3778.3	1083.429	890.904	87.90925	946.783	1439.997
