transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000000007.1	729.23	3521.01	1116.02	1771.03	3766.74	1711.08	980.618	749.644	299.028	37.9137	1441.81
ENSELUT00000000011.1	945.83	4613.75	1214.57	2274.61	5476.8	1948.63	1239.92	1103.46	294.62	36.4762	1613.56
ENSELUT00000000017.1	5991.05	24256.9	11318.2	13246.8	20485.6	13489.1	6543.21	6207.79	2142.93	480.723	10008.2
ENSELUT00000000020.1	5017.94	19664.4	8770.95	12144.8	22616.6	11457.4	5910.83	4527.76	2335.89	325.842	9301.81
ENSELUT00000000022.1	2275.45	10962.4	7131.02	5440.46	12793.1	4508.29	3613.57	4353.01	666.771	143.014	6007.21
ENSELUT00000000023.1	1586.82	8341.51	4623.05	3855.82	9355.92	2817.03	2620.27	2662.28	583.227	76.2401	4605.09
ENSELUT00000000024.1	6134.12	27240.1	10237.6	13828.8	28756.3	11460.6	8015.7	6575.97	2976.89	542.211	18590.3
ENSELUT00000000026.1	624.68	2798.99	1268.36	1255.12	3223.18	1302.72	842.499	783.33	269.868	37.5964	1500.62
ENSELUT00000000028.1	898.553	3120.04	1910.94	1842.66	3562.56	1616.47	1308.23	1240.87	171.477	32.6224	1324.93
ENSELUT00000000029.1	801.469	3392.57	1556.97	1578.51	4003.02	1379.83	1105.57	989.154	271.893	34.7301	1521.84
ENSELUT00000000033.1	485.384	1613.78	1084.4	742.567	1736.82	828.886	597.562	660.887	68.325	16.8208	845.645
ENSELUT00000000034.1	661.004	3104.65	1606.9	1106.67	2780.29	1224.72	896.148	797.401	223.47	27.565	1697.81
ENSELUT00000000036.1	1178.99	5226.9	3512.99	2583.46	6407.33	2165.53	1800.87	1651.04	434.688	63.7429	3825.59
ENSELUT00000000039.1	1.42451	2.73484	2.64351	3.14555	1.68842	1.62159	4.02714	0.376128	0.242488	9.98791	7.01226
ENSELUT00000000040.1	2.21251	1.75044	0.267318	2.68012	11.8829	1.39753	1.90258	0	0.205599	1.18849	8.76278
ENSELUT00000000041.1	4.68716	8.01187	3.70795	5.35467	5.97195	7.92818	6.03612	3.10603	1.93512	23.0673	5.73057
ENSELUT00000000042.1	0	0.125189	0	0.226227	0.33339	0.609443	0	0	0	0.222871	0.328345
ENSELUT00000000043.1	0.0998289	0	0.0310854	0	0.0406201	0	0.0552488	0	0	0.0827933	10.3845
ENSELUT00000000044.1	2.64743	7.32756	1.9288	6.70501	3.21822	3.65443	1.94645	1.60641	0.898036	1.0525	4.60836
ENSELUT00000000045.1	1.95179	0.38933	0.386216	0.354947	0.656305	1.19682	0.244514	1.30795	0.0380706	0.0561523	0.505834
ENSELUT00000000046.1	0	0	0	0	0	0	0	0.109058	0	0	0
ENSELUT00000000047.1	42.5872	6.61836	23.248	14.5878	29.4039	175.546	119.287	92.6995	7.14276	11.4471	90.9692
ENSELUT00000000048.1	0	0.879185	4.53586	0	0.43536	0	0.25525	0	0	0.141055	1.20621
ENSELUT00000000049.1	0	1.30703e-05	0	5.15046e-05	0	0.299392	0	0	0.786963	1.01308	4.30999
ENSELUT00000000050.1	3.32528	3.02098	1.40442	2.59515	2.88046	2.92932	2.24071	1.14251	3.09764	3.47761	4.19068
ENSELUT00000000051.1	8.28065	14.916	18.3102	14.3603	13.0313	12.8257	16.6976	5.60217	3.853	40.1257	20.4531
ENSELUT00000000052.1	8.69682	5.98784	9.61882	21.7267	6.49714	21.9946	9.175	5.34492	0.255094	20.3889	8.6627
ENSELUT00000000053.1	4.72855e-08	3.8229	0.154885	0.000307823	1.54629	0.445753	0.00474836	1.19151e-09	4.38805e-08	0.295091	0.00102726
ENSELUT00000000054.1	1.33593	0	0.188115	0	0	0	0	0	2.91462	4.56423	6.60773
ENSELUT00000000055.1	2.06371	5.3793	2.85084	6.9202	0.365302	4.75205	1.04255	0.27484	0	12.6442	11.1681
ENSELUT00000000056.1	8.30034	10.5063	23.9954	11.2818	14.5751	11.7126	16.5828	7.78383	6.02499	88.0882	24.329
ENSELUT00000000057.1	2.58046	6.66667	4.95743	4.14211	4.88284	4.58118	4.7283	2.16949	1.02719	1.63787	3.02074
ENSELUT00000000058.1	1.31081	0	1.27451e-07	0	7.54497	0	0	0	7.88092	0	0
ENSELUT00000000059.1	4.31817	9.13272	19.4339	19.9895	6.43026	28.7716	9.48216	10.0009	0.365623	35.6164	26.0049
ENSELUT00000000060.1	31.3945	55.2178	174.983	74.9671	51.1366	53.6583	92.9961	22.4441	19.5517	117.773	61.6959
ENSELUT00000000061.1	3.30798	16.794	3.58458	0.324872	2.50873	2.69024	0.542765	0.0976225	0	7.53446	5.75031
ENSELUT00000000062.1	1.65258	3.98102	0.605064	0.797589	0.051923	1.43036	0.035117	0	0	0.0525374	0.577387
ENSELUT00000000063.1	18.5847	13.1249	23.7878	51.5142	26.0396	49.5653	39.5262	13.5655	7.18645	37.6328	44.9706
