target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7218.23	1185.47	31.3674
ENSONIT00000000002.1	2865	2556.23	75.4916	5.64048
ENSONIT00000000003.1	1261	952.233	736.899	147.803
ENSONIT00000000004.1	5342	5033.23	182	6.90625
ENSONIT00000000005.1	3889	3580.23	160	8.53545
ENSONIT00000000006.1	948	639.403	0	0
ENSONIT00000000007.1	3180	2871.23	448	29.8008
ENSONIT00000000008.1	487	202.067	4388	4147.52
ENSONIT00000000009.1	1438	1129.23	1	0.169135
ENSONIT00000000010.1	837	529.172	2	0.721856
ENSONIT00000000011.1	7684	7375.23	269	6.96617
ENSONIT00000000012.1	6448	6139.23	507.055	15.7746
ENSONIT00000000013.1	1659	1350.23	157.481	22.276
ENSONIT00000000014.1	1419	1110.23	260.215	44.7648
ENSONIT00000000015.1	903	594.642	46.2492	14.8548
ENSONIT00000000016.1	1940	1631.23	117.445	13.751
ENSONIT00000000017.1	933	624.472	0	0
ENSONIT00000000018.1	3892	3583.23	625	33.3137
ENSONIT00000000019.1	1045	736.233	165.816	43.0159
ENSONIT00000000020.1	2356	2047.23	4	0.373173
ENSONIT00000000021.1	4333	4024.23	1	0.0474607
ENSONIT00000000022.1	1581	1272.23	4	0.600497
ENSONIT00000000023.1	4614	4305.23	1866.34	82.7966
ENSONIT00000000024.1	3198	2889.23	158.656	10.488
ENSONIT00000000025.1	4590	4281.23	5	0.223059
ENSONIT00000000026.1	681	376.952	153	77.5216
ENSONIT00000000027.1	828	520.265	0	0
ENSONIT00000000028.1	1315	1006.23	4.32967	0.821815
ENSONIT00000000029.1	771	464.099	0	0
ENSONIT00000000030.1	705	399.969	2	0.95504
ENSONIT00000000031.1	1431	1122.23	3.56338	0.606452
ENSONIT00000000032.1	732	426.055	1.64756e-08	7.38574e-09
ENSONIT00000000033.1	1746	1437.23	0	0
ENSONIT00000000034.1	489	203.712	4	3.75025
ENSONIT00000000035.1	4196	3887.23	1804	88.6367
ENSONIT00000000036.1	663	359.73	3	1.5928
ENSONIT00000000037.1	1910	1601.23	8	0.95423
ENSONIT00000000038.1	444	168.036	2	2.27324
ENSONIT00000000039.1	3574	3265.23	514	30.0654
ENSONIT00000000040.1	4793	4484.23	38.5087	1.64017
ENSONIT00000000041.1	3381	3072.23	4.49125	0.27921
ENSONIT00000000042.1	2159	1850.23	168	17.3421
ENSONIT00000000043.1	2452	2143.23	243	21.6548
ENSONIT00000000044.1	1593	1284.23	0	0
ENSONIT00000000045.1	2701	2392.23	5	0.399194
ENSONIT00000000046.1	822	514.341	0	0
ENSONIT00000000047.1	5615	5306.23	606	21.8124
ENSONIT00000000048.1	3524	3215.23	43.048	2.55716
ENSONIT00000000049.1	2216	1907.23	417.524	41.8115
ENSONIT00000000050.1	3987	3678.23	17	0.882729
ENSONIT00000000051.1	1779	1470.23	399	51.8328
ENSONIT00000000052.1	4225	3916.23	11.3379	0.552945
ENSONIT00000000053.1	252	52.7392	11	39.8361
ENSONIT00000000054.1	1925	1616.23	3	0.354515
ENSONIT00000000055.1	2408	2099.23	111	10.099
ENSONIT00000000056.1	621	320.275	0	0
ENSONIT00000000057.1	2756	2447.23	1928	150.47
ENSONIT00000000058.1	1560	1251.23	206	31.4447
ENSONIT00000000059.1	4662	4353.23	618	27.114
ENSONIT00000000060.1	3705	3396.23	312	17.5459
ENSONIT00000000061.1	5249	4940.23	61	2.35831
ENSONIT00000000062.1	3788	3479.23	26.3964	1.44904
ENSONIT00000000063.1	1281	972.233	0	0
ENSONIT00000000064.1	1084	775.233	2	0.492737
ENSONIT00000000065.1	932	623.481	95	29.1017
ENSONIT00000000066.1	1914	1605.23	148	17.6093
ENSONIT00000000067.1	989	680.252	189	53.0652
ENSONIT00000000068.1	2325	2016.23	152	14.3986
ENSONIT00000000069.1	3923	3614.23	352	18.6013
ENSONIT00000000070.1	3705	3396.23	1080	60.7357
ENSONIT00000000071.1	2997	2688.23	1.92077e-06	1.36467e-07
ENSONIT00000000072.1	1976	1667.23	44	5.04051
ENSONIT00000000073.1	4689	4380.23	277	12.0781
ENSONIT00000000074.1	1955	1646.23	428	49.6558
ENSONIT00000000075.1	5508	5199.23	189.062	6.94517
ENSONIT00000000076.1	3426	3117.23	175.647	10.7619
ENSONIT00000000077.1	5038	4729.23	41	1.65581
ENSONIT00000000078.1	4171	3862.23	761	37.6326
ENSONIT00000000079.1	2354	2045.23	27.001	2.52148
ENSONIT00000000080.1	2515	2206.23	393	34.0219
ENSONIT00000000081.1	2378	2069.23	144.45	13.333
ENSONIT00000000082.1	1662	1353.23	2.26372	0.319498
ENSONIT00000000083.1	2361	2052.23	38.864	3.61692
ENSONIT00000000084.1	3525	3216.23	1825	108.376
ENSONIT00000000085.1	1716	1407.23	350	47.5029
ENSONIT00000000086.1	8305	7996.23	965	23.0494
ENSONIT00000000087.1	1392	1083.23	415	73.1718
ENSONIT00000000088.1	3217	2908.23	97.0395	6.3729
ENSONIT00000000089.1	804	496.572	44.4308	17.0891
ENSONIT00000000090.1	1897	1588.23	414	49.7856
ENSONIT00000000091.1	6765	6456.23	240	7.09986
ENSONIT00000000092.1	2004	1695.23	9	1.01398
ENSONIT00000000093.1	663	359.73	43	22.8302
ENSONIT00000000094.1	2085	1776.23	83	8.92475
ENSONIT00000000095.1	3537	3228.23	106.092	6.27674
ENSONIT00000000096.1	4064	3755.23	24.9083	1.26685
ENSONIT00000000097.1	2633	2324.23	144	11.8332
