target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.2509	1	3.13588
ENSELUT00000043746.1	57	26.2509	1	3.13588
ENSELUT00000037603.1	57	26.2509	1	3.13588
ENSELUT00000037622.1	60	27.4257	1	3.00155
ENSELUT00000043756.1	60	27.4257	1	3.00155
ENSELUT00000036957.1	291	147.638	4.57143	2.54894
ENSELUT00000043605.1	309	164.18	3.75052	1.88051
ENSELUT00000013117.1	339	192.328	5.28314	2.26128
ENSELUT00000013112.1	252	113.175	0	0
ENSELUT00000036937.1	291	147.638	11.9151	6.64365
ENSELUT00000036941.1	273	131.499	0	0
ENSELUT00000036943.1	306	161.419	0	0
ENSELUT00000036966.1	306	161.419	8.58695	4.37914
ENSELUT00000036993.1	288	144.965	1.08486	0.616047
ENSELUT00000037021.1	291	147.638	3.42857	1.9117
ENSELUT00000043560.1	333	186.62	0	0
ENSELUT00000037132.1	354	206.548	9.17908	3.65832
ENSELUT00000037138.1	333	186.62	17.8168	7.85918
ENSELUT00000043572.1	315	169.731	3	1.45501
ENSELUT00000037291.1	348	200.879	3.80166	1.55791
ENSELUT00000037323.1	333	186.62	1.15821	0.510896
ENSELUT00000037354.1	348	200.879	1.19553	0.489925
ENSELUT00000043648.1	309	164.18	3.42147	1.71553
ENSELUT00000037369.1	333	186.62	2.31641	1.02179
ENSELUT00000037383.1	330	183.774	0	0
ENSELUT00000037448.1	333	186.62	1.15821	0.510896
ENSELUT00000043712.1	318	172.544	4	1.90837
ENSELUT00000037530.1	333	186.62	0	0
ENSELUT00000037640.1	303	158.659	0	0
ENSELUT00000000007.1	975	824.484	17738	1771.03
ENSELUT00000000011.1	1050	899.484	24854	2274.61
ENSELUT00000000017.1	1551	1400.48	225365	13246.8
ENSELUT00000000020.1	691	540.58	79753	12144.8
ENSELUT00000000022.1	168	48.6765	3217	5440.46
ENSELUT00000000023.1	682	531.58	24899	3855.82
ENSELUT00000000024.1	785	634.523	106593	13828.8
ENSELUT00000000026.1	349	201.812	3077	1255.12
ENSELUT00000000028.1	297	153.099	3427	1842.66
ENSELUT00000000029.1	1381	1230.48	23595	1578.51
ENSELUT00000000033.1	1839	1688.48	15231	742.567
ENSELUT00000000034.1	522	371.852	4999	1106.67
ENSELUT00000000036.1	1137	986.484	30959	2583.46
ENSELUT00000019592.1	708	557.568	0	0
ENSELUT00000019593.1	4511	4360.48	0	0
ENSELUT00000019594.1	4531	4380.48	0	0
ENSELUT00000019595.1	4384	4233.48	2	0.0388898
ENSELUT00000019596.1	3561	3410.48	0	0
ENSELUT00000019574.1	1629	1478.48	101.14	5.6313
ENSELUT00000019438.1	3662	3511.48	4	0.093772
