target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7227.15	77.447	1.35339
ENSONIT00000000002.1	2865	2565.15	73.6223	3.62479
ENSONIT00000000003.1	1261	961.155	68.8699	9.04947
ENSONIT00000000004.1	5342	5042.15	1	0.0250479
ENSONIT00000000005.1	3889	3589.15	71	2.49835
ENSONIT00000000006.1	948	648.283	0	0
ENSONIT00000000007.1	3180	2880.15	19	0.833153
ENSONIT00000000008.1	487	209.132	6800	4106.53
ENSONIT00000000009.1	1438	1138.15	0	0
ENSONIT00000000010.1	837	538.03	0	0
ENSONIT00000000011.1	7684	7384.15	31	0.53021
ENSONIT00000000012.1	6448	6148.15	70.1422	1.44086
ENSONIT00000000013.1	1659	1359.15	0	0
ENSONIT00000000014.1	1419	1119.15	41.8578	4.7236
ENSONIT00000000015.1	903	603.504	3	0.62781
ENSONIT00000000016.1	1940	1640.15	24.7166	1.90323
ENSONIT00000000017.1	933	633.33	0	0
ENSONIT00000000018.1	3892	3592.15	53	1.86341
ENSONIT00000000019.1	1045	745.155	9.71979	1.64739
ENSONIT00000000020.1	2356	2056.15	0	0
ENSONIT00000000021.1	4333	4033.15	0	0
ENSONIT00000000022.1	1581	1281.15	0	0
ENSONIT00000000023.1	4614	4314.15	65.314	1.91204
ENSONIT00000000024.1	3198	2898.15	6.68595	0.291359
ENSONIT00000000025.1	4590	4290.15	9	0.264945
ENSONIT00000000026.1	681	385.654	30	9.8245
ENSONIT00000000027.1	828	529.118	0	0
ENSONIT00000000028.1	1315	1015.15	0	0
ENSONIT00000000029.1	771	472.978	0	0
ENSONIT00000000030.1	705	408.756	0	0
ENSONIT00000000031.1	1431	1131.15	55.3502	6.17994
ENSONIT00000000032.1	732	434.931	0	0
ENSONIT00000000033.1	1746	1446.15	0	0
ENSONIT00000000034.1	489	210.822	0	0
ENSONIT00000000035.1	4196	3896.15	2376.83	77.0458
ENSONIT00000000036.1	663	368.384	0	0
ENSONIT00000000037.1	1910	1610.15	0	0
ENSONIT00000000038.1	444	174.48	0	0
ENSONIT00000000039.1	3574	3274.15	61	2.35298
ENSONIT00000000040.1	4793	4493.15	1	0.0281084
ENSONIT00000000041.1	3381	3081.15	0	0
ENSONIT00000000042.1	2159	1859.15	11	0.747247
ENSONIT00000000043.1	2452	2152.15	120.168	7.05182
ENSONIT00000000044.1	1593	1293.15	0	0
ENSONIT00000000045.1	2701	2401.15	1	0.0525977
