gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSCAFG00000000001	ENSCAFT00000000001	7431.00	7194.22	977.00	8.91	7.26
ENSCAFG00000000002	ENSCAFT00000000003	942.00	705.22	0.00	0.00	0.00
ENSCAFG00000000005	ENSCAFT00000000006	1128.00	891.22	25.00	1.84	1.50
ENSCAFG00000000006	ENSCAFT00000000007	339.00	121.81	0.00	0.00	0.00
ENSCAFG00000000007	ENSCAFT00000000008	6265.00	6028.22	825.40	8.98	7.31
ENSCAFG00000000008	ENSCAFT00000000009	1534.00	1297.22	404.18	20.44	16.65
ENSCAFG00000000009	ENSCAFT00000000011	813.00	576.24	461.92	52.61	42.84
ENSCAFG00000000010	ENSCAFT00000000012	2802.00	2565.22	469.12	12.00	9.77
ENSCAFG00000000011	ENSCAFT00000000013,ENSCAFT00000036234	4245.48	4008.70	625.86	10.24	8.34
ENSCAFG00000000012	ENSCAFT00000000014,ENSCAFT00000042968,ENSCAFT00000046825	4601.56	4364.77	540.00	8.12	6.61
ENSCAFG00000000013	ENSCAFT00000000017	8099.00	7862.22	293.00	2.45	1.99
ENSCAFG00000000014	ENSCAFT00000000021	468.00	236.48	0.00	0.00	0.00
ENSCAFG00000000015	ENSCAFT00000000022	1056.00	819.22	10.00	0.80	0.65
ENSCAFG00000000016	ENSCAFT00000000024,ENSCAFT00000000025	2384.68	2147.90	355.00	10.84	8.83
ENSCAFG00000000017	ENSCAFT00000000028	5010.00	4773.22	257.00	3.53	2.88
ENSCAFG00000000019	ENSCAFT00000000033,ENSCAFT00000047374	3570.89	3334.10	398.00	7.83	6.38
ENSCAFG00000000020	ENSCAFT00000036397	3225.00	2988.22	535.00	11.75	9.57
ENSCAFG00000000021	ENSCAFT00000000035	1356.00	1119.22	617.00	36.17	29.46
ENSCAFG00000000022	ENSCAFT00000000037	10277.00	10040.22	311.00	2.03	1.65
ENSCAFG00000000024	ENSCAFT00000000039	1518.00	1281.22	1933.00	99.00	80.61
ENSCAFG00000000025	ENSCAFT00000000043	1502.00	1265.22	0.00	0.00	0.00
ENSCAFG00000000026	ENSCAFT00000000044	512.00	278.44	725.87	171.11	139.33
ENSCAFG00000000027	ENSCAFT00000000045	414.00	186.51	675.13	237.64	193.50
ENSCAFG00000000028	ENSCAFT00000000046	732.00	495.38	236.00	31.27	25.46
ENSCAFG00000000029	ENSCAFT00000000047,ENSCAFT00000049738	1416.06	1179.27	23.00	1.28	1.04
ENSCAFG00000000030	ENSCAFT00000000048	807.00	570.24	0.00	0.00	0.00
ENSCAFG00000000031	ENSCAFT00000000049	1966.00	1729.22	0.00	0.00	0.00
ENSCAFG00000000032	ENSCAFT00000000050	585.00	349.59	0.00	0.00	0.00
ENSCAFG00000000033	ENSCAFT00000000051	1458.00	1221.22	1063.19	57.13	46.52
ENSCAFG00000000034	ENSCAFT00000000052	555.00	320.18	0.00	0.00	0.00
ENSCAFG00000000035	ENSCAFT00000000053	369.00	146.85	0.00	0.00	0.00
ENSCAFG00000000036	ENSCAFT00000000054	1608.00	1371.22	193.00	9.24	7.52
ENSCAFG00000000037	ENSCAFT00000000055	8821.00	8584.22	118.00	0.90	0.73
ENSCAFG00000000038	ENSCAFT00000000056,ENSCAFT00000047983	1002.00	765.22	1.00	0.09	0.07
ENSCAFG00000000039	ENSCAFT00000036237	1155.00	918.22	0.00	0.00	0.00
ENSCAFG00000000040	ENSCAFT00000000060	3765.00	3528.22	6.00	0.11	0.09
ENSCAFG00000000041	ENSCAFT00000000061	468.00	236.48	0.00	0.00	0.00
ENSCAFG00000000042	ENSCAFT00000000062	855.00	618.22	1.02	0.11	0.09
ENSCAFG00000000043	ENSCAFT00000000063	1495.00	1258.22	387.00	20.18	16.43
ENSCAFG00000000044	ENSCAFT00000000065	456.00	225.20	0.00	0.00	0.00
ENSCAFG00000000045	ENSCAFT00000000064	990.00	753.22	0.00	0.00	0.00
ENSCAFG00000000047	ENSCAFT00000000067	3660.00	3423.22	25.00	0.48	0.39
ENSCAFG00000000048	ENSCAFT00000000068	393.00	167.72	0.00	0.00	0.00
ENSCAFG00000000049	ENSCAFT00000000070	1755.00	1518.22	2.07	0.09	0.07
ENSCAFG00000000051	ENSCAFT00000000071	927.00	690.22	0.00	0.00	0.00
ENSCAFG00000000052	ENSCAFT00000000075	5875.00	5638.22	13.00	0.15	0.12
ENSCAFG00000000054	ENSCAFT00000000073	642.00	405.87	1.05	0.17	0.14
ENSCAFG00000000056	ENSCAFT00000000076	2680.00	2443.22	8.00	0.21	0.17
ENSCAFG00000000058	ENSCAFT00000000078	2288.00	2051.22	140.00	4.48	3.65
ENSCAFG00000000059	ENSCAFT00000000083	2062.00	1825.22	2.00	0.07	0.06
ENSCAFG00000000060	ENSCAFT00000000089,ENSCAFT00000000090	4947.75	4710.97	439.85	6.13	4.99
ENSCAFG00000000061	ENSCAFT00000000098	378.00	154.59	314.02	133.36	108.59
ENSCAFG00000000062	ENSCAFT00000000107	1248.00	1011.22	0.00	0.00	0.00
ENSCAFG00000000063	ENSCAFT00000000100	957.00	720.22	282.00	25.69	20.92
ENSCAFG00000000064	ENSCAFT00000000112	925.00	688.22	5188.00	494.70	402.82
ENSCAFG00000000065	ENSCAFT00000000114,ENSCAFT00000048026	2201.00	1964.22	56.00	1.87	1.52
ENSCAFG00000000066	ENSCAFT00000000116	1661.00	1424.22	465.00	21.42	17.44
ENSCAFG00000000067	ENSCAFT00000000117	5156.00	4919.22	1011.80	13.49	10.99
ENSCAFG00000000068	ENSCAFT00000000118,ENSCAFT00000046240	4506.00	4269.22	834.00	12.82	10.44
ENSCAFG00000000069	ENSCAFT00000000121	1509.00	1272.22	105.71	5.45	4.44
ENSCAFG00000000070	ENSCAFT00000000123	5263.00	5026.22	868.98	11.34	9.24
ENSCAFG00000000071	ENSCAFT00000000124	462.00	230.83	122.00	34.69	28.25
ENSCAFG00000000072	ENSCAFT00000000125	5669.00	5432.22	86.37	1.04	0.85
ENSCAFG00000000073	ENSCAFT00000000126	2730.00	2493.22	168.00	4.42	3.60
