target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1216.56	126	1.53203
ENSAMXT00000000013.1	2742	2571.56	95.3339	0.548381
ENSAMXT00000000002.1	698	527.759	83.6456	2.34444
ENSAMXT00000000003.1	2951	2780.56	38.1717	0.203067
ENSAMXT00000000004.1	4909	4738.56	154.473	0.482212
ENSAMXT00000000005.1	2699	2528.56	94	0.549903
ENSAMXT00000000009.1	4468	4297.56	142.878	0.491786
ENSAMXT00000000017.1	3702	3531.56	36.1944	0.151602
ENSAMXT00000000006.1	1382	1211.56	173.249	2.11522
ENSAMXT00000000021.1	1777	1606.56	154.84	1.42566
ENSAMXT00000000007.1	338	170.661	728	63.1001
ENSAMXT00000000014.1	3833	3662.56	677.072	2.73453
ENSAMXT00000000008.1	730	559.704	28.1422	0.743758
ENSAMXT00000000010.1	3144	2973.56	134	0.666591
ENSAMXT00000000012.1	1317	1146.56	65.3036	0.842502
ENSAMXT00000000020.1	4361	4190.56	93.2395	0.329124
ENSAMXT00000000032.1	6532	6361.56	625.825	1.45519
ENSAMXT00000000011.1	487	317.233	185.554	8.65214
ENSAMXT00000000019.1	4510	4339.56	753.339	2.56789
ENSAMXT00000000015.1	1354	1183.56	76.6045	0.957402
ENSAMXT00000000016.1	1460	1289.56	53.2358	0.610651
ENSAMXT00000000018.1	1955	1784.56	104	0.862051
ENSAMXT00000000026.1	4946	4775.56	987	3.0572
ENSAMXT00000000022.1	1361	1190.56	258.611	3.21311
ENSAMXT00000000029.1	1836	1665.56	251	2.22918
ENSAMXT00000000023.1	411	241.915	4	0.244584
ENSAMXT00000000024.1	6022	5851.56	467.012	1.18056
ENSAMXT00000000027.1	5983	5812.56	0	0
ENSAMXT00000000025.1	611	440.849	151.052	5.06837
ENSAMXT00000000028.1	398	229.057	5	0.322893
ENSAMXT00000000031.1	1558	1387.56	3324.05	35.4361
ENSAMXT00000000030.1	587	416.934	434	15.3976
ENSAMXT00000000052.1	7118	6947.56	823.942	1.75427
ENSAMXT00000000033.1	1117	946.564	4781.69	74.7245
ENSAMXT00000000034.1	1170	999.564	210	3.10771
ENSAMXT00000000036.1	2322	2151.56	2127.05	14.6237
