target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1206.06	185	10.3328
ENSAMXT00000000013.1	2742	2561.06	66.6936	1.7542
ENSAMXT00000000002.1	698	517.236	8.2522	1.07472
ENSAMXT00000000003.1	2951	2770.06	1	0.0243178
ENSAMXT00000000004.1	4909	4728.06	93.684	1.33474
ENSAMXT00000000005.1	2699	2518.06	0	0
ENSAMXT00000000009.1	4468	4287.06	17	0.267118
ENSAMXT00000000017.1	3702	3521.06	14.1659	0.271009
ENSAMXT00000000006.1	1382	1201.06	157.814	8.85108
ENSAMXT00000000021.1	1777	1596.06	0	0
ENSAMXT00000000007.1	338	162.712	10	4.13994
ENSAMXT00000000014.1	3833	3652.06	132.068	2.43597
ENSAMXT00000000008.1	730	549.184	10	1.22658
ENSAMXT00000000010.1	3144	2963.06	117	2.65986
ENSAMXT00000000012.1	1317	1136.06	5.42106	0.321439
ENSAMXT00000000020.1	4361	4180.06	11.6758	0.188156
ENSAMXT00000000032.1	6532	6351.06	942.42	9.99567
ENSAMXT00000000011.1	487	307.055	511.985	112.319
ENSAMXT00000000019.1	4510	4329.06	1514.9	23.5724
ENSAMXT00000000015.1	1354	1173.06	26.2891	1.50963
ENSAMXT00000000016.1	1460	1279.06	23.3444	1.22944
ENSAMXT00000000018.1	1955	1774.06	34	1.291
ENSAMXT00000000026.1	4946	4765.06	1444	20.4133
ENSAMXT00000000022.1	1361	1180.06	6	0.342501
ENSAMXT00000000029.1	1836	1655.06	9	0.366305
ENSAMXT00000000023.1	411	232.456	1017	294.709
ENSAMXT00000000024.1	6022	5841.06	612.689	7.06582
ENSAMXT00000000027.1	5983	5802.06	0	0
ENSAMXT00000000025.1	611	430.415	1268.01	198.449
ENSAMXT00000000028.1	398	219.867	1	0.306375
ENSAMXT00000000031.1	1558	1377.06	1	0.0489172
ENSAMXT00000000030.1	587	406.415	23	3.81217
ENSAMXT00000000052.1	7118	6937.06	47.9364	0.465483
ENSAMXT00000000033.1	1117	936.056	2085.57	150.084
ENSAMXT00000000034.1	1170	989.056	24	1.63457
ENSAMXT00000000036.1	2322	2141.06	218.431	6.87227
ENSAMXT00000000035.1	3873	3692.06	112	2.04345
ENSAMXT00000000041.1	3969	3788.06	311	5.53041
ENSAMXT00000000039.1	1715	1534.06	351	15.4127
ENSAMXT00000000037.1	4153	3972.06	5	0.0847946
ENSAMXT00000000043.1	1547	1366.06	0	0
ENSAMXT00000000065.1	2244	2063.06	21	0.68568
ENSAMXT00000000038.1	2289	2108.06	1156	36.9393
ENSAMXT00000000040.1	2212	2031.06	1323.28	43.8877
ENSAMXT00000000042.1	1829	1648.06	893	36.5
ENSAMXT00000000044.1	1955	1774.06	16.595	0.63012
ENSAMXT00000000051.1	3826	3645.06	90.0216	1.66363
ENSAMXT00000000045.1	2440	2259.06	6.1164	0.182382
ENSAMXT00000000046.1	1286	1105.06	70	4.26704
ENSAMXT00000000047.1	7797	7616.06	67.9616	0.601101
ENSAMXT00000000048.1	1002	821.056	0	0
ENSAMXT00000000049.1	1274	1093.06	526.243	32.4308
ENSAMXT00000000050.1	6515	6334.06	531.859	5.65624
ENSAMXT00000000053.1	1652	1471.06	263	12.0431
ENSAMXT00000000054.1	4869	4688.06	1.97032	0.0283112
ENSAMXT00000000063.1	1407	1226.06	36	1.97791
ENSAMXT00000000058.1	2714	2533.06	2732	72.6523
ENSAMXT00000000056.1	843	662.124	6	0.610415
ENSAMXT00000000055.1	4261	4080.06	6	0.09906
ENSAMXT00000000057.1	4748	4567.06	425	6.26853
ENSAMXT00000000059.1	5094	4913.06	385.266	5.28228
ENSAMXT00000000060.1	4119	3938.06	310	5.30265
ENSAMXT00000000062.1	4425	4244.06	152	2.41255
ENSAMXT00000000061.1	2803	2622.06	156	4.00771
ENSAMXT00000000067.1	2352	2171.06	2929.23	90.8859
ENSAMXT00000000064.1	498	317.93	10	2.11876
ENSAMXT00000000072.1	1206	1025.06	93	6.11151
ENSAMXT00000000098.1	3336	3155.06	345.824	7.38348
ENSAMXT00000000069.1	2395	2214.06	3.85502	0.117287
ENSAMXT00000000070.1	1471	1290.06	63.1646	3.29821
ENSAMXT00000000066.1	2866	2685.06	1.00367	0.0251798
ENSAMXT00000000068.1	1562	1381.06	0	0
ENSAMXT00000000074.1	1686	1505.06	268	11.9949
ENSAMXT00000000071.1	1616	1435.06	240	11.2656
ENSAMXT00000000073.1	5684	5503.06	640.891	7.84501
ENSAMXT00000000075.1	11921	11740.1	30	0.172133
ENSAMXT00000000077.1	2640	2459.06	6.00866	0.164597
ENSAMXT00000000078.1	4271	4090.06	501	8.25129
ENSAMXT00000000076.1	1158	977.056	1751	120.72
ENSAMXT00000000079.1	3280	3099.06	88.335	1.92007
ENSAMXT00000000080.1	1413	1232.06	31.049	1.69758
ENSAMXT00000000081.1	2343	2162.06	739.819	23.0501
ENSAMXT00000000082.1	1240	1059.06	29	1.84456
ENSAMXT00000000083.1	1080	899.056	1	0.074925
ENSAMXT00000000084.1	1912	1731.06	7.37102	0.286834
ENSAMXT00000000085.1	1319	1138.06	141	8.34582
ENSAMXT00000000086.1	4010	3829.06	1727.18	30.385
ENSAMXT00000000089.1	1778	1597.06	123	5.18798
ENSAMXT00000000092.1	2043	1862.06	269	9.73135
ENSAMXT00000000087.1	768	587.184	0	0
ENSAMXT00000000088.1	743	562.184	0	0
ENSAMXT00000000090.1	1204	1023.06	2	0.131687
ENSAMXT00000000093.1	1601	1420.06	0	0
ENSAMXT00000000091.1	504	323.93	6	1.24771
ENSAMXT00000000094.1	1738	1557.06	127	5.49431
ENSAMXT00000000095.1	766	585.184	50.6612	5.83171
ENSAMXT00000000103.1	6249	6068.06	35	0.388537
ENSAMXT00000000096.1	4218	4037.06	408.1	6.80951
ENSAMXT00000000097.1	7264	7083.06	6843.34	65.082
ENSAMXT00000000104.1	2735	2554.06	103	2.71657
ENSAMXT00000000099.1	1614	1433.06	0	0
ENSAMXT00000000111.1	3849	3668.06	75	1.37733
ENSAMXT00000000100.1	3188	3007.06	9.26587	0.207567
ENSAMXT00000000101.1	696	515.236	1	0.13074
ENSAMXT00000000102.1	2344	2163.06	192.781	6.00357
