target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7229.13	349.689	10.7659
ENSONIT00000000002.1	2865	2567.13	27.2885	2.36583
ENSONIT00000000003.1	1261	963.134	375.448	86.7593
ENSONIT00000000004.1	5342	5044.13	7776	343.101
ENSONIT00000000005.1	3889	3591.13	104	6.44547
ENSONIT00000000006.1	948	650.255	0	0
ENSONIT00000000007.1	3180	2882.13	229	17.6837
ENSONIT00000000008.1	487	211.103	1966	2072.73
ENSONIT00000000009.1	1438	1140.13	0	0
ENSONIT00000000010.1	837	539.921	0	0
ENSONIT00000000011.1	7684	7386.13	118	3.55564
ENSONIT00000000012.1	6448	6150.13	189.379	6.85331
ENSONIT00000000013.1	1659	1361.13	61.0871	9.98852
ENSONIT00000000014.1	1419	1121.13	78.5339	15.5902
ENSONIT00000000015.1	903	605.433	13	4.77893
ENSONIT00000000016.1	1940	1642.13	51.5929	6.99252
ENSONIT00000000017.1	933	635.309	2.00332	0.701809
ENSONIT00000000018.1	3892	3594.13	162	10.0317
ENSONIT00000000019.1	1045	747.134	54.1639	16.1348
ENSONIT00000000020.1	2356	2058.13	3	0.324415
ENSONIT00000000021.1	4333	4035.13	26	1.43406
ENSONIT00000000022.1	1581	1283.13	0	0
ENSONIT00000000023.1	4614	4316.13	193.25	9.96502
ENSONIT00000000024.1	3198	2900.13	36.7497	2.82026
ENSONIT00000000025.1	4590	4292.13	21	1.08893
ENSONIT00000000026.1	681	387.428	1413	811.716
ENSONIT00000000027.1	828	531.036	0	0
ENSONIT00000000028.1	1315	1017.13	0	0
ENSONIT00000000029.1	771	474.913	0	0
ENSONIT00000000030.1	705	410.534	0	0
ENSONIT00000000031.1	1431	1133.13	1	0.196414
ENSONIT00000000032.1	732	436.722	0	0
ENSONIT00000000033.1	1746	1448.13	0	0
ENSONIT00000000034.1	489	212.752	6	6.2767
ENSONIT00000000035.1	4196	3898.13	1425.66	81.3978
ENSONIT00000000036.1	663	370.164	0	0
ENSONIT00000000037.1	1910	1612.13	7	0.966384
ENSONIT00000000038.1	444	176.405	6	7.56995
ENSONIT00000000039.1	3574	3276.13	237	16.1005
ENSONIT00000000040.1	4793	4495.13	1	0.049512
ENSONIT00000000041.1	3381	3083.13	0	0
ENSONIT00000000042.1	2159	1861.13	57	6.81632
ENSONIT00000000043.1	2452	2154.13	160.338	16.566
ENSONIT00000000044.1	1593	1295.13	0	0
ENSONIT00000000045.1	2701	2403.13	0	0
ENSONIT00000000046.1	822	525.117	0	0
ENSONIT00000000047.1	5615	5317.13	1227.15	51.3657
ENSONIT00000000048.1	3524	3226.13	20.0127	1.38063
ENSONIT00000000049.1	2216	1918.13	146.482	16.9964
ENSONIT00000000050.1	3987	3689.13	0	0
ENSONIT00000000051.1	1779	1481.13	95	14.2752
ENSONIT00000000052.1	4225	3927.13	19.685	1.11561
ENSONIT00000000053.1	252	54.4744	0	0
ENSONIT00000000054.1	1925	1627.13	3	0.410347
ENSONIT00000000055.1	2408	2110.13	76	8.01598
ENSONIT00000000056.1	621	330.446	0	0
ENSONIT00000000057.1	2756	2458.13	547	49.5262
ENSONIT00000000058.1	1560	1262.13	153	26.9798
ENSONIT00000000059.1	4662	4364.13	553	28.202
ENSONIT00000000060.1	3705	3407.13	128	8.3613
ENSONIT00000000061.1	5249	4951.13	101	4.54014
ENSONIT00000000062.1	3788	3490.13	30.1865	1.92497
ENSONIT00000000063.1	1281	983.134	0	0
ENSONIT00000000064.1	1084	786.134	3	0.849332
ENSONIT00000000065.1	932	634.312	48	16.8419
ENSONIT00000000066.1	1914	1616.13	2135	294.018
ENSONIT00000000067.1	989	691.163	97	31.2352
ENSONIT00000000068.1	2325	2027.13	35	3.84272
ENSONIT00000000069.1	3923	3625.13	99	6.07805
ENSONIT00000000070.1	3705	3407.13	25	1.63307
ENSONIT00000000071.1	2997	2699.13	0	0
ENSONIT00000000072.1	1976	1678.13	7	0.928377
ENSONIT00000000073.1	4689	4391.13	84	4.25751
ENSONIT00000000074.1	1955	1657.13	577	77.4945
ENSONIT00000000075.1	5508	5210.13	154.323	6.59228
ENSONIT00000000076.1	3426	3128.13	10.3452	0.73605
ENSONIT00000000077.1	5038	4740.13	91	4.27271
ENSONIT00000000078.1	4171	3873.13	558	32.0645
ENSONIT00000000079.1	2354	2056.13	1	0.108243
ENSONIT00000000080.1	2515	2217.13	185	18.5709
ENSONIT00000000081.1	2378	2080.13	4.24213	0.453885
ENSONIT00000000082.1	1662	1364.13	0	0
ENSONIT00000000083.1	2361	2063.13	34.1951	3.68884
ENSONIT00000000084.1	3525	3227.13	485	33.4486
ENSONIT00000000085.1	1716	1418.13	43	6.74845
ENSONIT00000000086.1	8305	8007.13	338	9.39491
ENSONIT00000000087.1	1392	1094.13	61	12.4083
ENSONIT00000000088.1	3217	2919.13	187.17	14.2704
ENSONIT00000000089.1	804	507.337	104.47	45.8299
ENSONIT00000000090.1	1897	1599.13	900	125.259
ENSONIT00000000091.1	6765	6467.13	493	16.9663
ENSONIT00000000092.1	2004	1706.13	0	0
ENSONIT00000000093.1	663	370.164	156	93.7958
ENSONIT00000000094.1	2085	1787.13	33	4.1097
ENSONIT00000000095.1	3537	3239.13	197.643	13.5802
ENSONIT00000000096.1	4064	3766.13	72.3573	4.27602
ENSONIT00000000097.1	2633	2335.13	81	7.72016
ENSONIT00000000098.1	1083	785.134	3	0.850414
ENSONIT00000000099.1	891	593.508	1	0.374996
ENSONIT00000000100.1	1542	1244.13	157	28.0857
ENSONIT00000000101.1	1449	1151.13	59	11.4072
ENSONIT00000000102.1	480	205.272	1512	1639.36
ENSONIT00000000103.1	5578	5280.13	1309	55.1757
ENSONIT00000000104.1	1428	1130.13	3	0.590805
ENSONIT00000000105.1	2163	1865.13	106	12.6488
ENSONIT00000000106.1	2614	2316.13	60	5.76555
ENSONIT00000000107.1	1398	1100.13	0	0
ENSONIT00000000108.1	2879	2581.13	581	50.0978
ENSONIT00000000109.1	4139	3841.13	21.4147	1.24081
ENSONIT00000000110.1	3540	3242.13	10.5853	0.726653
ENSONIT00000000111.1	4344	4046.13	518.289	28.5092
ENSONIT00000000112.1	1965	1667.13	173	23.0956
ENSONIT00000000113.1	1420	1122.13	211	41.8495
ENSONIT00000000114.1	2532	2234.13	87	8.66688
ENSONIT00000000115.1	6356	6058.13	526	19.3241
ENSONIT00000000116.1	3789	3491.13	0	0
ENSONIT00000000117.1	1740	1442.13	0	0
ENSONIT00000000118.1	2960	2662.13	240.578	20.1131
ENSONIT00000000119.1	699	404.759	43.4218	23.8761
ENSONIT00000000120.1	1338	1040.13	33	7.06118
ENSONIT00000000121.1	951	653.248	66	22.4863
ENSONIT00000000122.1	657	364.41	245	149.634
ENSONIT00000000123.1	3098	2800.13	322	25.5935
ENSONIT00000000124.1	2273	1975.13	693.069	78.0967
ENSONIT00000000125.1	1245	947.134	8.72866	2.05111
ENSONIT00000000126.1	3243	2945.13	1210	91.4394
ENSONIT00000000127.1	4849	4551.13	564.845	27.6225
ENSONIT00000000128.1	3687	3389.13	45.1548	2.96529
ENSONIT00000000129.1	1728	1430.13	6	0.933743
ENSONIT00000000130.1	1483	1185.13	99.1389	18.6178
ENSONIT00000000131.1	2301	2003.13	185	20.5549
ENSONIT00000000132.1	960	662.234	0	0
ENSONIT00000000133.1	5154	4856.13	128	5.86641
ENSONIT00000000134.1	885	587.549	4	1.5152
ENSONIT00000000135.1	7644	7346.13	671.533	20.3452
ENSONIT00000000136.1	4290	3992.13	0	0
