target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7213.07	720.653	13.5056
ENSONIT00000000002.1	2865	2551.07	34.5666	1.83165
ENSONIT00000000003.1	1261	947.072	435.286	62.1298
ENSONIT00000000004.1	5342	5028.07	143	3.84453
ENSONIT00000000005.1	3889	3575.07	137	5.18017
ENSONIT00000000006.1	948	634.272	0	0
ENSONIT00000000007.1	3180	2866.07	117	5.51832
ENSONIT00000000008.1	487	199.308	3970	2692.61
ENSONIT00000000009.1	1438	1124.07	0	0
ENSONIT00000000010.1	837	524.218	219	56.4729
ENSONIT00000000011.1	7684	7370.07	44	0.807029
ENSONIT00000000012.1	6448	6134.07	149.323	3.29068
ENSONIT00000000013.1	1659	1345.07	101.257	10.1762
ENSONIT00000000014.1	1419	1105.07	45.4205	5.5561
ENSONIT00000000015.1	903	589.55	3	0.687874
ENSONIT00000000016.1	1940	1626.07	85.5572	7.11254
ENSONIT00000000017.1	933	619.347	0	0
ENSONIT00000000018.1	3892	3578.07	370	13.9785
ENSONIT00000000019.1	1045	731.072	26.251	4.85394
ENSONIT00000000020.1	2356	2042.07	0	0
ENSONIT00000000021.1	4333	4019.07	1	0.0336343
ENSONIT00000000022.1	1581	1267.07	1.05521	0.112576
ENSONIT00000000023.1	4614	4300.07	114.753	3.60743
ENSONIT00000000024.1	3198	2884.07	16.2465	0.761488
ENSONIT00000000025.1	4590	4276.07	60.9448	1.92664
ENSONIT00000000026.1	681	372.785	101	36.6244
ENSONIT00000000027.1	828	515.357	0	0
ENSONIT00000000028.1	1315	1001.07	0	0
ENSONIT00000000029.1	771	459.523	0	0
ENSONIT00000000030.1	705	395.663	0	0
ENSONIT00000000031.1	1431	1117.07	1	0.121012
ENSONIT00000000032.1	732	421.612	0	0
ENSONIT00000000033.1	1746	1432.07	0	0
ENSONIT00000000034.1	489	200.942	1	0.672725
ENSONIT00000000035.1	4196	3882.07	1970.72	68.6229
ENSONIT00000000036.1	663	355.719	0.360621	0.137041
ENSONIT00000000037.1	1910	1596.07	11	0.931641
ENSONIT00000000038.1	444	165.577	3	2.44924
ENSONIT00000000039.1	3574	3260.07	178	7.38076
ENSONIT00000000040.1	4793	4479.07	571.673	17.2531
ENSONIT00000000041.1	3381	3067.07	50.3265	2.2181
ENSONIT00000000042.1	2159	1845.07	30	2.19794
ENSONIT00000000043.1	2452	2138.07	82.2819	5.20224
ENSONIT00000000044.1	1593	1279.07	0	0
ENSONIT00000000045.1	2701	2387.07	0	0
ENSONIT00000000046.1	822	509.429	0	0
ENSONIT00000000047.1	5615	5301.07	308.549	7.86808
ENSONIT00000000048.1	3524	3210.07	24.0288	1.01187
