target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7223.37	371.55	9.08141
ENSONIT00000000002.1	2865	2561.37	2.62576	0.180991
ENSONIT00000000003.1	1261	957.367	425.481	78.4653
ENSONIT00000000004.1	5342	5038.37	4	0.140167
ENSONIT00000000005.1	3889	3585.37	14	0.689398
ENSONIT00000000006.1	948	644.603	0	0
ENSONIT00000000007.1	3180	2876.37	51	3.13041
ENSONIT00000000008.1	487	209.81	2348	1975.82
ENSONIT00000000009.1	1438	1134.37	44	6.84817
ENSONIT00000000010.1	837	534.73	2	0.660345
ENSONIT00000000011.1	7684	7380.37	19	0.454518
ENSONIT00000000012.1	6448	6144.37	83.9284	2.41161
ENSONIT00000000013.1	1659	1355.37	22.4865	2.92914
ENSONIT00000000014.1	1419	1115.37	67.5851	10.6981
ENSONIT00000000015.1	903	599.922	1	0.294294
ENSONIT00000000016.1	1940	1636.37	3.98418	0.429866
ENSONIT00000000017.1	933	629.701	0	0
ENSONIT00000000018.1	3892	3588.37	83	4.08373
ENSONIT00000000019.1	1045	741.367	5.20858	1.2404
ENSONIT00000000020.1	2356	2052.37	0	0
ENSONIT00000000021.1	4333	4029.37	108	4.73219
ENSONIT00000000022.1	1581	1277.37	11	1.52038
ENSONIT00000000023.1	4614	4310.37	39.5726	1.6209
ENSONIT00000000024.1	3198	2894.37	21.4274	1.30705
ENSONIT00000000025.1	4590	4286.37	32	1.31806
ENSONIT00000000026.1	681	383.635	39	17.9483
ENSONIT00000000027.1	828	525.818	0	0
ENSONIT00000000028.1	1315	1011.37	0	0
ENSONIT00000000029.1	771	469.945	0	0
ENSONIT00000000030.1	705	406.355	0	0
ENSONIT00000000031.1	1431	1127.37	0	0
ENSONIT00000000032.1	732	432.219	0	0
ENSONIT00000000033.1	1746	1442.37	0	0
ENSONIT00000000034.1	489	211.454	0	0
ENSONIT00000000035.1	4196	3892.37	2152.61	97.6398
ENSONIT00000000036.1	663	366.571	0	0
ENSONIT00000000037.1	1910	1606.37	5	0.549542
ENSONIT00000000038.1	444	175.484	3	3.01827
ENSONIT00000000039.1	3574	3270.37	65	3.50907
ENSONIT00000000040.1	4793	4489.37	3.78824	0.14898
ENSONIT00000000041.1	3381	3077.37	3.21176	0.184263
ENSONIT00000000042.1	2159	1855.37	10	0.951581
ENSONIT00000000043.1	2452	2148.37	128.39	10.5511
ENSONIT00000000044.1	1593	1289.37	0	0
ENSONIT00000000045.1	2701	2397.37	3	0.220934
ENSONIT00000000046.1	822	519.909	0	0
