target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1477.16	588	29.9538
ENSORLT00000000002.1	1641	1504.16	140.771	7.04244
ENSORLT00000000003.1	1389	1252.16	62.2286	3.73967
ENSORLT00000000004.1	537	400.343	5	0.939813
ENSORLT00000000005.1	520	383.42	0	0
ENSORLT00000000007.1	1809	1672.16	256	11.5203
ENSORLT00000000008.1	1098	961.163	73.9979	5.7933
ENSORLT00000000010.1	1071	934.163	0	0
ENSORLT00000000011.1	1071	934.163	2.00213	0.161277
ENSORLT00000000006.1	936	799.247	89	8.37939
ENSORLT00000000009.1	1271	1134.16	177	11.7436
ENSORLT00000000013.1	1707	1570.16	18	0.862643
ENSORLT00000000014.1	1062	925.163	0	0
ENSORLT00000000012.1	1495	1358.16	1281	70.9742
ENSORLT00000000016.1	1239	1102.16	0	0
ENSORLT00000000022.1	1851	1714.16	70.5024	3.09496
ENSORLT00000000024.1	1770	1633.16	15.4976	0.714068
ENSORLT00000000015.1	1368	1231.16	127	7.76232
ENSORLT00000000017.1	150	36.7787	172	351.913
ENSORLT00000000019.1	972	835.247	25.2574	2.2755
ENSORLT00000000021.1	2412	2275.16	0	0
ENSORLT00000000020.1	267	133.93	0	0
ENSORLT00000000023.1	375	238.915	0	0
ENSORLT00000000025.1	312	176.965	1	0.425222
ENSORLT00000000027.1	735	598.247	152.013	19.1206
ENSORLT00000000026.1	489	352.493	0	0
ENSORLT00000000028.1	987	850.163	36	3.18643
ENSORLT00000000031.1	4884	4747.16	171	2.7106
ENSORLT00000000030.1	750	613.247	34.004	4.17252
ENSORLT00000000032.1	726	589.247	3.66791	0.468408
ENSORLT00000000033.1	807	670.247	3.33209	0.374098
ENSORLT00000000034.1	1818	1681.16	1120	50.1316
ENSORLT00000000039.1	3546	3409.16	1101	24.3021
ENSORLT00000000036.1	2979	2842.16	230.491	6.1025
ENSORLT00000000038.1	2802	2665.16	329.509	9.30352
ENSORLT00000000037.1	1376	1239.16	529	32.1241
ENSORLT00000000040.1	126	22.947	32	104.937
ENSORLT00000000041.1	756	619.247	1894.21	230.18
ENSORLT00000000042.1	1503	1366.16	2382	131.203
ENSORLT00000000043.1	1311	1174.16	432.686	27.7299
ENSORLT00000000045.1	1911	1774.16	0	0
ENSORLT00000000046.1	1818	1681.16	3	0.134281
ENSORLT00000000047.1	966	829.247	417	37.8404
ENSORLT00000000053.1	2118	1981.16	159	6.03921
ENSORLT00000000052.1	2925	2788.16	105	2.83384
ENSORLT00000000050.1	447	310.594	15	3.63414
ENSORLT00000000051.1	597	460.302	78	12.7513
ENSORLT00000000054.1	9129	8992.16	923.025	7.72419
ENSORLT00000000055.1	1438	1301.16	4597	265.856
ENSORLT00000000060.1	2820	2683.16	37	1.03767
ENSORLT00000000058.1	1737	1600.16	0	0
ENSORLT00000000059.1	561	424.302	0	0
ENSORLT00000000061.1	588	451.302	0	0
ENSORLT00000000062.1	2190	2053.16	691	25.3255
ENSORLT00000000063.1	1194	1057.16	273	19.4323
ENSORLT00000000064.1	585	448.302	0	0
ENSORLT00000000072.1	4620	4483.16	1	0.0167849
ENSORLT00000000066.1	416	279.656	0	0
ENSORLT00000000067.1	1137	1000.16	99	7.44849
ENSORLT00000000068.1	1154	1017.16	1	0.0739798
ENSORLT00000000071.1	2130	1993.16	2.52619	0.0953732
ENSORLT00000000073.1	1341	1204.16	0.473812	0.029609
ENSORLT00000000069.1	780	643.247	0	0
ENSORLT00000000070.1	768	631.247	0	0
ENSORLT00000000074.1	1482	1345.16	11	0.615349
ENSORLT00000000076.1	4947	4810.16	2083	32.5861
ENSORLT00000000075.1	795	658.247	0	0
ENSORLT00000000077.1	2199	2062.16	0	0
ENSORLT00000000078.1	1770	1633.16	0	0
ENSORLT00000000079.1	1827	1690.16	51	2.27062
ENSORLT00000000080.1	504	367.457	49.7069	10.1792
ENSORLT00000000082.1	657	520.302	0	0
ENSORLT00000000086.1	3076	2939.16	141	3.60993
ENSORLT00000000083.1	2049	1912.16	302	11.8846
ENSORLT00000000085.1	1203	1066.16	17	1.19986
ENSORLT00000000094.1	2772	2635.16	0	0
ENSORLT00000000096.1	2625	2488.16	0.0504406	0.00152547
ENSORLT00000000098.1	2613	2476.16	6.65846	0.202348
ENSORLT00000000100.1	2244	2107.16	2.2911	0.081818
ENSORLT00000000087.1	1516	1379.16	489	26.6807
ENSORLT00000000089.1	3735	3598.16	42	0.878359
ENSORLT00000000088.1	1320	1183.16	87	5.53322
ENSORLT00000000090.1	2256	2119.16	3	0.106527
ENSORLT00000000091.1	873	736.247	0	0
ENSORLT00000000092.1	834	697.247	0	0
ENSORLT00000000110.1	4494	4357.16	3	0.0518109
ENSORLT00000000093.1	2019	1882.16	5	0.199902
ENSORLT00000000095.1	1167	1030.16	696	50.8402
ENSORLT00000000097.1	173	52.4004	0	0
ENSORLT00000000099.1	1190	1053.16	61.3096	4.38063
ENSORLT00000000101.1	1349	1212.16	1271	78.902
ENSORLT00000000102.1	1148	1011.16	0	0
ENSORLT00000000103.1	1385	1248.16	426.69	25.7244
ENSORLT00000000104.1	1205	1068.16	0	0
ENSORLT00000000106.1	1013	876.163	0	0
ENSORLT00000000105.1	957	820.247	23	2.11002
ENSORLT00000000111.1	1317	1180.16	55.755	3.55505
ENSORLT00000000112.1	1226	1089.16	1050.24	72.5607
ENSORLT00000000107.1	858	721.247	0	0
ENSORLT00000000108.1	2385	2248.16	18	0.602488
ENSORLT00000000113.1	1389	1252.16	3	0.180287
ENSORLT00000000114.1	1532	1395.16	9447	509.533
ENSORLT00000000117.1	1041	904.163	0	0
ENSORLT00000000116.1	1392	1255.16	154	9.2326
ENSORLT00000000115.1	2217	2080.16	0	0
ENSORLT00000000119.1	1323	1186.16	0	0
ENSORLT00000000120.1	3732	3595.16	57	1.19305
ENSORLT00000000122.1	1545	1408.16	204	10.9014
ENSORLT00000000123.1	6681	6544.16	111	1.27636
ENSORLT00000000124.1	1062	925.163	0	0
