target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7226.83	70.5458	1.41877
ENSONIT00000000002.1	2865	2564.83	49.5178	2.80603
ENSONIT00000000003.1	1261	960.833	69.8817	10.5707
ENSONIT00000000004.1	5342	5041.83	4	0.115309
ENSONIT00000000005.1	3889	3588.83	68	2.75389
ENSONIT00000000006.1	948	647.956	0	0
ENSONIT00000000007.1	3180	2879.83	21	1.05984
ENSONIT00000000008.1	487	208.861	5659	3937.97
ENSONIT00000000009.1	1438	1137.83	0	0
ENSONIT00000000010.1	837	537.731	0	0
ENSONIT00000000011.1	7684	7383.83	34	0.669248
ENSONIT00000000012.1	6448	6147.83	46.4628	1.09843
ENSONIT00000000013.1	1659	1358.83	2.73049	0.292055
ENSONIT00000000014.1	1419	1118.83	37.8067	4.91127
ENSONIT00000000015.1	903	603.216	0	0
ENSONIT00000000016.1	1940	1639.83	24.4631	2.16821
ENSONIT00000000017.1	933	633.054	0	0
ENSONIT00000000018.1	3892	3591.83	54	2.18508
ENSONIT00000000019.1	1045	744.833	3.27761	0.639571
ENSONIT00000000020.1	2356	2055.83	0	0
ENSONIT00000000021.1	4333	4032.83	2	0.0720792
ENSONIT00000000022.1	1581	1280.83	0	0
ENSONIT00000000023.1	4614	4313.83	48.5266	1.63496
ENSONIT00000000024.1	3198	2897.83	6.47341	0.324676
ENSONIT00000000025.1	4590	4289.83	14	0.474327
ENSONIT00000000026.1	681	385.212	26	9.80988
ENSONIT00000000027.1	828	528.799	0	0
ENSONIT00000000028.1	1315	1014.83	0	0
ENSONIT00000000029.1	771	472.774	0	0
ENSONIT00000000030.1	705	408.393	0	0
ENSONIT00000000031.1	1431	1130.83	40.2036	5.16722
ENSONIT00000000032.1	732	434.615	0	0
ENSONIT00000000033.1	1746	1445.83	1	0.100525
ENSONIT00000000034.1	489	210.558	0	0
ENSONIT00000000035.1	4196	3895.83	2138.84	79.7938
ENSONIT00000000036.1	663	367.927	0.315367	0.124579
ENSONIT00000000037.1	1910	1609.83	0	0
ENSONIT00000000038.1	444	174.295	1	0.833883
ENSONIT00000000039.1	3574	3273.83	47	2.08656
ENSONIT00000000040.1	4793	4492.83	0	0
ENSONIT00000000041.1	3381	3080.83	0	0
ENSONIT00000000042.1	2159	1858.83	7	0.547328
ENSONIT00000000043.1	2452	2151.83	100.156	6.76488
ENSONIT00000000044.1	1593	1292.83	0	0
ENSONIT00000000045.1	2701	2400.83	0	0
ENSONIT00000000046.1	822	522.866	0	0
ENSONIT00000000047.1	5615	5314.83	30.4074	0.831533
ENSONIT00000000048.1	3524	3223.83	12.0624	0.543816
ENSONIT00000000049.1	2216	1915.83	18.0325	1.36801
ENSONIT00000000050.1	3987	3686.83	1	0.0394218
ENSONIT00000000051.1	1779	1478.83	108	10.6144
ENSONIT00000000052.1	4225	3924.83	3.68328	0.136397
ENSONIT00000000053.1	252	52.9516	334	916.764
ENSONIT00000000054.1	1925	1624.83	434	38.8214
ENSONIT00000000055.1	2408	2107.83	2.36894	0.163346
ENSONIT00000000056.1	621	328.276	0.631059	0.279397
ENSONIT00000000057.1	2756	2455.83	2123	125.644
ENSONIT00000000058.1	1560	1259.83	223	25.7266
ENSONIT00000000059.1	4662	4361.83	169	5.63129
ENSONIT00000000060.1	3705	3404.83	11	0.469556
ENSONIT00000000061.1	5249	4948.83	0	0
ENSONIT00000000062.1	3788	3487.83	69.5143	2.89674
ENSONIT00000000063.1	1281	980.833	0	0
ENSONIT00000000064.1	1084	783.833	2	0.370849
ENSONIT00000000065.1	932	632.054	21	4.82898
ENSONIT00000000066.1	1914	1613.83	1	0.09006
ENSONIT00000000067.1	989	688.87	43	9.07238
ENSONIT00000000068.1	2325	2024.83	6	0.430678
ENSONIT00000000069.1	3923	3622.83	757	30.3695
ENSONIT00000000070.1	3705	3404.83	16	0.68299
ENSONIT00000000071.1	2997	2696.83	0	0
ENSONIT00000000072.1	1976	1675.83	4	0.346912
ENSONIT00000000073.1	4689	4388.83	16	0.52986
ENSONIT00000000074.1	1955	1654.83	338	29.6861
ENSONIT00000000075.1	5508	5207.83	20.6752	0.57701
ENSONIT00000000076.1	3426	3125.83	21.5904	1.00389
ENSONIT00000000077.1	5038	4737.83	5	0.153384
ENSONIT00000000078.1	4171	3870.83	90	3.37931
ENSONIT00000000079.1	2354	2053.83	1	0.0707661
ENSONIT00000000080.1	2515	2214.83	28	1.83742
ENSONIT00000000081.1	2378	2077.83	5.48666	0.383785
ENSONIT00000000082.1	1662	1361.83	0	0
ENSONIT00000000083.1	2361	2060.83	12.7916	0.902137
ENSONIT00000000084.1	3525	3224.83	322	14.5124
ENSONIT00000000085.1	1716	1415.83	5	0.513273
ENSONIT00000000086.1	8305	8004.83	54	0.980464
ENSONIT00000000087.1	1392	1091.83	41	5.4578
ENSONIT00000000088.1	3217	2916.83	222.696	11.0966
ENSONIT00000000089.1	804	505.133	151.434	43.572
ENSONIT00000000090.1	1897	1596.83	31	2.82158
ENSONIT00000000091.1	6765	6464.83	7	0.157373
ENSONIT00000000092.1	2004	1703.83	0	0
ENSONIT00000000093.1	663	367.927	6	2.37017
ENSONIT00000000094.1	2085	1784.83	7	0.570021
ENSONIT00000000095.1	3537	3236.83	0	0
ENSONIT00000000096.1	4064	3763.83	0	0
ENSONIT00000000097.1	2633	2332.83	352	21.9305
ENSONIT00000000098.1	1083	782.833	2	0.371322
ENSONIT00000000099.1	891	591.286	0	0
ENSONIT00000000100.1	1542	1241.83	3	0.351114
ENSONIT00000000101.1	1449	1148.83	25	3.16281
ENSONIT00000000102.1	480	203.034	30	21.4755
ENSONIT00000000103.1	5578	5277.83	183	5.03948
ENSONIT00000000104.1	1428	1127.83	16	2.06189
ENSONIT00000000105.1	2163	1862.83	0	0
ENSONIT00000000106.1	2614	2313.83	0	0
ENSONIT00000000107.1	1398	1097.83	0	0
ENSONIT00000000108.1	2879	2578.83	220	12.3991
ENSONIT00000000109.1	4139	3838.83	0	0
ENSONIT00000000110.1	3540	3239.83	1	0.0448609
ENSONIT00000000111.1	4344	4043.83	315.284	11.3318
ENSONIT00000000112.1	1965	1664.83	7	0.611108
ENSONIT00000000113.1	1420	1119.83	0	0
ENSONIT00000000114.1	2532	2231.83	15	0.976832
ENSONIT00000000115.1	6356	6055.83	112	2.68803
ENSONIT00000000116.1	3789	3488.83	0	0
ENSONIT00000000117.1	1740	1439.83	0	0
ENSONIT00000000118.1	2960	2659.83	0	0
ENSONIT00000000119.1	699	402.646	0	0
ENSONIT00000000120.1	1338	1037.83	2	0.280087
ENSONIT00000000121.1	951	650.95	29	6.47502
ENSONIT00000000122.1	657	362.266	137	54.9646
ENSONIT00000000123.1	3098	2797.83	43	2.23376
ENSONIT00000000124.1	2273	1972.83	813.289	59.9163
ENSONIT00000000125.1	1245	944.833	0	0
ENSONIT00000000126.1	3243	2942.83	0	0
ENSONIT00000000127.1	4849	4548.83	108.261	3.4591
ENSONIT00000000128.1	3687	3386.83	14.7389	0.632499
ENSONIT00000000129.1	1728	1427.83	43	4.37705
ENSONIT00000000130.1	1483	1182.83	55.9275	6.87215
ENSONIT00000000131.1	2301	2000.83	30	2.17922
ENSONIT00000000132.1	960	659.926	0	0
ENSONIT00000000133.1	5154	4853.83	1	0.0299437
ENSONIT00000000134.1	885	585.329	2	0.496615
ENSONIT00000000135.1	7644	7343.83	53.9291	1.06731
ENSONIT00000000136.1	4290	3989.83	0	0
ENSONIT00000000137.1	3485	3184.83	0	0
ENSONIT00000000138.1	2876	2575.83	0	0
ENSONIT00000000139.1	1812	1511.83	0	0
ENSONIT00000000140.1	6844	6543.83	17.1518	0.380951
ENSONIT00000000141.1	1913	1612.83	9	0.811042
ENSONIT00000000142.1	2423	2122.83	12	0.821591
ENSONIT00000000143.1	2451	2150.83	0	0
ENSONIT00000000144.1	2003	1702.83	7	0.59747
ENSONIT00000000145.1	792	493.36	7	2.06217
ENSONIT00000000146.1	7513	7212.83	16.1018	0.324457
ENSONIT00000000147.1	3461	3160.83	428.465	19.7017
ENSONIT00000000148.1	2439	2138.83	21.5348	1.46337
ENSONIT00000000149.1	2400	2099.83	32.1254	2.22359
ENSONIT00000000150.1	1182	881.833	0	0
ENSONIT00000000151.1	483	205.531	0	0
ENSONIT00000000152.1	870	570.434	36	9.17249
ENSONIT00000000153.1	1146	845.833	0	0
ENSONIT00000000154.1	1218	917.833	0	0
ENSONIT00000000155.1	1659	1358.83	0	0
ENSONIT00000000156.1	1671	1370.83	0	0
ENSONIT00000000157.1	6499	6198.83	76	1.78194
ENSONIT00000000158.1	8869	8568.83	5	0.0848083
ENSONIT00000000159.1	3754	3453.83	1	0.0420813
ENSONIT00000000160.1	5545	5244.83	0	0
ENSONIT00000000161.1	1863	1562.83	0	0
ENSONIT00000000162.1	753	455.162	0	0
ENSONIT00000000163.1	672	376.579	7.31161	2.82193
ENSONIT00000000164.1	1128	827.833	507	89.0134
ENSONIT00000000165.1	2371	2070.83	35.4096	2.48523
ENSONIT00000000166.1	7227	6926.83	25	0.52456
ENSONIT00000000167.1	6312	6011.83	0	0
ENSONIT00000000168.1	2126	1825.83	28	2.22888
ENSONIT00000000169.1	6003	5702.83	80.1468	2.04261
ENSONIT00000000170.1	693	396.854	0	0
ENSONIT00000000171.1	4604	4303.83	15.6842	0.529659
ENSONIT00000000172.1	1077	776.833	1.16904	0.218722
ENSONIT00000000173.1	987	686.877	6	1.26959
ENSONIT00000000174.1	6844	6543.83	65.1798	1.44767
ENSONIT00000000175.1	3775	3474.83	1.005	0.0420362
ENSONIT00000000176.1	1338	1037.83	24	3.36104
ENSONIT00000000177.1	7865	7564.83	7.5433	0.144928
ENSONIT00000000178.1	4710	4409.83	0	0
ENSONIT00000000179.1	6386	6085.83	52.8933	1.2632
ENSONIT00000000180.1	2559	2258.83	1.10673	0.0712112
ENSONIT00000000181.1	9117	8816.83	3.19494	0.0526673
ENSONIT00000000182.1	12218	11917.8	48.8051	0.595193
ENSONIT00000000183.1	855	555.562	7	1.83128
ENSONIT00000000184.1	2193	1892.83	0	0
ENSONIT00000000185.1	1704	1403.83	0	0
ENSONIT00000000186.1	3249	2948.83	9.73212	0.479676
ENSONIT00000000187.1	1734	1433.83	3.26788	0.331251
ENSONIT00000000188.1	1458	1157.83	0	0
ENSONIT00000000189.1	1374	1073.83	0	0
ENSONIT00000000190.1	3726	3425.83	458.663	19.4589
ENSONIT00000000191.1	1545	1244.83	121.337	14.1669
ENSONIT00000000192.1	3799	3498.83	28.3221	1.1765
ENSONIT00000000193.1	1941	1640.83	2.67786	0.237199
ENSONIT00000000194.1	3441	3140.83	3	0.138825
ENSONIT00000000195.1	1623	1322.83	0	0
ENSONIT00000000196.1	1987	1686.83	0	0
ENSONIT00000000197.1	2391	2090.83	160	11.1222
ENSONIT00000000198.1	1707	1406.83	0	0
ENSONIT00000000199.1	665	369.839	39	15.3265
ENSONIT00000000200.1	2070	1769.83	0	0
ENSONIT00000000201.1	552	265.075	0	0
ENSONIT00000000202.1	5547	5246.83	41	1.13573
ENSONIT00000000203.1	4068	3767.83	1.47709e-06	5.69777e-08
ENSONIT00000000204.1	3111	2810.83	0	0
ENSONIT00000000205.1	2490	2189.83	0	0
ENSONIT00000000206.1	1716	1415.83	472	48.453
ENSONIT00000000207.1	2172	1871.83	12	0.931761
ENSONIT00000000208.1	1087	786.833	18	3.32491
ENSONIT00000000209.1	2754	2453.83	1	0.0592305
ENSONIT00000000210.1	5231	4930.83	0	0
ENSONIT00000000211.1	5273	4972.83	2	0.0584543
ENSONIT00000000212.1	2822	2521.83	1.01439	0.0584626
ENSONIT00000000213.1	1308	1007.83	0	0
ENSONIT00000000214.1	2786	2485.83	0	0
ENSONIT00000000215.1	3284	2983.83	8	0.389678
ENSONIT00000000216.1	1795	1494.83	0	0
ENSONIT00000000217.1	1350	1049.83	0	0
ENSONIT00000000218.1	2829	2528.83	59	3.39096
ENSONIT00000000219.1	1668	1367.83	0	0
ENSONIT00000000220.1	1342	1041.83	4.43233	0.618336
ENSONIT00000000221.1	630	336.674	0.567665	0.24506
ENSONIT00000000222.1	1335	1034.83	0	0
ENSONIT00000000223.1	3988	3687.83	46	1.81291
ENSONIT00000000224.1	3635	3334.83	1	0.0435829
ENSONIT00000000225.1	1509	1208.83	0	0
ENSONIT00000000226.1	2841	2540.83	48	2.74571
ENSONIT00000000227.1	2067	1766.83	0	0
