target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.4492	0	0
ENSELUT00000043746.1	57	26.4492	0	0
ENSELUT00000037603.1	57	26.4492	0	0
ENSELUT00000037622.1	60	28.076	0	0
ENSELUT00000043756.1	60	28.076	0	0
ENSELUT00000036957.1	291	136.37	1.76189	1.56939
ENSELUT00000043605.1	309	151.787	0	0
ENSELUT00000013117.1	339	178.403	5.20789	3.54595
ENSELUT00000013112.1	252	104.27	3.37106	3.92716
ENSELUT00000036937.1	291	136.37	2	1.78149
ENSELUT00000036941.1	273	121.354	0	0
ENSELUT00000036943.1	306	149.21	0	0
ENSELUT00000036966.1	306	149.21	0	0
ENSELUT00000036993.1	288	133.851	0	0
ENSELUT00000037021.1	291	136.37	0	0
ENSELUT00000043560.1	333	173.013	2.09253	1.46915
ENSELUT00000037132.1	354	191.923	0	0
ENSELUT00000037138.1	333	173.013	0.869411	0.610406
ENSELUT00000043572.1	315	157.031	1	0.773544
ENSELUT00000037291.1	348	186.504	1	0.651305
ENSELUT00000037323.1	333	173.013	2	1.40418
ENSELUT00000037354.1	348	186.504	0	0
ENSELUT00000043648.1	309	151.787	0	0
ENSELUT00000037369.1	333	173.013	0	0
ENSELUT00000037383.1	330	170.342	1.5943	1.13689
ENSELUT00000037448.1	333	173.013	2	1.40418
ENSELUT00000043712.1	318	159.666	0	0
ENSELUT00000037530.1	333	173.013	0	0
ENSELUT00000037640.1	303	146.608	0	0
ENSELUT00000000007.1	975	804.172	251	37.9137
ENSELUT00000000011.1	1050	879.157	264	36.4762
ENSELUT00000000017.1	1551	1380.16	5462	480.723
ENSELUT00000000020.1	691	520.415	1396	325.842
ENSELUT00000000022.1	168	44.1667	52	143.014
ENSELUT00000000023.1	682	511.438	321	76.2401
ENSELUT00000000024.1	785	614.286	2742	542.211
ENSELUT00000000026.1	349	187.393	58	37.5964
ENSELUT00000000028.1	297	141.494	38	32.6224
ENSELUT00000000029.1	1381	1210.16	346	34.7301
ENSELUT00000000033.1	1839	1668.16	231	16.8208
ENSELUT00000000034.1	522	352.537	80	27.565
ENSELUT00000000036.1	1137	966.157	507	63.7429
ENSELUT00000019592.1	708	537.395	204.907	46.3163
ENSELUT00000019593.1	4511	4340.16	2294.46	64.2166
ENSELUT00000019594.1	4531	4360.16	4772.7	132.964
ENSELUT00000019595.1	4384	4213.16	775.682	22.3639
ENSELUT00000019596.1	3561	3390.16	3.25147	0.116502
ENSELUT00000019574.1	1629	1458.16	49.394	4.11473
ENSELUT00000019438.1	3662	3491.16	1	0.0347938
ENSELUT00000019409.1	1280	1109.16	42.9945	4.70859
ENSELUT00000019402.1	975	804.172	180.411	27.2512
ENSELUT00000019395.1	1083	912.157	125.091	16.6581
ENSELUT00000019290.1	600	429.764	18.5191	5.23434
ENSELUT00000019243.1	429	262.127	80	37.0723
ENSELUT00000019228.1	2097	1926.16	176	11.0992
ENSELUT00000019086.1	4509	4338.16	0	0
ENSELUT00000019091.1	4367	4196.16	0	0
