gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1215.59	9.00	0.42	0.24
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1714.59	8.00	0.27	0.15
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5699.59	402.26	4.02	2.33
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1519.59	467.00	17.53	10.16
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3131.59	313.00	5.70	3.30
ENSOCUG00000000007	ENSOCUT00000000006	474.00	347.50	39.00	6.42	3.72
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1639.59	7.00	0.24	0.14
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	709.40	582.05	527.01	51.73	29.98
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2281.59	90.00	2.25	1.30
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1300.59	1166.72	51.17	29.65
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1469.59	16.00	0.62	0.36
ENSOCUG00000000014	ENSOCUT00000011806	758.00	630.60	4103.57	371.68	215.40
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3183.59	26139.95	467.92	271.18
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1558.59	13.93	0.51	0.30
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6410.59	305.56	2.72	1.57
ENSOCUG00000000018	ENSOCUT00000000017	558.00	430.93	403.94	53.60	31.06
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5887.59	652.00	6.31	3.66
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3911.59	1084.35	15.80	9.15
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1439.59	347.47	13.77	7.98
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2020.59	51.00	1.44	0.83
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2305.59	53.00	1.31	0.76
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	6998.59	111.99	0.91	0.53
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1630.59	0.00	0.00	0.00
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1949.39	1821.98	869.00	27.19	15.76
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	1866.34	1738.93	108.31	3.55	2.06
ENSOCUG00000000031	ENSOCUT00000000031	969.00	841.59	6.00	0.41	0.24
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5235.59	11.01	0.12	0.07
ENSOCUG00000000034	ENSOCUT00000000034	4250.00	4122.59	778.09	10.75	6.23
ENSOCUG00000000036	ENSOCUT00000000036	1008.00	880.59	0.00	0.00	0.00
ENSOCUG00000000038	ENSOCUT00000000038	2284.00	2156.59	247.25	6.54	3.79
ENSOCUG00000000040	ENSOCUT00000000040	687.00	559.65	113.00	11.54	6.69
ENSOCUG00000000041	ENSOCUT00000000041	1702.00	1574.59	4.00	0.14	0.08
ENSOCUG00000000044	ENSOCUT00000000044	939.00	811.59	1.00	0.07	0.04
ENSOCUG00000000045	ENSOCUT00000000045	2817.00	2689.59	3.01	0.06	0.04
ENSOCUG00000000046	ENSOCUT00000000046	792.00	664.59	0.00	0.00	0.00
ENSOCUG00000000049	ENSOCUT00000027874	4492.00	4364.59	80.00	1.04	0.61
ENSOCUG00000000051	ENSOCUT00000031590	9051.00	8923.59	2240.14	14.30	8.29
ENSOCUG00000000052	ENSOCUT00000000051	915.00	787.59	0.00	0.00	0.00
ENSOCUG00000000054	ENSOCUT00000000053	681.00	553.66	0.00	0.00	0.00
ENSOCUG00000000055	ENSOCUT00000000055	1293.00	1165.59	6.00	0.29	0.17
ENSOCUG00000000057	ENSOCUT00000000062	9873.00	9745.59	9442.59	55.19	31.99
ENSOCUG00000000059	ENSOCUT00000000057	3165.00	3037.59	373.54	7.01	4.06
ENSOCUG00000000060	ENSOCUT00000000059	3536.00	3408.59	1734.00	28.99	16.80
ENSOCUG00000000061	ENSOCUT00000000061	2153.00	2025.59	15.00	0.42	0.24
ENSOCUG00000000063	ENSOCUT00000000063	1143.00	1015.59	120.00	6.74	3.91
ENSOCUG00000000064	ENSOCUT00000000064	1102.00	974.59	770.41	45.11	26.14
ENSOCUG00000000065	ENSOCUT00000000065	768.00	640.60	0.00	0.00	0.00
ENSOCUG00000000066	ENSOCUT00000000066	1608.00	1480.59	23.00	0.89	0.51
ENSOCUG00000000068	ENSOCUT00000029308	5321.00	5193.59	42.00	0.46	0.27
ENSOCUG00000000069	ENSOCUT00000000070	4485.00	4357.59	3640.51	47.60	27.59
ENSOCUG00000000070	ENSOCUT00000000068	1089.00	961.59	0.00	0.00	0.00
ENSOCUG00000000071	ENSOCUT00000000071	7239.00	7111.59	190.97	1.53	0.89
ENSOCUG00000000072	ENSOCUT00000000072	1876.00	1748.59	1.00	0.03	0.02
ENSOCUG00000000073	ENSOCUT00000000073,ENSOCUT00000033809	2243.60	2116.18	2749.01	74.05	42.92
ENSOCUG00000000074	ENSOCUT00000000074	771.00	643.60	129.01	11.45	6.64
ENSOCUG00000000075	ENSOCUT00000022040	1011.00	883.59	793.73	51.27	29.71
ENSOCUG00000000076	ENSOCUT00000000076	6306.00	6178.59	2680.99	24.72	14.33
ENSOCUG00000000077	ENSOCUT00000000077	1164.00	1036.59	678.63	37.35	21.65
ENSOCUG00000000078	ENSOCUT00000000080	1574.00	1446.59	486.51	19.18	11.12
ENSOCUG00000000079	ENSOCUT00000000078	802.00	674.59	0.00	0.00	0.00
ENSOCUG00000000080	ENSOCUT00000000079	1388.00	1260.59	115.25	5.21	3.02
ENSOCUG00000000081	ENSOCUT00000000085	7232.00	7104.59	7584.15	60.81	35.24
ENSOCUG00000000083	ENSOCUT00000000082	1440.00	1312.59	7.00	0.30	0.18
ENSOCUG00000000085	ENSOCUT00000000084	1063.00	935.59	143.00	8.72	5.06
ENSOCUG00000000086	ENSOCUT00000024547	2213.00	2085.59	490.74	13.41	7.77
ENSOCUG00000000087	ENSOCUT00000000087	726.00	598.62	1.00	0.10	0.06
ENSOCUG00000000089	ENSOCUT00000000089	495.00	368.30	4.00	0.62	0.36
ENSOCUG00000000090	ENSOCUT00000000090	6961.00	6833.59	682.22	5.69	3.30
ENSOCUG00000000091	ENSOCUT00000000091	2155.00	2027.59	52.00	1.46	0.85
ENSOCUG00000000092	ENSOCUT00000000092	6173.00	6045.59	14378.69	135.50	78.53
ENSOCUG00000000093	ENSOCUT00000000093	2274.00	2146.59	71.00	1.89	1.09
ENSOCUG00000000094	ENSOCUT00000000094	2180.00	2052.59	222.84	6.19	3.59
ENSOCUG00000000095	ENSOCUT00000000095	1839.00	1711.59	494.00	16.46	9.54
ENSOCUG00000000096	ENSOCUT00000000096	783.00	655.60	0.00	0.00	0.00
ENSOCUG00000000097	ENSOCUT00000000098	7409.00	7281.59	905.98	7.09	4.11
ENSOCUG00000000098	ENSOCUT00000000097	1971.00	1843.59	283.44	8.77	5.08
ENSOCUG00000000100	ENSOCUT00000000101	2017.00	1889.59	540.00	16.29	9.44
ENSOCUG00000000101	ENSOCUT00000000100	1449.00	1321.59	623.97	26.93	15.61
ENSOCUG00000000102	ENSOCUT00000023409	4599.00	4471.59	180.35	2.30	1.33
ENSOCUG00000000103	ENSOCUT00000030195	2441.00	2313.59	11.00	0.27	0.16
ENSOCUG00000000104	ENSOCUT00000000104	4012.00	3884.59	258.00	3.78	2.19
ENSOCUG00000000105	ENSOCUT00000000105	5507.00	5379.59	850.00	9.00	5.22
ENSOCUG00000000107	ENSOCUT00000000108	6143.00	6015.59	132.27	1.25	0.73
ENSOCUG00000000108	ENSOCUT00000000107	603.00	475.79	119.00	14.30	8.29
ENSOCUG00000000109	ENSOCUT00000000111	6635.00	6507.59	468.38	4.10	2.38
ENSOCUG00000000111	ENSOCUT00000000114	8511.00	8383.59	117.00	0.80	0.46
ENSOCUG00000000114	ENSOCUT00000000113	1656.00	1528.59	20.00	0.75	0.43
ENSOCUG00000000116	ENSOCUT00000000116	990.00	862.59	1076.24	71.21	41.27
ENSOCUG00000000117	ENSOCUT00000000117	1059.00	931.59	3.00	0.18	0.11
ENSOCUG00000000119	ENSOCUT00000000119	1023.00	895.59	0.00	0.00	0.00
ENSOCUG00000000120	ENSOCUT00000031135	2231.00	2103.59	15.00	0.41	0.24
ENSOCUG00000000121	ENSOCUT00000000121	2243.00	2115.59	22.00	0.59	0.34
ENSOCUG00000000122	ENSOCUT00000000120	5441.00	5313.59	549.62	5.89	3.42
ENSOCUG00000000123	ENSOCUT00000000123	1262.00	1134.59	675.00	33.94	19.67
ENSOCUG00000000125	ENSOCUT00000000124	840.00	712.59	250.00	20.03	11.61
ENSOCUG00000000127	ENSOCUT00000000127	1827.00	1699.59	384.61	12.90	7.48
ENSOCUG00000000128	ENSOCUT00000000128	5618.00	5490.59	81.00	0.84	0.49
ENSOCUG00000000129	ENSOCUT00000000129	3393.00	3265.59	325.46	5.68	3.29
ENSOCUG00000000131	ENSOCUT00000000131	3433.00	3305.59	214.00	3.69	2.14
ENSOCUG00000000133	ENSOCUT00000000134	3401.00	3273.59	61.00	1.06	0.62
ENSOCUG00000000134	ENSOCUT00000031691	2281.00	2153.59	24.00	0.64	0.37
ENSOCUG00000000136	ENSOCUT00000000136	4636.00	4508.59	0.00	0.00	0.00
ENSOCUG00000000137	ENSOCUT00000000137	6269.00	6141.59	2560.74	23.75	13.77
ENSOCUG00000000140	ENSOCUT00000000140	3222.00	3094.59	1081.03	19.91	11.54
ENSOCUG00000000141	ENSOCUT00000000141	1959.00	1831.59	57.00	1.77	1.03
ENSOCUG00000000142	ENSOCUT00000000145	7958.00	7830.59	11.00	0.08	0.05
ENSOCUG00000000143	ENSOCUT00000000142	456.00	329.71	2.77	0.48	0.28
ENSOCUG00000000144	ENSOCUT00000000143	1853.00	1725.59	2.00	0.07	0.04
ENSOCUG00000000145	ENSOCUT00000000144	1401.00	1273.59	169.00	7.57	4.39
ENSOCUG00000000146	ENSOCUT00000000148,ENSOCUT00000033292	7071.14	6943.73	2325.00	19.07	11.05
ENSOCUG00000000147	ENSOCUT00000000146	684.00	556.65	0.00	0.00	0.00
ENSOCUG00000000148	ENSOCUT00000000147	724.00	596.62	27.00	2.59	1.50
ENSOCUG00000000149	ENSOCUT00000000149	1743.00	1615.59	415.07	14.65	8.49
ENSOCUG00000000151	ENSOCUT00000000150	872.00	744.59	2.00	0.15	0.09
ENSOCUG00000000152	ENSOCUT00000000152	2655.00	2527.59	649.49	14.65	8.49
ENSOCUG00000000153	ENSOCUT00000000153	1095.00	967.59	461.29	27.21	15.77
ENSOCUG00000000154	ENSOCUT00000000154	441.00	314.91	0.00	0.00	0.00
ENSOCUG00000000155	ENSOCUT00000000155	2544.00	2416.59	372.90	8.80	5.10
ENSOCUG00000000156	ENSOCUT00000000157	2751.00	2623.59	864.01	18.77	10.88
ENSOCUG00000000157	ENSOCUT00000000156	1471.00	1343.59	716.99	30.44	17.64
ENSOCUG00000000158	ENSOCUT00000000158	2706.00	2578.59	1223.32	27.04	15.67
ENSOCUG00000000159	ENSOCUT00000000159	1425.00	1297.59	503.03	22.11	12.81
ENSOCUG00000000161	ENSOCUT00000000162,ENSOCUT00000021490	1457.61	1330.19	56.00	2.40	1.39
ENSOCUG00000000162	ENSOCUT00000000161	579.00	451.86	7.00	0.89	0.51
ENSOCUG00000000163	ENSOCUT00000000164	5682.00	5554.59	927.97	9.52	5.52
ENSOCUG00000000164	ENSOCUT00000000163	1185.00	1057.59	1213.14	65.45	37.93
ENSOCUG00000000165	ENSOCUT00000000165	1027.00	899.59	7.00	0.44	0.26
ENSOCUG00000000166	ENSOCUT00000000166	3863.00	3735.59	367.94	5.61	3.25
ENSOCUG00000000167	ENSOCUT00000000167	4942.00	4814.59	3073.00	36.37	21.08
ENSOCUG00000000169	ENSOCUT00000000169,ENSOCUT00000022050	807.00	679.59	0.00	0.00	0.00
ENSOCUG00000000170	ENSOCUT00000000171	8424.00	8296.59	1407.72	9.67	5.60
ENSOCUG00000000171	ENSOCUT00000000170	384.00	259.12	4.00	0.88	0.51
ENSOCUG00000000172	ENSOCUT00000000172	6134.00	6006.59	132.00	1.25	0.73
ENSOCUG00000000173	ENSOCUT00000000174	6826.00	6698.59	611.00	5.20	3.01
ENSOCUG00000000174	ENSOCUT00000000175,ENSOCUT00000033794	2855.04	2727.63	216.00	4.51	2.62
ENSOCUG00000000175	ENSOCUT00000000173	918.00	790.59	0.00	0.00	0.00
ENSOCUG00000000176	ENSOCUT00000000176,ENSOCUT00000022123	1533.00	1405.59	0.00	0.00	0.00
ENSOCUG00000000178	ENSOCUT00000000178	2194.00	2066.59	4.00	0.11	0.06
ENSOCUG00000000179	ENSOCUT00000000179,ENSOCUT00000034091	500.87	374.81	6004.97	916.39	531.08
ENSOCUG00000000181	ENSOCUT00000000181	1296.00	1168.59	2.00	0.10	0.06
ENSOCUG00000000182	ENSOCUT00000000182	441.00	314.91	0.00	0.00	0.00
ENSOCUG00000000184	ENSOCUT00000000184	6495.00	6367.59	89.00	0.80	0.46
ENSOCUG00000000185	ENSOCUT00000000185	4827.00	4699.59	4989.01	60.49	35.05
ENSOCUG00000000186	ENSOCUT00000000186	3174.00	3046.59	407.00	7.61	4.41
ENSOCUG00000000187	ENSOCUT00000000187	1680.00	1552.59	211.00	7.75	4.49
ENSOCUG00000000188	ENSOCUT00000000190	5976.00	5848.59	1321.00	12.87	7.46
ENSOCUG00000000191	ENSOCUT00000000191	3050.00	2922.59	14.00	0.27	0.16
ENSOCUG00000000193	ENSOCUT00000000195	2958.00	2830.59	175.00	3.52	2.04
ENSOCUG00000000194	ENSOCUT00000000193	1536.00	1408.59	16.00	0.65	0.38
ENSOCUG00000000195	ENSOCUT00000000194	270.00	151.67	201.00	76.17	44.14
ENSOCUG00000000197	ENSOCUT00000000198	2736.00	2608.59	905.00	19.77	11.46
ENSOCUG00000000199	ENSOCUT00000000199	2925.00	2797.59	5.00	0.10	0.06
ENSOCUG00000000200	ENSOCUT00000000201,ENSOCUT00000015103,ENSOCUT00000026623	2056.76	1929.35	1816.00	53.66	31.10
ENSOCUG00000000201	ENSOCUT00000000203,ENSOCUT00000028889	1602.00	1474.59	1.00	0.04	0.02
ENSOCUG00000000203	ENSOCUT00000000202	3236.00	3108.59	629.98	11.55	6.69
ENSOCUG00000000204	ENSOCUT00000000204	939.00	811.59	0.00	0.00	0.00
ENSOCUG00000000205	ENSOCUT00000000205	243.00	127.79	1.90	0.86	0.50
ENSOCUG00000000206	ENSOCUT00000000206	686.00	558.65	0.00	0.00	0.00
ENSOCUG00000000208	ENSOCUT00000000209	5699.00	5571.59	2.00	0.02	0.01
ENSOCUG00000000210	ENSOCUT00000000210	1971.00	1843.59	0.00	0.00	0.00
ENSOCUG00000000213	ENSOCUT00000032177	2770.00	2642.59	30.49	0.66	0.38
ENSOCUG00000000214	ENSOCUT00000031477	801.00	673.59	44.00	3.73	2.16
ENSOCUG00000000215	ENSOCUT00000000216	4210.00	4082.59	872.09	12.17	7.05
ENSOCUG00000000218	ENSOCUT00000000218	1117.00	989.59	223.00	12.86	7.45
ENSOCUG00000000219	ENSOCUT00000027507	813.00	685.59	0.00	0.00	0.00
ENSOCUG00000000220	ENSOCUT00000025713	4691.00	4563.59	2455.77	30.66	17.77
ENSOCUG00000000221	ENSOCUT00000000220	231.00	117.48	0.00	0.00	0.00
ENSOCUG00000000222	ENSOCUT00000000223	3846.00	3718.59	2687.14	41.18	23.86
