target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1208.77	109	4.63717
ENSAMXT00000000013.1	2742	2563.77	102.01	2.04613
ENSAMXT00000000002.1	698	519.944	20.8183	2.05902
ENSAMXT00000000003.1	2951	2772.77	31	0.574934
ENSAMXT00000000004.1	4909	4730.77	179.409	1.95021
ENSAMXT00000000005.1	2699	2520.77	7	0.142802
ENSAMXT00000000009.1	4468	4289.77	39.2379	0.470372
ENSAMXT00000000017.1	3702	3523.77	2220.11	32.3995
ENSAMXT00000000006.1	1382	1203.77	139.959	5.97898
ENSAMXT00000000021.1	1777	1598.77	356.569	11.4691
ENSAMXT00000000007.1	338	165.521	207	64.3113
ENSAMXT00000000014.1	3833	3654.77	889.815	12.5202
ENSAMXT00000000008.1	730	551.837	6.00534	0.559626
ENSAMXT00000000010.1	3144	2965.77	99.419	1.72386
ENSAMXT00000000012.1	1317	1138.77	42.809	1.93317
ENSAMXT00000000020.1	4361	4182.77	74.809	0.91973
ENSAMXT00000000032.1	6532	6353.77	1713.87	13.8713
ENSAMXT00000000011.1	487	309.739	28.3729	4.71063
ENSAMXT00000000019.1	4510	4331.77	567.855	6.74128
ENSAMXT00000000015.1	1354	1175.77	41.2177	1.80273
ENSAMXT00000000016.1	1460	1281.77	135.227	5.42531
ENSAMXT00000000018.1	1955	1776.77	12	0.347312
ENSAMXT00000000026.1	4946	4767.77	2361	25.4654
ENSAMXT00000000022.1	1361	1182.77	2387.94	103.823
ENSAMXT00000000029.1	1836	1657.77	85	2.63673
ENSAMXT00000000023.1	411	235.034	37	8.09546
ENSAMXT00000000024.1	6022	5843.77	1401.26	12.331
ENSAMXT00000000027.1	5983	5804.77	0	0
ENSAMXT00000000025.1	611	433.076	123.073	14.614
ENSAMXT00000000028.1	398	222.38	276	63.8241
ENSAMXT00000000031.1	1558	1379.77	64.2425	2.39434
ENSAMXT00000000030.1	587	409.076	7	0.879963
ENSAMXT00000000052.1	7118	6939.77	27.3217	0.202457
ENSAMXT00000000033.1	1117	938.771	1195.23	65.4733
ENSAMXT00000000034.1	1170	991.771	792	41.0662
ENSAMXT00000000036.1	2322	2143.77	131.636	3.15767
ENSAMXT00000000035.1	3873	3694.77	13	0.180937
ENSAMXT00000000041.1	3969	3790.77	2321	31.4861
ENSAMXT00000000039.1	1715	1536.77	256.44	8.58117
ENSAMXT00000000037.1	4153	3974.77	111	1.43609
ENSAMXT00000000043.1	1547	1368.77	173	6.49959
ENSAMXT00000000065.1	2244	2065.77	44	1.09532
ENSAMXT00000000038.1	2289	2110.77	1540	37.5189
ENSAMXT00000000040.1	2212	2033.77	2124.66	53.7228
ENSAMXT00000000042.1	1829	1650.77	406	12.6476
ENSAMXT00000000044.1	1955	1776.77	33.8039	0.978377
ENSAMXT00000000051.1	3826	3647.77	283.236	3.99293
ENSAMXT00000000045.1	2440	2261.77	53.4032	1.2142
ENSAMXT00000000046.1	1286	1107.77	375	17.4081
