target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1204.24	70	2.62053
ENSAMXT00000000013.1	2742	2559.24	228.763	4.02977
ENSAMXT00000000002.1	698	515.357	39.2486	3.43338
ENSAMXT00000000003.1	2951	2768.24	8.34943	0.135975
ENSAMXT00000000004.1	4909	4726.24	125.457	1.1967
ENSAMXT00000000005.1	2699	2516.24	123	2.20373
ENSAMXT00000000009.1	4468	4285.24	35.0443	0.368677
ENSAMXT00000000017.1	3702	3519.24	12.7044	0.162747
ENSAMXT00000000006.1	1382	1199.24	151.54	5.69674
ENSAMXT00000000021.1	1777	1594.24	96.3585	2.72484
ENSAMXT00000000007.1	338	160.663	258	72.3952
ENSAMXT00000000014.1	3833	3650.24	460.481	5.68715
ENSAMXT00000000008.1	730	547.357	40	3.29454
ENSAMXT00000000010.1	3144	2961.24	137.343	2.09092
ENSAMXT00000000012.1	1317	1134.24	21.2929	0.846321
ENSAMXT00000000020.1	4361	4178.24	68.4067	0.738092
ENSAMXT00000000032.1	6532	6349.24	278.442	1.97705
ENSAMXT00000000011.1	487	305.21	173.112	25.5701
ENSAMXT00000000019.1	4510	4327.24	568.877	5.92669
ENSAMXT00000000015.1	1354	1171.24	60.5073	2.32899
ENSAMXT00000000016.1	1460	1277.24	36.1465	1.27585
ENSAMXT00000000018.1	1955	1772.24	76	1.93329
ENSAMXT00000000026.1	4946	4763.24	372	3.52083
ENSAMXT00000000022.1	1361	1178.24	198.111	7.5802
ENSAMXT00000000029.1	1836	1653.24	113	3.0814
ENSAMXT00000000023.1	411	230.412	5	0.978297
ENSAMXT00000000024.1	6022	5839.24	538.007	4.15371
ENSAMXT00000000027.1	5983	5800.24	0	0
ENSAMXT00000000025.1	611	428.591	94.6375	9.95463
ENSAMXT00000000028.1	398	217.726	12	2.48471
ENSAMXT00000000031.1	1558	1375.24	1109.82	36.3813
ENSAMXT00000000030.1	587	404.591	169	18.8311
ENSAMXT00000000052.1	7118	6935.24	232.978	1.51446
ENSAMXT00000000033.1	1117	934.24	1602	77.3052
ENSAMXT00000000034.1	1170	987.24	127	5.79944
ENSAMXT00000000036.1	2322	2139.24	947.155	19.9603
ENSAMXT00000000035.1	3873	3690.24	16	0.195466
ENSAMXT00000000041.1	3969	3786.24	895	10.6566
ENSAMXT00000000039.1	1715	1532.24	35.0415	1.031
ENSAMXT00000000037.1	4153	3970.24	1091	12.3883
ENSAMXT00000000043.1	1547	1364.24	31	1.02441
