gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1226.92	28.00	1.25	0.76
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1725.92	150.02	4.76	2.90
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5710.92	1329.08	12.75	7.77
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1530.92	1405.50	50.33	30.67
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3142.92	853.99	14.89	9.07
ENSOCUG00000000007	ENSOCUT00000000006	474.00	358.58	102.00	15.65	9.54
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1650.92	17133.68	568.93	346.65
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	673.70	557.69	749.99	73.89	45.02
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2292.92	483.00	11.54	7.03
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1311.92	400.11	16.72	10.19
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1480.92	1395.31	51.66	31.48
ENSOCUG00000000014	ENSOCUT00000011806	758.00	641.94	21789.06	1864.13	1135.83
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3194.92	1695.18	29.07	17.71
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1569.92	1530.43	53.44	32.56
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6421.92	22403.61	191.05	116.41
ENSOCUG00000000018	ENSOCUT00000000017	558.00	442.17	253.00	31.46	19.17
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5898.92	1530.00	14.20	8.66
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3922.92	2623.62	36.63	22.32
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1450.92	1957.08	73.96	45.06
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2031.92	248.74	6.71	4.09
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2316.92	445.00	10.52	6.41
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	7009.92	1256.08	9.81	5.98
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1641.92	589.00	19.67	11.98
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1950.74	1834.66	400.98	11.98	7.30
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	1826.89	1710.81	222.90	7.14	4.35
ENSOCUG00000000031	ENSOCUT00000000031	969.00	852.92	1029.00	66.21	40.34
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5246.92	94.72	0.99	0.60
ENSOCUG00000000034	ENSOCUT00000000034	4250.00	4133.92	813.00	10.77	6.56
ENSOCUG00000000036	ENSOCUT00000000036	1008.00	891.92	0.00	0.00	0.00
ENSOCUG00000000038	ENSOCUT00000000038	2284.00	2167.92	410.00	10.36	6.32
ENSOCUG00000000040	ENSOCUT00000000040	687.00	570.97	515.00	49.55	30.19
ENSOCUG00000000041	ENSOCUT00000000041	1702.00	1585.92	7.00	0.24	0.15
ENSOCUG00000000044	ENSOCUT00000000044	939.00	822.92	1225.00	81.70	49.78
ENSOCUG00000000045	ENSOCUT00000000045	2817.00	2700.92	3.69	0.07	0.05
ENSOCUG00000000046	ENSOCUT00000000046	792.00	675.93	0.00	0.00	0.00
ENSOCUG00000000049	ENSOCUT00000027874	4492.00	4375.92	11.00	0.14	0.08
ENSOCUG00000000051	ENSOCUT00000031590	9051.00	8934.92	1164.95	7.14	4.35
ENSOCUG00000000052	ENSOCUT00000000051	915.00	798.92	3.41	0.23	0.14
ENSOCUG00000000054	ENSOCUT00000000053	681.00	564.98	0.00	0.00	0.00
ENSOCUG00000000055	ENSOCUT00000000055	1293.00	1176.92	8460.60	394.28	240.24
ENSOCUG00000000057	ENSOCUT00000000062	9873.00	9756.92	19613.65	110.07	67.07
ENSOCUG00000000059	ENSOCUT00000000057	3165.00	3048.92	802.69	14.42	8.79
ENSOCUG00000000060	ENSOCUT00000000059	3536.00	3419.92	23603.45	378.09	230.37
ENSOCUG00000000061	ENSOCUT00000000061	2153.00	2036.92	138.98	3.74	2.28
ENSOCUG00000000063	ENSOCUT00000000063	1143.00	1026.92	113.00	6.04	3.68
ENSOCUG00000000064	ENSOCUT00000000064	1102.00	985.92	3854.29	214.48	130.69
ENSOCUG00000000065	ENSOCUT00000000065	768.00	651.93	1.28	0.11	0.07
ENSOCUG00000000066	ENSOCUT00000000066	1608.00	1491.92	194.80	7.16	4.36
ENSOCUG00000000068	ENSOCUT00000029308	5321.00	5204.92	892.00	9.39	5.72
ENSOCUG00000000069	ENSOCUT00000000070	4485.00	4368.92	1315.00	16.49	10.05
ENSOCUG00000000070	ENSOCUT00000000068	1089.00	972.92	34.73	1.96	1.19
ENSOCUG00000000071	ENSOCUT00000000071	7239.00	7122.92	525.58	4.04	2.46
ENSOCUG00000000072	ENSOCUT00000000072	1876.00	1759.92	2.00	0.06	0.04
ENSOCUG00000000073	ENSOCUT00000000073,ENSOCUT00000033809	2101.83	1985.75	5110.10	141.04	85.94
ENSOCUG00000000074	ENSOCUT00000000074	771.00	654.93	3018.52	253.11	154.22
ENSOCUG00000000075	ENSOCUT00000022040	1011.00	894.92	3459.84	212.15	129.27
ENSOCUG00000000076	ENSOCUT00000000076	6306.00	6189.92	503.91	4.46	2.72
ENSOCUG00000000077	ENSOCUT00000000077	1164.00	1047.92	30.00	1.57	0.96
ENSOCUG00000000078	ENSOCUT00000000080	1574.00	1457.92	659.99	24.82	15.12
ENSOCUG00000000079	ENSOCUT00000000078	802.00	685.93	3.00	0.24	0.15
ENSOCUG00000000080	ENSOCUT00000000079	1388.00	1271.92	382.00	16.47	10.04
ENSOCUG00000000081	ENSOCUT00000000085	7232.00	7115.92	13624.81	104.85	63.89
ENSOCUG00000000083	ENSOCUT00000000082	1440.00	1323.92	7.00	0.29	0.18
ENSOCUG00000000085	ENSOCUT00000000084	1063.00	946.92	236.00	13.67	8.33
ENSOCUG00000000086	ENSOCUT00000024547	2213.00	2096.92	649.00	16.96	10.34
ENSOCUG00000000087	ENSOCUT00000000087	726.00	609.95	69.00	6.21	3.79
ENSOCUG00000000089	ENSOCUT00000000089	495.00	379.44	0.00	0.00	0.00
ENSOCUG00000000090	ENSOCUT00000000090	6961.00	6844.92	609.18	4.87	2.97
ENSOCUG00000000091	ENSOCUT00000000091	2155.00	2038.92	67.00	1.80	1.10
ENSOCUG00000000092	ENSOCUT00000000092	6173.00	6056.92	1552.88	14.04	8.56
ENSOCUG00000000093	ENSOCUT00000000093	2274.00	2157.92	367.05	9.32	5.68
