target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.0233	1.30484	6.51229
ENSELUT00000043746.1	57	26.0233	1.30484	6.51229
ENSELUT00000037603.1	57	26.0233	0	0
ENSELUT00000037622.1	60	27.5815	7	32.9622
ENSELUT00000043756.1	60	27.5815	7	32.9622
ENSELUT00000036957.1	291	139.215	439.547	410.068
ENSELUT00000043605.1	309	154.923	29.6673	24.8713
ENSELUT00000013117.1	339	181.968	121.218	86.5182
ENSELUT00000013112.1	252	106.31	3.72433	4.54998
ENSELUT00000036937.1	291	139.215	69.7486	65.0707
ENSELUT00000036941.1	273	123.823	14.2531	14.9502
ENSELUT00000036943.1	306	152.325	9.6273	8.20862
ENSELUT00000036966.1	306	152.325	73.1124	62.3386
ENSELUT00000036993.1	288	136.653	16.051	15.2553
ENSELUT00000037021.1	291	139.215	556.127	518.829
ENSELUT00000043560.1	333	176.503	0	0
ENSELUT00000037132.1	354	195.813	287.01	190.367
ENSELUT00000037138.1	333	176.503	27.1759	19.9972
ENSELUT00000043572.1	315	160.271	11	8.91401
ENSELUT00000037291.1	348	190.273	17.2492	11.7741
ENSELUT00000037323.1	333	176.503	6.76556	4.97839
ENSELUT00000037354.1	348	190.273	0	0
ENSELUT00000043648.1	309	154.923	107.633	90.2328
ENSELUT00000037369.1	333	176.503	1.21671	0.895307
ENSELUT00000037383.1	330	173.799	182.417	136.318
ENSELUT00000037448.1	333	176.503	2.44045	1.79579
ENSELUT00000043712.1	318	163.002	33	26.294
ENSELUT00000037530.1	333	176.503	1.42887	1.05142
ENSELUT00000037640.1	303	149.707	0	0
ENSELUT00000000007.1	975	810.884	10683	1711.08
ENSELUT00000000011.1	1050	885.861	13291	1948.63
ENSELUT00000000017.1	1551	1386.86	144039	13489.1
ENSELUT00000000020.1	691	526.979	46488	11457.4
ENSELUT00000000022.1	168	45.5466	1581	4508.29
ENSELUT00000000023.1	682	517.986	11235	2817.03
ENSELUT00000000024.1	785	620.946	54793	11460.6
ENSELUT00000000026.1	349	191.22	1918	1302.72
ENSELUT00000000028.1	297	144.464	1798	1616.47
ENSELUT00000000029.1	1381	1216.86	12928	1379.83
ENSELUT00000000033.1	1839	1674.86	10689	828.886
ENSELUT00000000034.1	522	358.546	3381	1224.72
ENSELUT00000000036.1	1137	972.861	16221	2165.53
ENSELUT00000019592.1	708	543.971	0.288534	0.0688903
ENSELUT00000019593.1	4511	4346.86	0	0
ENSELUT00000019594.1	4531	4366.86	5.71147	0.169869
ENSELUT00000019595.1	4384	4219.86	0	0
ENSELUT00000019596.1	3561	3396.86	0	0
ENSELUT00000019574.1	1629	1464.86	71.6308	6.35097
ENSELUT00000019438.1	3662	3497.86	5	0.185654
ENSELUT00000019409.1	1280	1115.86	657.789	76.5619
ENSELUT00000019402.1	975	810.884	913.457	146.307
ENSELUT00000019395.1	1083	918.861	2314.45	327.14
ENSELUT00000019290.1	600	436.121	55.9029	16.6481
ENSELUT00000019243.1	429	267.097	32	15.5603
ENSELUT00000019228.1	2097	1932.86	19	1.2767
ENSELUT00000019086.1	4509	4344.86	0	0
ENSELUT00000019091.1	4367	4202.86	0	0
ENSELUT00000019093.1	4024	3859.86	0	0
ENSELUT00000018995.1	1461	1296.86	483.361	48.4077
ENSELUT00000019012.1	1755	1590.86	3581.74	292.414
ENSELUT00000018900.1	4974	4809.86	3054.21	82.4712
ENSELUT00000018903.1	1902	1737.86	4514.72	337.406
ENSELUT00000018901.1	6151	5986.86	1073	23.2775
ENSELUT00000018898.1	2022	1857.86	202.489	14.1555
ENSELUT00000018899.1	1921	1756.86	383.198	28.3284
ENSELUT00000018776.1	1584	1419.86	941.29	86.1022
ENSELUT00000018774.1	456	293.421	2.25385	0.997631
ENSELUT00000018782.1	453	290.476	15.3476	6.86226
ENSELUT00000018563.1	5430	5265.86	180.553	4.4532
ENSELUT00000018091.1	597	433.128	42.9138	12.8682
ENSELUT00000018094.1	3092	2927.86	676.541	30.0109
ENSELUT00000018069.1	6177	6012.86	31.5802	0.682134
ENSELUT00000018071.1	6060	5895.86	0	0
ENSELUT00000018075.1	5249	5084.86	10.4198	0.266144
ENSELUT00000018064.1	1683	1518.86	221.099	18.9062
ENSELUT00000018065.1	1885	1720.86	178.901	13.5022
ENSELUT00000018014.1	4172	4007.86	198.727	6.43993
ENSELUT00000018021.1	1858	1693.86	451.18	34.5946
ENSELUT00000018011.1	1421	1256.86	1029	106.332
ENSELUT00000018006.1	1809	1644.86	0	0
ENSELUT00000017993.1	453	290.476	1	0.447122
ENSELUT00000017644.1	726	561.971	3.09588	0.715495
ENSELUT00000017648.1	13089	12924.9	823.998	8.28012
ENSELUT00000017666.1	12885	12720.9	0.00232135	2.37007e-05
ENSELUT00000017633.1	747	582.963	0	0
ENSELUT00000017635.1	2969	2804.86	6	0.277828
ENSELUT00000017647.1	1239	1074.86	0	0
ENSELUT00000017575.1	5191	5026.86	126.473	3.26767
ENSELUT00000017586.1	5104	4939.86	0	0
ENSELUT00000017606.1	3867	3702.86	15.8001	0.55419
ENSELUT00000017622.1	3204	3039.86	151.727	6.48253
ENSELUT00000017589.1	921	756.907	7084.57	1215.65
ENSELUT00000017594.1	1521	1356.86	26772.4	2562.65
ENSELUT00000017526.1	1029	864.861	59.6691	8.96065
ENSELUT00000017539.1	1179	1014.86	482	61.6846
ENSELUT00000017528.1	1204	1039.86	336	41.9663
ENSELUT00000017533.1	5835	5670.86	0	0
ENSELUT00000017550.1	5642	5477.86	853	20.2243
ENSELUT00000017537.1	4887	4722.86	708.817	19.4924
ENSELUT00000017560.1	2163	1998.86	93.3218	6.06369
ENSELUT00000017568.1	1104	939.861	72.5349	10.0235
ENSELUT00000017522.1	2061	1896.86	90.8416	6.21993
ENSELUT00000017525.1	1995	1830.86	0	0
ENSELUT00000017542.1	1077	912.861	32.2826	4.59305
ENSELUT00000017510.1	2709	2544.86	388.946	19.85
ENSELUT00000017499.1	360	201.408	487	314.042
ENSELUT00000017214.1	2777	2612.86	504	25.0525
ENSELUT00000017196.1	4279	4114.86	1667.15	52.6206
ENSELUT00000017127.1	672	508.015	1	0.255658
ENSELUT00000017157.1	1647	1482.86	0	0
ENSELUT00000017187.1	1684	1519.86	0	0
ENSELUT00000017115.1	2515	2350.86	17.646	0.974892
ENSELUT00000017128.1	2101	1936.86	12.5754	0.843257
ENSELUT00000017136.1	1566	1401.86	20.5352	1.90253
ENSELUT00000017148.1	1593	1428.86	36.2434	3.29439
ENSELUT00000017149.1	2340	2175.86	173	10.3265
ENSELUT00000017163.1	2352	2187.86	0	0
ENSELUT00000017100.1	1183	1018.86	0	0
ENSELUT00000017110.1	875	710.907	0	0
ENSELUT00000017126.1	1143	978.861	1	0.132683
ENSELUT00000017095.1	1419	1254.86	0	0
ENSELUT00000017098.1	1371	1206.86	0	0
ENSELUT00000017105.1	594	430.134	1.00026	0.302027
ENSELUT00000017077.1	498	334.728	0	0
ENSELUT00000017082.1	510	346.631	2	0.749374
ENSELUT00000017046.1	2285	2120.86	267	16.3507
ENSELUT00000017050.1	1441	1276.86	42.8518	4.35875
ENSELUT00000017063.1	933	768.907	0	0
ENSELUT00000016986.1	5591	5426.86	7.03462	0.168356
ENSELUT00000016983.1	3786	3621.86	885	31.7357
ENSELUT00000016990.1	1005	840.861	103.865	16.0428
ENSELUT00000017005.1	645	481.044	67.4851	18.2205
ENSELUT00000016961.1	3872	3707.86	4901	171.671
ENSELUT00000016865.1	588	424.164	0	0
ENSELUT00000016832.1	3944	3779.86	10.7296	0.368677
ENSELUT00000016860.1	4273	4108.86	127.214	4.02114
ENSELUT00000016886.1	4255	4090.86	2.22829e-07	7.07446e-09
ENSELUT00000016914.1	3662	3497.86	0	0
ENSELUT00000016938.1	3825	3660.86	3.75657	0.133274
ENSELUT00000016966.1	3351	3186.86	15.8886	0.647526
ENSELUT00000016971.1	3396	3231.86	7.41154	0.297846
ENSELUT00000016813.1	885	720.907	0	0
ENSELUT00000016523.1	6478	6313.86	0	0
ENSELUT00000016533.1	4168	4003.86	365	11.84
ENSELUT00000016509.1	303	149.707	327.807	284.389
ENSELUT00000016495.1	1603	1438.86	9.8176	0.886182
ENSELUT00000016507.1	1203	1038.86	26.1824	3.27332
ENSELUT00000016496.1	3151	2986.86	0	0
ENSELUT00000016512.1	3694	3529.86	0	0
ENSELUT00000016519.1	2973	2808.86	0	0
ENSELUT00000016448.1	3023	2858.86	94.4751	4.29201
ENSELUT00000016459.1	309	154.923	5.88035	4.92974
ENSELUT00000016441.1	1167	1002.86	16.9667	2.19732
ENSELUT00000016474.1	1590	1425.86	0	0
ENSELUT00000016478.1	1332	1167.86	35.0333	3.89607
ENSELUT00000016384.1	9928	9763.86	12	0.159623
ENSELUT00000016238.1	2963	2798.86	44	2.04177
ENSELUT00000016314.1	3167	3002.86	0	0
ENSELUT00000016236.1	3516	3351.86	3	0.116244
ENSELUT00000016251.1	849	684.927	0	0
ENSELUT00000016225.1	1287	1122.86	14.5207	1.67957
ENSELUT00000016234.1	1287	1122.86	7.26037	0.839787
ENSELUT00000016209.1	915	750.907	0	0
ENSELUT00000016200.1	366	207.01	1.27676	0.801038
ENSELUT00000016199.1	756	591.963	7	1.53582
ENSELUT00000016128.1	1611	1446.86	0	0
ENSELUT00000016138.1	1497	1332.86	1	0.0974432
ENSELUT00000016143.1	1617	1452.86	0	0
ENSELUT00000016071.1	327	171.13	0	0
ENSELUT00000016061.1	9916	9751.86	266	3.54267
ENSELUT00000015773.1	1248	1083.86	42.565	5.10054
ENSELUT00000015744.1	1405	1240.86	0	0
ENSELUT00000015721.1	7508	7343.86	233.141	4.12317
ENSELUT00000015732.1	5204	5039.86	0	0
ENSELUT00000015736.1	5487	5322.86	7.39835	0.18052
ENSELUT00000015761.1	4509	4344.86	100.46	3.003
ENSELUT00000015402.1	642	478.044	3	0.815061
ENSELUT00000015413.1	564	400.3	0	0
ENSELUT00000015404.1	4336	4171.86	560.844	17.4602
ENSELUT00000014436.1	5175	5010.86	0	0
ENSELUT00000014454.1	4813	4648.86	362.803	10.1359
ENSELUT00000014483.1	1743	1578.86	87.1967	7.17286
ENSELUT00000014450.1	1767	1602.86	263	21.3106
ENSELUT00000014476.1	1593	1428.86	0	0
ENSELUT00000014054.1	4336	4171.86	19	0.591507
ENSELUT00000014050.1	2208	2043.86	238	15.1238
ENSELUT00000013933.1	1575	1410.86	77	7.08831
ENSELUT00000013939.1	2209	2044.86	230	14.6083
ENSELUT00000013961.1	2665	2500.86	0	0
ENSELUT00000013981.1	2625	2460.86	0	0
ENSELUT00000014023.1	2229	2064.86	1.31666e-05	8.28167e-07
ENSELUT00000014042.1	2879	2714.86	0	0
ENSELUT00000014070.1	2079	1914.86	0	0
ENSELUT00000013864.1	600	436.121	0	0
ENSELUT00000013376.1	1590	1425.86	14	1.27523
ENSELUT00000013348.1	534	370.441	2	0.701208
ENSELUT00000013346.1	3518	3353.86	5.83571	0.225988
ENSELUT00000013361.1	3215	3050.86	17.8041	0.757938
ENSELUT00000013372.1	3083	2918.86	133.36	5.93402
ENSELUT00000013343.1	852	687.927	4	0.755186
ENSELUT00000013129.1	3993	3828.86	4.08275	0.13849
ENSELUT00000013224.1	4004	3839.86	0.146455	0.00495365
ENSELUT00000013269.1	2721	2556.86	1.7708	0.0899493
ENSELUT00000013020.1	1137	972.861	76.0788	10.1566
ENSELUT00000013035.1	1352	1187.86	314.921	34.4328
ENSELUT00000013005.1	714	549.971	28.4663	6.72244
ENSELUT00000013004.1	3795	3630.86	1484.11	53.0875
ENSELUT00000012968.1	3280	3115.86	49	2.04246
ENSELUT00000012553.1	6672	6507.86	1650.04	32.9301
ENSELUT00000012615.1	6543	6378.86	137.544	2.80049
ENSELUT00000012666.1	6543	6378.86	264.777	5.39106
ENSELUT00000012741.1	3348	3183.86	283.637	11.5703
ENSELUT00000012575.1	1974	1809.86	0	0
ENSELUT00000012590.1	7340	7175.86	106	1.91853
ENSELUT00000012407.1	6191	6026.86	1561.47	33.6495
ENSELUT00000012508.1	6295	6130.86	3.75311e-06	7.95072e-08
ENSELUT00000012558.1	6185	6020.86	0	0
ENSELUT00000012642.1	2382	2217.86	25.0905	1.4693
ENSELUT00000012366.1	660	496.03	32	8.37874
ENSELUT00000012382.1	2621	2456.86	714	37.7445
ENSELUT00000012344.1	342	184.748	2	1.40601
ENSELUT00000012325.1	5241	5076.86	34.7123	0.888024
ENSELUT00000012274.1	1233	1068.86	673	81.7768
ENSELUT00000012328.1	945	780.896	29.6579	4.93268
ENSELUT00000012336.1	876	711.907	85.0488	15.5161
ENSELUT00000012249.1	2887	2722.86	34.2892	1.63557
ENSELUT00000012245.1	3933	3768.86	111	3.82516
ENSELUT00000012207.1	936	771.907	3	0.504769
ENSELUT00000012204.1	1776	1611.86	12.1718	0.980759
ENSELUT00000012235.1	1652	1487.86	221.828	19.3638
ENSELUT00000012181.1	3745	3580.86	376.511	13.6561
ENSELUT00000012193.1	3298	3133.86	50.4889	2.09244
ENSELUT00000012219.1	3297	3132.86	185	7.6695
ENSELUT00000012145.1	729	564.971	0	0
ENSELUT00000012151.1	987	822.861	0	0
ENSELUT00000012176.1	3088	2923.86	175	7.77352
ENSELUT00000012120.1	357	198.606	0	0
ENSELUT00000012132.1	4222	4057.86	12.5611	0.402037
ENSELUT00000012146.1	4736	4571.86	0	0
ENSELUT00000012162.1	4273	4108.86	11.7884	0.372623
ENSELUT00000012121.1	6197	6032.86	1224	26.3508
ENSELUT00000012103.1	2925	2760.86	148.345	6.97856
ENSELUT00000012127.1	3314	3149.86	137.655	5.67591
ENSELUT00000012074.1	4577	4412.86	1646.99	48.4738
ENSELUT00000012088.1	5746	5581.86	0.000535097	1.24506e-05
ENSELUT00000012139.1	5689	5524.86	54.8516	1.28945
ENSELUT00000012189.1	5403	5238.86	48.1478	1.19365
ENSELUT00000012048.1	786	621.946	5	1.04413
ENSELUT00000012066.1	3367	3202.86	1683	68.2468
ENSELUT00000012040.1	4813	4648.86	2460.59	68.7431
ENSELUT00000012221.1	1449	1284.86	1938	195.9
ENSELUT00000012053.1	2415	2250.86	336	19.3877
ENSELUT00000011978.1	321	165.72	0	0
ENSELUT00000011894.1	1857	1692.86	138.68	10.6397
ENSELUT00000011742.1	609	445.096	9.59624	2.80017
ENSELUT00000011786.1	4159	3994.86	528	17.166
ENSELUT00000011841.1	3525	3360.86	0	0
ENSELUT00000011677.1	633	469.05	0.5	0.138448
ENSELUT00000011663.1	633	469.05	0.5	0.138448
ENSELUT00000011660.1	4405	4240.86	88.9926	2.72544
ENSELUT00000011682.1	4455	4290.86	0.0455592	0.00137901
ENSELUT00000011754.1	4428	4263.86	68.9618	2.10059
ENSELUT00000011712.1	1356	1191.86	0	0
ENSELUT00000011743.1	1272	1107.86	0	0
ENSELUT00000011772.1	1278	1113.86	2	0.233204
ENSELUT00000011681.1	1092	927.861	376.636	52.72
ENSELUT00000011708.1	450	287.534	1165.22	526.327
ENSELUT00000011674.1	2048	1883.86	20.5957	1.41992
ENSELUT00000011697.1	1930	1765.86	54.3867	4.00012
ENSELUT00000011715.1	1780	1615.86	0	0
ENSELUT00000011684.1	5900	5735.86	748.269	16.9432
ENSELUT00000011726.1	2745	2580.86	391.315	19.6924
ENSELUT00000011602.1	2065	1900.86	661	45.1635
ENSELUT00000011581.1	1686	1521.86	0	0
ENSELUT00000011209.1	3242	3077.86	635.28	26.8073
ENSELUT00000011271.1	3682	3517.86	156.614	5.78214
ENSELUT00000011307.1	2649	2484.86	13.6177	0.711769
ENSELUT00000011336.1	2013	1848.86	21.4881	1.50949
ENSELUT00000011193.1	468	305.165	0	0
ENSELUT00000011188.1	4674	4509.86	121.55	3.5005
ENSELUT00000011213.1	4071	3906.86	23.4675	0.780144
ENSELUT00000011177.1	2644	2479.86	6176.6	323.488
ENSELUT00000011201.1	2386	2221.86	1362.4	79.6387
ENSELUT00000011180.1	8530	8365.86	375.402	5.82803
ENSELUT00000011065.1	2064	1899.86	12.0502	0.823774
ENSELUT00000011084.1	987	822.861	138	21.7816
ENSELUT00000011103.1	954	789.896	0	0
ENSELUT00000011028.1	1267	1102.86	126	14.8384
ENSELUT00000010980.1	965	800.896	14	2.27033
ENSELUT00000011014.1	1182	1017.86	15.669	1.99936
ENSELUT00000011026.1	1185	1020.86	7.81251	0.99394
ENSELUT00000010932.1	5646	5481.86	1056.92	25.0409
ENSELUT00000010976.1	5604	5439.86	2.77453e-08	6.62426e-10
ENSELUT00000011053.1	3174	3009.86	0	0
ENSELUT00000011070.1	3676	3511.86	207.404	7.67036
ENSELUT00000011140.1	3646	3481.86	59.6787	2.2261
ENSELUT00000011199.1	3161	2996.86	0	0
ENSELUT00000010823.1	5170	5005.86	18.2501	0.473504
ENSELUT00000010845.1	6003	5838.86	339.515	7.55209
ENSELUT00000010873.1	5188	5023.86	538.235	13.9146
ENSELUT00000010785.1	4893	4728.86	60	1.6479
ENSELUT00000010783.1	2073	1908.86	8	0.544317
ENSELUT00000010789.1	3583	3418.86	0	0
ENSELUT00000010838.1	2991	2826.86	2	0.0918886
ENSELUT00000010773.1	555	391.317	0	0
ENSELUT00000010582.1	6192	6027.86	0	0
ENSELUT00000010618.1	6061	5896.86	0	0
ENSELUT00000010654.1	5844	5679.86	170.626	3.90162
ENSELUT00000010586.1	831	666.937	0	0
ENSELUT00000010595.1	477	314.001	0	0
ENSELUT00000010461.1	3634	3469.86	113	4.22963
ENSELUT00000010474.1	3592	3427.86	0	0
ENSELUT00000010495.1	729	564.971	0	0
ENSELUT00000010457.1	10432	10267.9	3.88423e-07	4.91316e-09
ENSELUT00000010510.1	10219	10054.9	0	0
ENSELUT00000010606.1	10304	10139.9	0.810888	0.0103864
ENSELUT00000010696.1	10398	10233.9	3670.18	46.5783
ENSELUT00000010772.1	7167	7002.86	950.012	17.6194
ENSELUT00000010362.1	2564	2399.86	44	2.38124
ENSELUT00000010034.1	1328	1163.86	4	0.44637
ENSELUT00000010047.1	1227	1062.86	203	24.806
ENSELUT00000010112.1	4965	4800.86	40	1.08212
ENSELUT00000010162.1	3198	3033.86	0	0
ENSELUT00000010094.1	2683	2518.86	11	0.567185
ENSELUT00000010170.1	2250	2085.86	5.449e-07	3.39287e-08
ENSELUT00000010179.1	2954	2789.86	0	0
ENSELUT00000010230.1	2926	2761.86	0	0
ENSELUT00000009998.1	6506	6341.86	820.607	16.8056
ENSELUT00000010016.1	6395	6230.86	208.671	4.34961
ENSELUT00000009987.1	390	229.651	3	1.69663
ENSELUT00000009889.1	1479	1314.86	67	6.61807
ENSELUT00000009897.1	1413	1248.86	39.9436	4.15403
ENSELUT00000009908.1	2009	1844.86	164.056	11.5496
ENSELUT00000009874.1	1245	1080.86	7	0.841133
ENSELUT00000009747.1	237	94.3673	0	0
ENSELUT00000009740.1	3696	3531.86	0	0
ENSELUT00000009742.1	3939	3774.86	129.164	4.44401
ENSELUT00000009764.1	3850	3685.86	126.836	4.46932
ENSELUT00000009789.1	3531	3366.86	880.518	33.9664
ENSELUT00000009734.1	993	828.861	0	0
ENSELUT00000009778.1	4337	4172.86	1130	35.1707
ENSELUT00000009743.1	6704	6539.86	479.004	9.51278
ENSELUT00000009775.1	4226	4061.86	80.6228	2.57792
ENSELUT00000009800.1	4159	3994.86	0	0
ENSELUT00000009820.1	3204	3039.86	18.0116	0.769546
ENSELUT00000009783.1	2061	1896.86	886	60.6645
ENSELUT00000009818.1	9174	9009.86	215.556	3.10727
ENSELUT00000009695.1	1356	1191.86	1	0.108971
ENSELUT00000009719.1	555	391.317	0	0
ENSELUT00000009651.1	801	636.937	5	1.01955
ENSELUT00000009694.1	1002	837.861	0	0
ENSELUT00000009634.1	3523	3358.86	219	8.46815
ENSELUT00000009625.1	2650	2485.86	8.92148	0.466118
ENSELUT00000009642.1	2752	2587.86	0	0
ENSELUT00000009647.1	2056	1891.86	1.14422	0.0785518
ENSELUT00000009613.1	3207	3042.86	192	8.19512
ENSELUT00000009601.1	885	720.907	0	0
ENSELUT00000009573.1	912	747.907	0	0
ENSELUT00000009541.1	1659	1494.86	4	0.347533
ENSELUT00000009565.1	2290	2125.86	152	9.28635
ENSELUT00000009612.1	1365	1200.86	0	0
ENSELUT00000009630.1	4138	3973.86	128.815	4.21009
ENSELUT00000009644.1	3372	3207.86	38.1847	1.546
ENSELUT00000009576.1	3807	3642.86	40.9257	1.45912
ENSELUT00000009609.1	3684	3519.86	195.501	7.21371
ENSELUT00000009544.1	5199	5034.86	75.6097	1.95041
ENSELUT00000009631.1	1137	972.861	6.39032	0.853117
ENSELUT00000009589.1	1602	1437.86	14.4212	1.30263
ENSELUT00000009641.1	3474	3309.86	56.5788	2.22014
ENSELUT00000009516.1	1155	990.861	1.18125	0.154834
ENSELUT00000009502.1	372	212.676	0	0
ENSELUT00000009524.1	7890	7725.86	0	0
ENSELUT00000009542.1	7668	7503.86	305.785	5.29258
ENSELUT00000009584.1	1872	1707.86	7.40416	0.563066
ENSELUT00000009449.1	3610	3445.86	544	20.5039
ENSELUT00000009426.1	3537	3372.86	0	0
ENSELUT00000009438.1	3676	3511.86	507.507	18.769
ENSELUT00000009499.1	3486	3321.86	0	0
ENSELUT00000009538.1	1791	1626.86	46.8985	3.74408
ENSELUT00000009411.1	2559	2394.86	0	0
ENSELUT00000009424.1	2439	2274.86	31.9397	1.82353
ENSELUT00000009439.1	2568	2403.86	28.0603	1.51607
ENSELUT00000009467.1	1151	986.861	19521	2569.11
ENSELUT00000009357.1	5647	5482.86	310	7.34329
ENSELUT00000009374.1	1281	1116.86	0	0
ENSELUT00000009360.1	8772	8607.86	1596	24.081
ENSELUT00000009359.1	4171	4006.86	719.386	23.3182
ENSELUT00000009370.1	2715	2550.86	0	0
ENSELUT00000009390.1	1469	1304.86	0	0
ENSELUT00000009408.1	882	717.907	20.6135	3.72924
ENSELUT00000009176.1	899	734.907	110	19.44
ENSELUT00000009168.1	4874	4709.86	7.98207	0.220112
ENSELUT00000009180.1	4402	4237.86	273.293	8.37564
ENSELUT00000009213.1	945	780.896	26.725	4.44489
ENSELUT00000009162.1	7146	6981.86	722	13.4308
ENSELUT00000009192.1	4299	4134.86	301	9.45457
ENSELUT00000009155.1	5090	4925.86	0	0
ENSELUT00000009198.1	4961	4796.86	47	1.27256
ENSELUT00000009240.1	1158	993.861	0	0
ENSELUT00000009118.1	1567	1402.86	128	11.8504
ENSELUT00000009108.1	2192	2027.86	1	0.0640469
ENSELUT00000009117.1	1818	1653.86	119.526	9.3864
