target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7229.3	1329.75	22.0004
ENSONIT00000000002.1	2865	2567.3	211.695	9.86253
ENSONIT00000000003.1	1261	963.297	732.832	90.9909
ENSONIT00000000004.1	5342	5044.3	18	0.426802
ENSONIT00000000005.1	3889	3591.3	157.529	5.24643
ENSONIT00000000006.1	948	650.398	21.4709	3.94843
ENSONIT00000000007.1	3180	2882.3	156	6.47351
ENSONIT00000000008.1	487	207.686	2518	1450.11
ENSONIT00000000009.1	1438	1140.3	0	0
ENSONIT00000000010.1	837	539.941	0	0
ENSONIT00000000011.1	7684	7386.3	140	2.26702
ENSONIT00000000012.1	6448	6150.3	722.983	14.06
ENSONIT00000000013.1	1659	1361.3	0	0
ENSONIT00000000014.1	1419	1121.3	1018.17	108.606
ENSONIT00000000015.1	903	605.575	147.848	29.2012
ENSONIT00000000016.1	1940	1642.3	89.159	6.49333
ENSONIT00000000017.1	933	635.452	22.5018	4.23535
ENSONIT00000000018.1	3892	3594.3	428	14.2424
ENSONIT00000000019.1	1045	747.297	191.994	30.729
ENSONIT00000000020.1	2356	2058.3	0	0
ENSONIT00000000021.1	4333	4035.3	6	0.17784
ENSONIT00000000022.1	1581	1283.3	518.256	48.3027
ENSONIT00000000023.1	4614	4316.3	578	16.0166
ENSONIT00000000024.1	3198	2900.3	0	0
ENSONIT00000000025.1	4590	4292.3	125.744	3.5039
ENSONIT00000000026.1	681	386.734	624	192.986
ENSONIT00000000027.1	828	530.985	0	0
ENSONIT00000000028.1	1315	1017.3	0	0
ENSONIT00000000029.1	771	474.669	0	0
ENSONIT00000000030.1	705	410.039	0	0
ENSONIT00000000031.1	1431	1133.3	0	0
ENSONIT00000000032.1	732	436.328	0	0
ENSONIT00000000033.1	1746	1448.3	0	0
ENSONIT00000000034.1	489	209.395	6	3.4272
ENSONIT00000000035.1	4196	3898.3	1816	55.7179
ENSONIT00000000036.1	663	369.3	7.94915	2.57451
ENSONIT00000000037.1	1910	1612.3	0	0
ENSONIT00000000038.1	444	172.21	138	95.8461
ENSONIT00000000039.1	3574	3276.3	525	19.1659
ENSONIT00000000040.1	4793	4495.3	16	0.425712
ENSONIT00000000041.1	3381	3083.3	0	0
