target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1215.26	65	3.16134
ENSAMXT00000000013.1	2742	2570.26	68.3819	1.5725
ENSAMXT00000000002.1	698	526.463	20.8388	2.33954
ENSAMXT00000000003.1	2951	2779.26	21.9983	0.467829
ENSAMXT00000000004.1	4909	4737.26	178.201	2.22336
ENSAMXT00000000005.1	2699	2527.26	0	0
ENSAMXT00000000009.1	4468	4296.26	32	0.440236
ENSAMXT00000000017.1	3702	3530.26	162.228	2.7161
ENSAMXT00000000006.1	1382	1210.26	180.593	8.81959
ENSAMXT00000000021.1	1777	1605.26	2	0.0736396
ENSAMXT00000000007.1	338	169.817	30	10.4416
ENSAMXT00000000014.1	3833	3661.26	1394.88	22.5181
ENSAMXT00000000008.1	730	558.463	8.02752	0.849597
ENSAMXT00000000010.1	3144	2972.26	158	3.14193
ENSAMXT00000000012.1	1317	1145.26	9.48496	0.489506
ENSAMXT00000000020.1	4361	4189.26	91.1879	1.28655
ENSAMXT00000000032.1	6532	6360.26	287.586	2.67251
ENSAMXT00000000011.1	487	316.007	192.521	36.0088
ENSAMXT00000000019.1	4510	4338.26	439.613	5.98938
ENSAMXT00000000015.1	1354	1182.26	15.7287	0.786332
ENSAMXT00000000016.1	1460	1288.26	40.9428	1.87846
ENSAMXT00000000018.1	1955	1783.26	50	1.65723
ENSAMXT00000000026.1	4946	4774.26	480	5.9424
ENSAMXT00000000022.1	1361	1189.26	8	0.397594
ENSAMXT00000000029.1	1836	1664.26	138	4.901
ENSAMXT00000000023.1	411	240.613	47	11.5453
ENSAMXT00000000024.1	6022	5850.26	542.507	5.48096
ENSAMXT00000000027.1	5983	5811.26	4.50424e-08	4.58118e-10
ENSAMXT00000000025.1	611	439.511	146.691	19.7269
ENSAMXT00000000028.1	398	227.826	16	4.1509
ENSAMXT00000000031.1	1558	1386.26	30.1028	1.28348
ENSAMXT00000000030.1	587	415.511	12	1.70697
ENSAMXT00000000052.1	7118	6946.26	34.4652	0.293262
ENSAMXT00000000033.1	1117	945.259	779	48.7094
ENSAMXT00000000034.1	1170	998.259	38	2.24992
ENSAMXT00000000036.1	2322	2150.26	148.484	4.08145
ENSAMXT00000000035.1	3873	3701.26	113	1.80449
ENSAMXT00000000041.1	3969	3797.26	240	3.73566
ENSAMXT00000000039.1	1715	1543.26	30	1.14897
ENSAMXT00000000037.1	4153	3981.26	642	9.53106
ENSAMXT00000000043.1	1547	1375.26	236	10.1427
ENSAMXT00000000065.1	2244	2072.26	19	0.541921
ENSAMXT00000000038.1	2289	2117.26	1203	33.5829
ENSAMXT00000000040.1	2212	2040.26	3423.61	99.1803
ENSAMXT00000000042.1	1829	1657.26	165	5.88464
ENSAMXT00000000044.1	1955	1783.26	17.3898	0.576378
ENSAMXT00000000051.1	3826	3654.26	142.461	2.30422
ENSAMXT00000000045.1	2440	2268.26	35.1533	0.91601
ENSAMXT00000000046.1	1286	1114.26	69	3.66007
ENSAMXT00000000047.1	7797	7625.26	208.713	1.61779
ENSAMXT00000000048.1	1002	830.259	13	0.925457
ENSAMXT00000000049.1	1274	1102.26	424.909	22.7845
ENSAMXT00000000050.1	6515	6343.26	169.728	1.58149
ENSAMXT00000000053.1	1652	1480.26	328	13.0967
ENSAMXT00000000054.1	4869	4697.26	255.669	3.21706
ENSAMXT00000000063.1	1407	1235.26	1876	89.7638
ENSAMXT00000000058.1	2714	2542.26	4078	94.8099
ENSAMXT00000000056.1	843	671.336	18	1.58474
ENSAMXT00000000055.1	4261	4089.26	27	0.390252
ENSAMXT00000000057.1	4748	4576.26	350.569	4.52782
ENSAMXT00000000059.1	5094	4922.26	357.187	4.28901
ENSAMXT00000000060.1	4119	3947.26	451	6.75317
ENSAMXT00000000062.1	4425	4253.26	107.344	1.4917
ENSAMXT00000000061.1	2803	2631.26	199	4.47009
ENSAMXT00000000067.1	2352	2180.26	2736.68	74.1894
ENSAMXT00000000064.1	498	326.975	25	4.5191
ENSAMXT00000000072.1	1206	1034.26	82	4.68609
ENSAMXT00000000098.1	3336	3164.26	239.082	4.46582
ENSAMXT00000000069.1	2395	2223.26	7.11985	0.189281
ENSAMXT00000000070.1	1471	1299.26	279.799	12.7285
ENSAMXT00000000066.1	2866	2694.26	6.03191	0.132325
ENSAMXT00000000068.1	1562	1390.26	4.02955	0.171312
ENSAMXT00000000074.1	1686	1514.26	314	12.2562
ENSAMXT00000000071.1	1616	1444.26	58	2.37361
ENSAMXT00000000073.1	5684	5512.26	455.444	4.88351
ENSAMXT00000000075.1	11921	11749.3	1303	6.55481
ENSAMXT00000000077.1	2640	2468.26	64.0698	1.53423
ENSAMXT00000000078.1	4271	4099.26	559	8.05996
ENSAMXT00000000076.1	1158	986.259	373	22.3534
ENSAMXT00000000079.1	3280	3108.26	60.2832	1.14632
ENSAMXT00000000080.1	1413	1241.26	26.0577	1.24079
ENSAMXT00000000081.1	2343	2171.26	541.341	14.7362
ENSAMXT00000000082.1	1240	1068.26	15	0.82993
ENSAMXT00000000083.1	1080	908.259	3	0.195226
ENSAMXT00000000084.1	1912	1740.26	47.3653	1.60869
ENSAMXT00000000085.1	1319	1147.26	729	37.5571
ENSAMXT00000000086.1	4010	3838.26	362.659	5.58459
ENSAMXT00000000089.1	1778	1606.26	48	1.76625
ENSAMXT00000000092.1	2043	1871.26	181	5.71704
ENSAMXT00000000087.1	768	596.463	0	0
ENSAMXT00000000088.1	743	571.463	28	2.89598
ENSAMXT00000000090.1	1204	1032.26	82	4.69517
ENSAMXT00000000093.1	1601	1429.26	16	0.661661
ENSAMXT00000000091.1	504	332.909	0	0
ENSAMXT00000000094.1	1738	1566.26	67	2.52835
ENSAMXT00000000095.1	766	594.463	38.5695	3.83482
ENSAMXT00000000103.1	6249	6077.26	484	4.70722
ENSAMXT00000000096.1	4218	4046.26	326.041	4.76261
ENSAMXT00000000097.1	7264	7092.26	2061.43	17.1795
ENSAMXT00000000104.1	2735	2563.26	128	2.95151
ENSAMXT00000000099.1	1614	1442.26	7	0.286867
ENSAMXT00000000111.1	3849	3677.26	408	6.55786
ENSAMXT00000000100.1	3188	3016.26	34.1082	0.66837
ENSAMXT00000000101.1	696	524.463	1	0.112697
ENSAMXT00000000102.1	2344	2172.26	270.341	7.35575
ENSAMXT00000000105.1	577	405.511	129	18.8024
ENSAMXT00000000106.1	1206	1034.26	16	0.91436
ENSAMXT00000000146.1	6163	5991.26	15511	153.02
ENSAMXT00000000107.1	2308	2136.26	151.151	4.182
ENSAMXT00000000108.1	5144	4972.26	20.1889	0.239986
ENSAMXT00000000109.1	4893	4721.26	1484	18.5782
ENSAMXT00000000122.1	4701	4529.26	1700.09	22.1856
ENSAMXT00000000110.1	1316	1144.26	22	1.13638
ENSAMXT00000000113.1	3032	2860.26	1196	24.7145
ENSAMXT00000000112.1	2140	1968.26	359	10.7805
ENSAMXT00000000114.1	3281	3109.26	420	7.98397
ENSAMXT00000000115.1	3763	3591.26	803	13.2159
ENSAMXT00000000130.1	1119	947.259	16	0.998338
ENSAMXT00000000116.1	2365	2193.26	266.574	7.18379
ENSAMXT00000000117.1	1135	963.259	19.3358	1.18644
ENSAMXT00000000118.1	2339	2167.26	178.292	4.86235
ENSAMXT00000000119.1	3476	3304.26	328.664	5.87902
ENSAMXT00000000120.1	1061	889.259	72	4.78554
ENSAMXT00000000121.1	2042	1870.26	83	2.62303
ENSAMXT00000000123.1	4275	4103.26	45	0.648202
ENSAMXT00000000124.1	4766	4594.26	4338	55.8085
ENSAMXT00000000125.1	3535	3363.26	1109.84	19.5042
ENSAMXT00000000126.1	4829	4657.26	747.876	9.4913
