target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1206.27	84	2.6694
ENSAMXT00000000013.1	2742	2561.27	275.823	4.12813
ENSAMXT00000000002.1	698	517.341	24.4109	1.80878
ENSAMXT00000000003.1	2951	2770.27	909.694	12.5879
ENSAMXT00000000004.1	4909	4728.27	200.655	1.62677
ENSAMXT00000000005.1	2699	2518.27	5	0.0761109
ENSAMXT00000000009.1	4468	4287.27	58.4368	0.522498
ENSAMXT00000000017.1	3702	3521.27	14.417	0.156947
ENSAMXT00000000006.1	1382	1201.27	347.474	11.0882
ENSAMXT00000000021.1	1777	1596.27	0	0
ENSAMXT00000000007.1	338	163.225	287	67.4021
ENSAMXT00000000014.1	3833	3652.27	404.971	4.2505
ENSAMXT00000000008.1	730	549.341	13.0217	0.908667
ENSAMXT00000000010.1	3144	2963.27	728	9.41758
ENSAMXT00000000012.1	1317	1136.27	21.2565	0.717116
ENSAMXT00000000020.1	4361	4180.27	19.5157	0.178962
ENSAMXT00000000032.1	6532	6351.27	3297.65	19.9032
ENSAMXT00000000011.1	487	307.059	457.394	57.1014
ENSAMXT00000000019.1	4510	4329.27	1145.47	10.1426
ENSAMXT00000000015.1	1354	1173.27	375.376	12.2645
ENSAMXT00000000016.1	1460	1279.27	55.063	1.64997
ENSAMXT00000000018.1	1955	1774.27	289	6.24392
ENSAMXT00000000026.1	4946	4765.27	2828	22.7495
ENSAMXT00000000022.1	1361	1180.27	0	0
ENSAMXT00000000029.1	1836	1655.27	9	0.208427
ENSAMXT00000000023.1	411	232.776	32	5.26976
ENSAMXT00000000024.1	6022	5841.27	1158.56	7.60308
ENSAMXT00000000027.1	5983	5802.27	0	0
ENSAMXT00000000025.1	611	430.582	117.71	10.4794
ENSAMXT00000000028.1	398	220.301	2	0.348011
ENSAMXT00000000031.1	1558	1377.27	14.0367	0.390684
ENSAMXT00000000030.1	587	406.625	80	7.5418
ENSAMXT00000000052.1	7118	6937.27	10.1128	0.0558804
ENSAMXT00000000033.1	1117	936.268	459	18.7928
ENSAMXT00000000034.1	1170	989.268	17	0.65874
ENSAMXT00000000036.1	2322	2141.27	1157.98	20.7304
ENSAMXT00000000035.1	3873	3692.27	6	0.0622927
ENSAMXT00000000041.1	3969	3788.27	605	6.122
ENSAMXT00000000039.1	1715	1534.27	251.21	6.27645
ENSAMXT00000000037.1	4153	3972.27	11	0.106153
ENSAMXT00000000043.1	1547	1366.27	3	0.0841713
ENSAMXT00000000065.1	2244	2063.27	31	0.57595
ENSAMXT00000000038.1	2289	2108.27	2127	38.6741
ENSAMXT00000000040.1	2212	2031.27	2241.55	42.302
ENSAMXT00000000042.1	1829	1648.27	353	8.20967
ENSAMXT00000000044.1	1955	1774.27	75.963	1.6412
ENSAMXT00000000051.1	3826	3645.27	186.101	1.95703
ENSAMXT00000000045.1	2440	2259.27	6.41143	0.108784
ENSAMXT00000000046.1	1286	1105.27	204	7.07524
ENSAMXT00000000047.1	7797	7616.27	173.686	0.874181
ENSAMXT00000000048.1	1002	821.268	29	1.3536
ENSAMXT00000000049.1	1274	1093.27	823.394	28.8709
ENSAMXT00000000050.1	6515	6334.27	897.432	5.43106
ENSAMXT00000000053.1	1652	1471.27	256	6.67002
ENSAMXT00000000054.1	4869	4688.27	6.02391	0.0492544
ENSAMXT00000000063.1	1407	1226.27	60	1.87562
ENSAMXT00000000058.1	2714	2533.27	360	5.44754
