target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1199.05	148	9.79156
ENSAMXT00000000013.1	2742	2554.05	95.815	2.97599
ENSAMXT00000000002.1	698	510.178	357.953	55.6585
ENSAMXT00000000003.1	2951	2763.05	201.323	5.78005
ENSAMXT00000000004.1	4909	4721.05	617.202	10.3709
ENSAMXT00000000005.1	2699	2511.05	2	0.0631832
ENSAMXT00000000009.1	4468	4280.05	1056	19.5723
ENSAMXT00000000017.1	3702	3514.05	9525.38	215.031
ENSAMXT00000000006.1	1382	1194.05	320.544	21.2957
ENSAMXT00000000021.1	1777	1589.05	6.8232	0.340626
ENSAMXT00000000007.1	338	157.592	44	22.1486
ENSAMXT00000000014.1	3833	3645.05	255.681	5.56445
ENSAMXT00000000008.1	730	542.124	8.04274	1.17688
ENSAMXT00000000010.1	3144	2956.05	132	3.54233
ENSAMXT00000000012.1	1317	1129.05	35.5729	2.49939
ENSAMXT00000000020.1	4361	4173.05	1668.58	31.7191
ENSAMXT00000000032.1	6532	6344.05	312.167	3.90343
ENSAMXT00000000011.1	487	300.495	162.602	42.9256
ENSAMXT00000000019.1	4510	4322.05	333.444	6.12012
ENSAMXT00000000015.1	1354	1166.05	66.4093	4.51792
ENSAMXT00000000016.1	1460	1272.05	145.874	9.09707
ENSAMXT00000000018.1	1955	1767.05	5	0.224465
ENSAMXT00000000026.1	4946	4758.05	1032	17.2059
ENSAMXT00000000022.1	1361	1173.05	13	0.879132
ENSAMXT00000000029.1	1836	1648.05	1683	81.0104
ENSAMXT00000000023.1	411	226.117	13	4.56076
ENSAMXT00000000024.1	6022	5834.05	253.315	3.44443
ENSAMXT00000000027.1	5983	5795.05	0	0
ENSAMXT00000000025.1	611	423.401	791.065	148.213
ENSAMXT00000000028.1	398	213.67	20	7.42529
ENSAMXT00000000031.1	1558	1370.05	46.2801	2.67969
ENSAMXT00000000030.1	587	399.523	24	4.76536
ENSAMXT00000000052.1	7118	6930.05	199.923	2.28851
ENSAMXT00000000033.1	1117	929.048	1876	160.185
ENSAMXT00000000034.1	1170	982.048	196	15.8325
ENSAMXT00000000036.1	2322	2134.05	101.223	3.76272
ENSAMXT00000000035.1	3873	3685.05	1014	21.8284
ENSAMXT00000000041.1	3969	3781.05	937	19.6587
ENSAMXT00000000039.1	1715	1527.05	101.086	5.2513
ENSAMXT00000000037.1	4153	3965.05	11488	229.838
ENSAMXT00000000043.1	1547	1359.05	1516	88.4893
ENSAMXT00000000065.1	2244	2056.05	491	18.9441
ENSAMXT00000000038.1	2289	2101.05	1149	43.3821
ENSAMXT00000000040.1	2212	2024.05	1655.39	64.8795
ENSAMXT00000000042.1	1829	1641.05	359	17.354
ENSAMXT00000000044.1	1955	1767.05	126.818	5.69324
ENSAMXT00000000051.1	3826	3638.05	454.436	9.90903
ENSAMXT00000000045.1	2440	2252.05	10.0181	0.352887
ENSAMXT00000000046.1	1286	1098.05	127	9.17506
ENSAMXT00000000047.1	7797	7609.05	899.854	9.38142
ENSAMXT00000000048.1	1002	814.048	13	1.26683
ENSAMXT00000000049.1	1274	1086.05	726.083	53.0352
ENSAMXT00000000050.1	6515	6327.05	331.401	4.15508
ENSAMXT00000000053.1	1652	1464.05	341	18.4768
ENSAMXT00000000054.1	4869	4681.05	1138.63	19.2959
ENSAMXT00000000063.1	1407	1219.05	1620	105.419
ENSAMXT00000000058.1	2714	2526.05	1230	38.6269
ENSAMXT00000000056.1	843	655.124	173	20.9483
ENSAMXT00000000055.1	4261	4073.05	58	1.12963
ENSAMXT00000000057.1	4748	4560.05	594	10.3334
ENSAMXT00000000059.1	5094	4906.05	681.919	11.0262
ENSAMXT00000000060.1	4119	3931.05	1590	32.086
ENSAMXT00000000062.1	4425	4237.05	267.694	5.01189
ENSAMXT00000000061.1	2803	2615.05	693.023	21.023
ENSAMXT00000000067.1	2352	2164.05	998.219	36.5919
ENSAMXT00000000064.1	498	311.159	4	1.01977
ENSAMXT00000000072.1	1206	1018.05	196	15.2726
ENSAMXT00000000098.1	3336	3148.05	673.766	16.9783
ENSAMXT00000000069.1	2395	2207.05	21.3507	0.767409
ENSAMXT00000000070.1	1471	1283.05	259.485	16.0434
ENSAMXT00000000066.1	2866	2678.05	20.1832	0.597858
ENSAMXT00000000068.1	1562	1374.05	194.476	11.2277
ENSAMXT00000000074.1	1686	1498.05	700	37.068
ENSAMXT00000000071.1	1616	1428.05	158	8.77689
ENSAMXT00000000073.1	5684	5496.05	463.829	6.69474
ENSAMXT00000000075.1	11921	11733	113	0.764002
ENSAMXT00000000077.1	2640	2452.05	76.6482	2.4797
ENSAMXT00000000078.1	4271	4083.05	1595	30.9887
ENSAMXT00000000076.1	1158	970.048	248	20.2808
ENSAMXT00000000079.1	3280	3092.05	128.152	3.28781
ENSAMXT00000000080.1	1413	1225.05	41.489	2.68662
ENSAMXT00000000081.1	2343	2155.05	1019.07	37.5121
ENSAMXT00000000082.1	1240	1052.05	2	0.150807
ENSAMXT00000000083.1	1080	892.048	0	0
ENSAMXT00000000084.1	1912	1724.05	230.096	10.5873
ENSAMXT00000000085.1	1319	1131.05	1237	86.7591
ENSAMXT00000000086.1	4010	3822.05	1033.93	21.4597
ENSAMXT00000000089.1	1778	1590.05	591	29.4852
ENSAMXT00000000092.1	2043	1855.05	870	37.2041
ENSAMXT00000000087.1	768	580.124	0	0
ENSAMXT00000000088.1	743	555.124	171	24.4361
ENSAMXT00000000090.1	1204	1016.05	257	20.0653
ENSAMXT00000000093.1	1601	1413.05	238	13.3612
ENSAMXT00000000091.1	504	317.159	1	0.250121
ENSAMXT00000000094.1	1738	1550.05	34	1.74004
ENSAMXT00000000095.1	766	578.124	104.962	14.4025
ENSAMXT00000000103.1	6249	6061.05	2826	36.9872
ENSAMXT00000000096.1	4218	4030.05	680.384	13.3928
ENSAMXT00000000097.1	7264	7076.05	266.038	2.9825
ENSAMXT00000000104.1	2735	2547.05	515	16.0397
ENSAMXT00000000099.1	1614	1426.05	2	0.111256
ENSAMXT00000000111.1	3849	3661.05	218	4.72365
ENSAMXT00000000100.1	3188	3000.05	457.469	12.0965
ENSAMXT00000000101.1	696	508.178	7	1.09272
ENSAMXT00000000102.1	2344	2156.05	471.689	17.355
ENSAMXT00000000105.1	577	389.602	89	18.1215
ENSAMXT00000000106.1	1206	1018.05	26	2.02596
ENSAMXT00000000146.1	6163	5975.05	310	4.11573
ENSAMXT00000000107.1	2308	2120.05	157.317	5.88647
ENSAMXT00000000108.1	5144	4956.05	30.1772	0.483025
ENSAMXT00000000109.1	4893	4705.05	1248	21.0415
ENSAMXT00000000122.1	4701	4513.05	3746.61	65.856
ENSAMXT00000000110.1	1316	1128.05	163	11.4627
ENSAMXT00000000113.1	3032	2844.05	951	26.5259
ENSAMXT00000000112.1	2140	1952.05	2312	93.9559
ENSAMXT00000000114.1	3281	3093.05	395	10.1306
ENSAMXT00000000115.1	3763	3575.05	1583	35.1258
ENSAMXT00000000130.1	1119	931.048	3	0.255609
ENSAMXT00000000116.1	2365	2177.05	321.867	11.7283
ENSAMXT00000000117.1	1135	947.048	5.01135	0.419768
ENSAMXT00000000118.1	2339	2151.05	201.334	7.42496
ENSAMXT00000000119.1	3476	3288.05	1514.99	36.5509
ENSAMXT00000000120.1	1061	873.048	87	7.90511
ENSAMXT00000000121.1	2042	1854.05	102	4.36421
ENSAMXT00000000123.1	4275	4087.05	74	1.43631
ENSAMXT00000000124.1	4766	4578.05	1540	26.685
ENSAMXT00000000125.1	3535	3347.05	2251.6	53.365
ENSAMXT00000000126.1	4829	4641.05	2754.99	47.0902
ENSAMXT00000000127.1	883	695.124	42	4.79307
ENSAMXT00000000128.1	1063	875.048	12	1.08787
ENSAMXT00000000129.1	3089	2901.05	786.19	21.4981
ENSAMXT00000000133.1	2249	2061.05	520	20.0144
ENSAMXT00000000131.1	2491	2303.05	1348.88	46.462
