target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.9238	0	0
ENSELUT00000043746.1	57	26.9238	0	0
ENSELUT00000037603.1	57	26.9238	0	0
ENSELUT00000037622.1	60	28.7221	0.5	1.2121
ENSELUT00000043756.1	60	28.7221	0.5	1.2121
ENSELUT00000036957.1	291	140.406	4.49451	2.22884
ENSELUT00000043605.1	309	156.562	1	0.444731
ENSELUT00000013117.1	339	184.153	1.78371	0.674419
ENSELUT00000013112.1	252	106.617	0	0
ENSELUT00000036937.1	291	140.406	4.79623	2.37846
ENSELUT00000036941.1	273	124.628	1	0.558684
ENSELUT00000036943.1	306	153.845	0	0
ENSELUT00000036966.1	306	153.845	4.63937	2.09971
ENSELUT00000036993.1	288	137.696	1.20377	0.608704
ENSELUT00000037021.1	291	140.406	1	0.495903
ENSELUT00000043560.1	333	178.598	0	0
ENSELUT00000037132.1	354	198.266	6.507	2.28515
ENSELUT00000037138.1	333	178.598	4	1.55943
ENSELUT00000043572.1	315	161.99	2	0.859657
ENSELUT00000037291.1	348	192.613	0	0
ENSELUT00000037323.1	333	178.598	2	0.779715
ENSELUT00000037354.1	348	192.613	0	0
ENSELUT00000043648.1	309	156.562	1.10947	0.493417
ENSELUT00000037369.1	333	178.598	2	0.779715
ENSELUT00000037383.1	330	175.796	2.21305	0.876529
ENSELUT00000037448.1	333	178.598	0	0
ENSELUT00000043712.1	318	164.75	0	0
ENSELUT00000037530.1	333	178.598	0	0
ENSELUT00000037640.1	303	151.158	0	0
ENSELUT00000000007.1	975	814.849	41206	3521.01
ENSELUT00000000011.1	1050	889.849	58964	4613.75
ENSELUT00000000017.1	1551	1390.85	484542	24256.9
ENSELUT00000000020.1	691	530.967	149956	19664.4
ENSELUT00000000022.1	168	44.5812	7019	10962.4
ENSELUT00000000023.1	682	521.982	62534	8341.51
ENSELUT00000000024.1	785	624.901	244476	27240.1
ENSELUT00000000026.1	349	193.561	7781	2798.99
ENSELUT00000000028.1	297	145.748	6531	3120.04
ENSELUT00000000029.1	1381	1220.85	59485	3392.57
ENSELUT00000000033.1	1839	1678.85	38911	1613.78
ENSELUT00000000034.1	522	362.42	16160	3104.65
ENSELUT00000000036.1	1137	976.849	73331	5226.9
ENSELUT00000019592.1	708	547.948	0	0
ENSELUT00000019593.1	4511	4350.85	2.4445	0.0391201
ENSELUT00000019594.1	4531	4370.85	0	0
ENSELUT00000019595.1	4384	4223.85	2.5555	0.042126
ENSELUT00000019596.1	3561	3400.85	0	0
ENSELUT00000019574.1	1629	1468.85	64.525	3.05868
ENSELUT00000019438.1	3662	3501.85	5	0.099416
ENSELUT00000019409.1	1280	1119.85	1160.14	72.1332
ENSELUT00000019402.1	975	814.849	72.3033	6.17824
ENSELUT00000019395.1	1083	922.849	95.8956	7.23522
ENSELUT00000019290.1	600	440.089	77.7978	12.3086
ENSELUT00000019243.1	429	270.568	49	12.6097
ENSELUT00000019228.1	2097	1936.85	485	17.4353
ENSELUT00000019086.1	4509	4348.85	52.2236	0.836134
ENSELUT00000019091.1	4367	4206.85	233.517	3.86495
