gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1229.25	21330.05	863.44	585.09
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1728.25	120.02	3.45	2.34
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5713.25	1110.71	9.66	6.54
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1533.25	540.03	17.52	11.87
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3145.25	2187.06	34.56	23.42
ENSOCUG00000000007	ENSOCUT00000000006	474.00	360.90	20.00	2.77	1.88
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1653.25	10.00	0.30	0.20
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	674.92	561.23	3154.00	280.24	189.90
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2295.25	546.00	11.83	8.01
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1314.25	4230.87	160.17	108.53
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1483.25	144.00	4.83	3.27
ENSOCUG00000000014	ENSOCUT00000011806	758.00	644.26	94243.73	7291.06	4940.61
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3197.25	1657.52	25.76	17.46
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1572.25	34.74	1.10	0.74
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6424.25	717.74	5.55	3.76
ENSOCUG00000000018	ENSOCUT00000000017	558.00	444.48	567.00	63.67	43.14
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5901.25	1576.68	13.27	8.99
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3925.25	2088.43	26.44	17.91
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1453.25	1111.00	38.03	25.77
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2034.25	1293.43	31.61	21.42
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2319.25	129.97	2.79	1.89
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	7012.25	3138.98	22.24	15.07
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1644.25	41.00	1.24	0.84
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1951.38	1837.63	4934.01	133.52	90.47
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	1785.26	1671.51	648.23	19.29	13.07
ENSOCUG00000000031	ENSOCUT00000000031	969.00	855.25	9.00	0.52	0.36
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5249.25	332.30	3.14	2.13
ENSOCUG00000000034	ENSOCUT00000000034	4250.00	4136.25	699.00	8.40	5.69
ENSOCUG00000000036	ENSOCUT00000000036	1008.00	894.25	0.00	0.00	0.00
ENSOCUG00000000038	ENSOCUT00000000038	2284.00	2170.25	741.00	16.97	11.50
ENSOCUG00000000040	ENSOCUT00000000040	687.00	573.30	228.00	19.83	13.44
ENSOCUG00000000041	ENSOCUT00000000041	1702.00	1588.25	3.00	0.09	0.06
ENSOCUG00000000044	ENSOCUT00000000044	939.00	825.25	1.00	0.06	0.04
ENSOCUG00000000045	ENSOCUT00000000045	2817.00	2703.25	13.41	0.25	0.17
ENSOCUG00000000046	ENSOCUT00000000046	792.00	678.26	0.00	0.00	0.00
ENSOCUG00000000049	ENSOCUT00000027874	4492.00	4378.25	39.00	0.44	0.30
ENSOCUG00000000051	ENSOCUT00000031590	9051.00	8937.25	5580.51	31.01	21.02
ENSOCUG00000000052	ENSOCUT00000000051	915.00	801.25	0.00	0.00	0.00
ENSOCUG00000000054	ENSOCUT00000000053	681.00	567.30	0.00	0.00	0.00
ENSOCUG00000000055	ENSOCUT00000000055	1293.00	1179.25	4.00	0.17	0.11
ENSOCUG00000000057	ENSOCUT00000000062	9873.00	9759.25	13113.88	66.74	45.23
ENSOCUG00000000059	ENSOCUT00000000057	3165.00	3051.25	696.62	11.35	7.69
ENSOCUG00000000060	ENSOCUT00000000059	3536.00	3422.25	3876.00	56.28	38.14
ENSOCUG00000000061	ENSOCUT00000000061	2153.00	2039.25	35.00	0.85	0.58
ENSOCUG00000000063	ENSOCUT00000000063	1143.00	1029.25	160.81	7.78	5.27
ENSOCUG00000000064	ENSOCUT00000000064	1102.00	988.25	680.80	34.30	23.24
ENSOCUG00000000065	ENSOCUT00000000065	768.00	654.26	0.00	0.00	0.00
ENSOCUG00000000066	ENSOCUT00000000066	1608.00	1494.25	91.98	3.06	2.07
