gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1208.88	11.00	0.54	0.40
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1707.88	126.73	4.42	3.24
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5692.88	1375.46	14.38	10.53
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1512.88	425.00	16.73	12.26
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3124.88	1912.00	36.41	26.68
ENSOCUG00000000007	ENSOCUT00000000006	474.00	341.14	288.00	50.43	36.94
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1632.88	18.00	0.66	0.48
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	673.55	539.56	2148.00	237.49	173.99
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2274.88	414.00	10.83	7.94
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1293.88	1084.66	49.93	36.58
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1462.88	190.88	7.77	5.69
ENSOCUG00000000014	ENSOCUT00000011806	758.00	623.91	68098.51	6509.14	4768.58
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3176.88	975.99	18.28	13.39
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1551.88	25.39	0.97	0.71
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6403.88	635.78	5.91	4.33
ENSOCUG00000000018	ENSOCUT00000000017	558.00	424.36	484.00	68.08	49.88
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5880.88	1337.00	13.53	9.91
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3904.88	1868.51	28.47	20.86
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1432.88	525.00	21.82	15.99
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2013.88	772.13	22.83	16.72
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2298.88	325.00	8.42	6.17
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	6991.88	18359.41	156.22	114.45
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1623.88	3.00	0.11	0.08
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1949.73	1815.61	1579.82	51.81	37.95
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	1945.61	1811.49	503.84	16.56	12.13
ENSOCUG00000000031	ENSOCUT00000000031	969.00	834.88	65.00	4.64	3.40
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5228.88	158.42	1.80	1.32
