target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7228.31	322.802	9.86735
ENSONIT00000000002.1	2865	2566.31	26.347	2.26842
ENSONIT00000000003.1	1261	962.313	384.699	88.3294
ENSONIT00000000004.1	5342	5043.31	7878	345.145
ENSONIT00000000005.1	3889	3590.31	105	6.46187
ENSONIT00000000006.1	948	649.515	0	0
ENSONIT00000000007.1	3180	2881.31	230	17.6376
ENSONIT00000000008.1	487	210.729	1926	2019.45
ENSONIT00000000009.1	1438	1139.31	0	0
ENSONIT00000000010.1	837	539.162	0	0
ENSONIT00000000011.1	7684	7385.31	137	4.09877
ENSONIT00000000012.1	6448	6149.31	168.931	6.06995
ENSONIT00000000013.1	1659	1360.31	67.1863	10.913
ENSONIT00000000014.1	1419	1120.31	68.8825	13.5853
ENSONIT00000000015.1	903	604.688	10	3.65401
ENSONIT00000000016.1	1940	1641.31	63.3396	8.52679
ENSONIT00000000017.1	933	634.556	0	0
ENSONIT00000000018.1	3892	3593.31	158	9.71546
ENSONIT00000000019.1	1045	746.313	45.6306	13.5094
ENSONIT00000000020.1	2356	2057.31	0	0
ENSONIT00000000021.1	4333	4034.31	39	2.13598
ENSONIT00000000022.1	1581	1282.31	0	0
ENSONIT00000000023.1	4614	4315.31	196.254	10.0487
ENSONIT00000000024.1	3198	2899.31	49.7459	3.79109
ENSONIT00000000025.1	4590	4291.31	17	0.875306
ENSONIT00000000026.1	681	386.703	1498	855.925
ENSONIT00000000027.1	828	530.266	0	0
ENSONIT00000000028.1	1315	1016.31	0	0
ENSONIT00000000029.1	771	474.068	0	0
ENSONIT00000000030.1	705	409.787	0	0
ENSONIT00000000031.1	1431	1132.31	0	0
ENSONIT00000000032.1	732	435.909	0	0
ENSONIT00000000033.1	1746	1447.31	0	0
ENSONIT00000000034.1	489	212.4	8	8.32219
ENSONIT00000000035.1	4196	3897.31	1339.82	75.9597
ENSONIT00000000036.1	663	369.566	0	0
ENSONIT00000000037.1	1910	1611.31	10	1.37127
ENSONIT00000000038.1	444	176.026	7	8.78664
ENSONIT00000000039.1	3574	3275.31	250	16.8651
ENSONIT00000000040.1	4793	4494.31	3.18294	0.156483
ENSONIT00000000041.1	3381	3082.31	0.817059	0.0585703
ENSONIT00000000042.1	2159	1860.31	59	7.00757
ENSONIT00000000043.1	2452	2153.31	161.179	16.5387
ENSONIT00000000044.1	1593	1294.31	0	0
ENSONIT00000000045.1	2701	2402.31	0	0
ENSONIT00000000046.1	822	524.352	0	0
ENSONIT00000000047.1	5615	5316.31	1273.65	52.9349
