target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1214.67	91	5.26758
ENSAMXT00000000013.1	2742	2569.67	110.679	3.02843
ENSAMXT00000000002.1	698	525.673	12.3957	1.658
ENSAMXT00000000003.1	2951	2778.67	618.973	15.6626
ENSAMXT00000000004.1	4909	4736.67	117.769	1.74819
ENSAMXT00000000005.1	2699	2526.67	3	0.0834837
ENSAMXT00000000009.1	4468	4295.67	11	0.180049
ENSAMXT00000000017.1	3702	3529.67	17.482	0.348245
ENSAMXT00000000006.1	1382	1209.67	264.469	15.3722
ENSAMXT00000000021.1	1777	1604.67	15.563	0.681924
ENSAMXT00000000007.1	338	169.854	117	48.4329
ENSAMXT00000000014.1	3833	3660.67	153.619	2.95062
ENSAMXT00000000008.1	730	557.673	16.0684	2.02591
ENSAMXT00000000010.1	3144	2971.67	1266	29.9545
ENSAMXT00000000012.1	1317	1144.67	11.184	0.686979
ENSAMXT00000000020.1	4361	4188.67	38.6649	0.649037
ENSAMXT00000000032.1	6532	6359.67	1307.45	14.4551
ENSAMXT00000000011.1	487	315.232	258.25	57.6022
ENSAMXT00000000019.1	4510	4337.67	933.306	15.1285
ENSAMXT00000000015.1	1354	1181.67	92.2952	5.49176
ENSAMXT00000000016.1	1460	1287.67	52.7648	2.88116
ENSAMXT00000000018.1	1955	1782.67	21	0.82828
ENSAMXT00000000026.1	4946	4773.67	4833.71	71.1964
ENSAMXT00000000022.1	1361	1188.67	35	2.07031
ENSAMXT00000000029.1	1836	1663.67	74	3.12747
ENSAMXT00000000023.1	411	240.161	34	9.95418
ENSAMXT00000000024.1	6022	5849.67	376.013	4.51961
ENSAMXT00000000027.1	5983	5810.67	0	0
ENSAMXT00000000025.1	611	438.673	99.6004	15.9643
ENSAMXT00000000028.1	398	227.629	2	0.617777
ENSAMXT00000000031.1	1558	1385.67	147.953	7.50746
ENSAMXT00000000030.1	587	414.717	23	3.89947
ENSAMXT00000000052.1	7118	6945.67	62.4634	0.632326
ENSAMXT00000000033.1	1117	944.673	786	58.502
ENSAMXT00000000034.1	1170	997.673	13	0.916188
ENSAMXT00000000036.1	2322	2149.67	241.125	7.88677
ENSAMXT00000000035.1	3873	3700.67	11	0.208998
ENSAMXT00000000041.1	3969	3796.67	310	5.74101
ENSAMXT00000000039.1	1715	1542.67	160	7.29248
ENSAMXT00000000037.1	4153	3980.67	18	0.31794
ENSAMXT00000000043.1	1547	1374.67	3	0.153444
ENSAMXT00000000065.1	2244	2071.67	17	0.576975
ENSAMXT00000000038.1	2289	2116.67	839	27.87
ENSAMXT00000000040.1	2212	2039.67	1314.16	45.3021
ENSAMXT00000000042.1	1829	1656.67	207	8.78543
ENSAMXT00000000044.1	1955	1782.67	22.0459	0.869532
ENSAMXT00000000051.1	3826	3653.67	176.551	3.39758
ENSAMXT00000000045.1	2440	2267.67	8.03561	0.249154
ENSAMXT00000000046.1	1286	1113.67	75	4.73514
ENSAMXT00000000047.1	7797	7624.67	222.381	2.05072
ENSAMXT00000000048.1	1002	829.673	2	0.169493
ENSAMXT00000000049.1	1274	1101.67	443.939	28.3335
ENSAMXT00000000050.1	6515	6342.67	641.953	7.1164
ENSAMXT00000000053.1	1652	1479.67	210	9.97891
ENSAMXT00000000054.1	4869	4696.67	0	0
ENSAMXT00000000063.1	1407	1234.67	34	1.93623
ENSAMXT00000000058.1	2714	2541.67	617	17.0685
ENSAMXT00000000056.1	843	670.673	2	0.209676
ENSAMXT00000000055.1	4261	4088.67	46	0.791052
ENSAMXT00000000057.1	4748	4575.67	555	8.5284
ENSAMXT00000000059.1	5094	4921.67	685.199	9.7889
ENSAMXT00000000060.1	4119	3946.67	608	10.8318
ENSAMXT00000000062.1	4425	4252.67	247.324	4.08917
ENSAMXT00000000061.1	2803	2630.67	313.143	8.36961
ENSAMXT00000000067.1	2352	2179.67	8718.22	281.233
ENSAMXT00000000064.1	498	326.039	13	2.80351
ENSAMXT00000000072.1	1206	1033.67	95	6.46204
ENSAMXT00000000098.1	3336	3163.67	2792.87	62.0709
ENSAMXT00000000069.1	2395	2222.67	8.8568	0.280176
ENSAMXT00000000070.1	1471	1298.67	212.007	11.4784
ENSAMXT00000000066.1	2866	2693.67	1.01472	0.0264868
ENSAMXT00000000068.1	1562	1389.67	1.01062	0.0511333
ENSAMXT00000000074.1	1686	1513.67	385	17.8837
ENSAMXT00000000071.1	1616	1443.67	111	5.40609
ENSAMXT00000000073.1	5684	5511.67	981.365	12.5192
ENSAMXT00000000075.1	11921	11748.7	31902	190.923
ENSAMXT00000000077.1	2640	2467.67	644.442	18.3623
ENSAMXT00000000078.1	4271	4098.67	1065	18.2699
ENSAMXT00000000076.1	1158	985.673	490	34.9537
