target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7223.89	428.926	9.03701
ENSONIT00000000002.1	2865	2561.89	13.2955	0.789873
ENSONIT00000000003.1	1261	957.891	500.285	79.4904
ENSONIT00000000004.1	5342	5038.89	3	0.0906148
ENSONIT00000000005.1	3889	3585.89	12	0.509327
ENSONIT00000000006.1	948	645.14	0	0
ENSONIT00000000007.1	3180	2876.89	42	2.22197
ENSONIT00000000008.1	487	209.993	2559	1854.72
ENSONIT00000000009.1	1438	1134.89	59	7.91245
ENSONIT00000000010.1	837	535.291	0	0
ENSONIT00000000011.1	7684	7380.89	18	0.371173
ENSONIT00000000012.1	6448	6144.89	129.333	3.20337
ENSONIT00000000013.1	1659	1355.89	9.46227	1.06214
ENSONIT00000000014.1	1419	1115.89	80.2049	10.9394
ENSONIT00000000015.1	903	600.482	4	1.01385
ENSONIT00000000016.1	1940	1636.89	6.65883	0.619143
ENSONIT00000000017.1	933	630.25	0	0
ENSONIT00000000018.1	3892	3588.89	91	3.85917
ENSONIT00000000019.1	1045	741.891	7.53586	1.54599
ENSONIT00000000020.1	2356	2052.89	2	0.148278
ENSONIT00000000021.1	4333	4029.89	119	4.49435
ENSONIT00000000022.1	1581	1277.89	10	1.19102
ENSONIT00000000023.1	4614	4310.89	63.9323	2.25718
ENSONIT00000000024.1	3198	2894.89	1.06765	0.056132
ENSONIT00000000025.1	4590	4286.89	16	0.568055
ENSONIT00000000026.1	681	384.013	34	13.4755
ENSONIT00000000027.1	828	526.427	0	0
ENSONIT00000000028.1	1315	1011.89	0	0
ENSONIT00000000029.1	771	470.568	0	0
ENSONIT00000000030.1	705	406.955	0	0
ENSONIT00000000031.1	1431	1127.89	0	0
ENSONIT00000000032.1	732	432.739	0	0
ENSONIT00000000033.1	1746	1442.89	0	0
ENSONIT00000000034.1	489	211.621	2	1.43842
ENSONIT00000000035.1	4196	3892.89	2482.9	97.0734
ENSONIT00000000036.1	663	366.921	0	0
ENSONIT00000000037.1	1910	1606.89	5	0.473583
ENSONIT00000000038.1	444	175.658	4	3.46581
ENSONIT00000000039.1	3574	3270.89	55	2.55923
ENSONIT00000000040.1	4793	4489.89	3.17981	0.10779
ENSONIT00000000041.1	3381	3077.89	5.82019	0.287804
ENSONIT00000000042.1	2159	1855.89	15	1.23013
ENSONIT00000000043.1	2452	2148.89	151.099	10.7019
ENSONIT00000000044.1	1593	1289.89	0	0
ENSONIT00000000045.1	2701	2397.89	6	0.380833
ENSONIT00000000046.1	822	520.534	0	0
ENSONIT00000000047.1	5615	5311.89	37.2446	1.06715
ENSONIT00000000048.1	3524	3220.89	18.4386	0.871295
ENSONIT00000000049.1	2216	1912.89	33.4647	2.66262
ENSONIT00000000050.1	3987	3683.89	8	0.330519
ENSONIT00000000051.1	1779	1475.89	240	24.7497
ENSONIT00000000052.1	4225	3921.89	13.574	0.526773
ENSONIT00000000053.1	252	55.5546	0	0
ENSONIT00000000054.1	1925	1621.89	0	0
ENSONIT00000000055.1	2408	2104.89	1	0.0723075
ENSONIT00000000056.1	621	327.773	0	0
ENSONIT00000000057.1	2756	2452.89	1003	62.2351
ENSONIT00000000058.1	1560	1256.89	61	7.38661
ENSONIT00000000059.1	4662	4358.89	190	6.63423
ENSONIT00000000060.1	3705	3401.89	35	1.56589
ENSONIT00000000061.1	5249	4945.89	5	0.153864
ENSONIT00000000062.1	3788	3484.89	6.26145	0.273463
ENSONIT00000000063.1	1281	977.891	0	0
ENSONIT00000000064.1	1084	780.891	0	0
ENSONIT00000000065.1	932	629.257	39	9.433
ENSONIT00000000066.1	1914	1610.89	60	5.66889
ENSONIT00000000067.1	989	685.945	118	26.1822
ENSONIT00000000068.1	2325	2021.89	12	0.903309
ENSONIT00000000069.1	3923	3619.89	14	0.588634
ENSONIT00000000070.1	3705	3401.89	33.6345	1.50479
ENSONIT00000000071.1	2997	2693.89	1.36553	0.0771498
ENSONIT00000000072.1	1976	1672.89	5	0.454899
ENSONIT00000000073.1	4689	4385.89	40	1.38808
ENSONIT00000000074.1	1955	1651.89	308	28.378
ENSONIT00000000075.1	5508	5204.89	44.9991	1.31584
ENSONIT00000000076.1	3426	3122.89	30.0009	1.46215
ENSONIT00000000077.1	5038	4734.89	22	0.707173
ENSONIT00000000078.1	4171	3867.89	318	12.5131
ENSONIT00000000079.1	2354	2050.89	24.0038	1.78135
ENSONIT00000000080.1	2515	2211.89	725	49.887
ENSONIT00000000081.1	2378	2074.89	36.3181	2.66404
ENSONIT00000000082.1	1662	1358.89	0	0
ENSONIT00000000083.1	2361	2057.89	133.44	9.86907
ENSONIT00000000084.1	3525	3221.89	291	13.7466
ENSONIT00000000085.1	1716	1412.89	19	2.04672
ENSONIT00000000086.1	8305	8001.89	50	0.951021
ENSONIT00000000087.1	1392	1088.89	26	3.63414
ENSONIT00000000088.1	3217	2913.89	57.6057	3.00888
ENSONIT00000000089.1	804	502.874	48.0585	14.5454
ENSONIT00000000090.1	1897	1593.89	229	21.867
ENSONIT00000000091.1	6765	6461.89	5	0.117767
ENSONIT00000000092.1	2004	1700.89	63	5.63738
ENSONIT00000000093.1	663	366.921	5	2.07401
ENSONIT00000000094.1	2085	1781.89	18	1.53746
ENSONIT00000000095.1	3537	3233.89	3	0.141192
ENSONIT00000000096.1	4064	3760.89	0	0
ENSONIT00000000097.1	2633	2329.89	11	0.718571
ENSONIT00000000098.1	1083	779.891	5.51679	1.07663
ENSONIT00000000099.1	891	588.585	17	4.39595
ENSONIT00000000100.1	1542	1238.89	5	0.614257
ENSONIT00000000101.1	1449	1145.89	25	3.32055
ENSONIT00000000102.1	480	204.279	1	0.745056
ENSONIT00000000103.1	5578	5274.89	64	1.84663
ENSONIT00000000104.1	1428	1124.89	6	0.811809
ENSONIT00000000105.1	2163	1859.89	957	78.3136
ENSONIT00000000106.1	2614	2310.89	1	0.0658618
ENSONIT00000000107.1	1398	1094.89	0	0
ENSONIT00000000108.1	2879	2575.89	48	2.83613
ENSONIT00000000109.1	4139	3835.89	13.9399	0.553103
ENSONIT00000000110.1	3540	3236.89	6.06012	0.284948
ENSONIT00000000111.1	4344	4040.89	92.8707	3.49796
ENSONIT00000000112.1	1965	1661.89	32	2.93063
ENSONIT00000000113.1	1420	1116.89	0	0
ENSONIT00000000114.1	2532	2228.89	41	2.79968
ENSONIT00000000115.1	6356	6052.89	131	3.29398
ENSONIT00000000116.1	3789	3485.89	0	0
ENSONIT00000000117.1	1740	1436.89	0	0
ENSONIT00000000118.1	2960	2656.89	0	0
ENSONIT00000000119.1	699	401.202	0	0
ENSONIT00000000120.1	1338	1034.89	17	2.50016
ENSONIT00000000121.1	951	648.111	33	7.74957
ENSONIT00000000122.1	657	361.258	229	96.4786
ENSONIT00000000123.1	3098	2794.89	247	13.4507
ENSONIT00000000124.1	2273	1969.89	482.018	37.2421
ENSONIT00000000125.1	1245	941.891	0	0
ENSONIT00000000126.1	3243	2939.89	1	0.0517704
ENSONIT00000000127.1	4849	4545.89	575.884	19.281
ENSONIT00000000128.1	3687	3383.89	5.1158	0.230097
ENSONIT00000000129.1	1728	1424.89	567	60.564
ENSONIT00000000130.1	1483	1179.89	181.223	23.3768
ENSONIT00000000131.1	2301	1997.89	21	1.59978
ENSONIT00000000132.1	960	657.05	0	0
ENSONIT00000000133.1	5154	4850.89	6	0.188253
ENSONIT00000000134.1	885	582.637	1	0.261225
ENSONIT00000000135.1	7644	7340.89	92	1.90744
ENSONIT00000000136.1	4290	3986.89	0	0
ENSONIT00000000137.1	3485	3181.89	2.00728	0.0960141
ENSONIT00000000138.1	2876	2572.89	0	0
ENSONIT00000000139.1	1812	1508.89	0	0
ENSONIT00000000140.1	6844	6540.89	13.7087	0.318985
ENSONIT00000000141.1	1913	1609.89	52	4.91609
ENSONIT00000000142.1	2423	2119.89	63.3604	4.54902
ENSONIT00000000143.1	2451	2147.89	4.63958	0.32876
ENSONIT00000000144.1	2003	1699.89	13	1.16395
ENSONIT00000000145.1	792	491.123	1	0.309901
ENSONIT00000000146.1	7513	7209.89	16.2449	0.342927
ENSONIT00000000147.1	3461	3157.89	393	18.9412
ENSONIT00000000148.1	2439	2135.89	0	0
ENSONIT00000000149.1	2400	2096.89	2.9164	0.211682
ENSONIT00000000150.1	1182	878.891	1.09685	0.189945
ENSONIT00000000151.1	483	206.72	0	0
ENSONIT00000000152.1	870	567.812	31	8.3094
ENSONIT00000000153.1	1146	842.891	7	1.26398
ENSONIT00000000154.1	1218	914.891	0	0
ENSONIT00000000155.1	1659	1355.89	0.999844	0.112233
ENSONIT00000000156.1	1671	1367.89	0.000155723	1.73266e-05
ENSONIT00000000157.1	6499	6195.89	53	1.30192
ENSONIT00000000158.1	8869	8565.89	13	0.230985
ENSONIT00000000159.1	3754	3450.89	40	1.76418
ENSONIT00000000160.1	5545	5241.89	0	0
ENSONIT00000000161.1	1863	1559.89	0	0
ENSONIT00000000162.1	753	453.068	0	0
ENSONIT00000000163.1	672	375.443	5.37323	2.17823
ENSONIT00000000164.1	1128	824.891	0	0
ENSONIT00000000165.1	2371	2067.89	67.1352	4.94124
ENSONIT00000000166.1	7227	6923.89	44	0.967198
ENSONIT00000000167.1	6312	6008.89	0	0
ENSONIT00000000168.1	2126	1822.89	33	2.75528
ENSONIT00000000169.1	6003	5699.89	265.363	7.08577
ENSONIT00000000170.1	693	395.453	7	2.69412
ENSONIT00000000171.1	4604	4300.89	17.8485	0.63162
ENSONIT00000000172.1	1077	773.891	1.78839	0.351719
ENSONIT00000000173.1	987	683.96	33	7.34338
ENSONIT00000000174.1	6844	6540.89	44.1264	1.02677
ENSONIT00000000175.1	3775	3471.89	2	0.0876752
ENSONIT00000000176.1	1338	1034.89	51	7.50047
ENSONIT00000000177.1	7865	7561.89	25.5897	0.515047
ENSONIT00000000178.1	4710	4406.89	1.06676	0.0368422
ENSONIT00000000179.1	6386	6082.89	52	1.30109
ENSONIT00000000180.1	2559	2255.89	0	0
ENSONIT00000000181.1	9117	8813.89	0	0
ENSONIT00000000182.1	12218	11914.9	61.6781	0.787869
ENSONIT00000000183.1	855	553.024	27	7.43075
ENSONIT00000000184.1	2193	1889.89	8	0.644267
ENSONIT00000000185.1	1704	1400.89	0	0
ENSONIT00000000186.1	3249	2945.89	15	0.774975
ENSONIT00000000187.1	1734	1430.89	0	0
ENSONIT00000000188.1	1458	1154.89	0	0
ENSONIT00000000189.1	1374	1070.89	0	0
ENSONIT00000000190.1	3726	3422.89	0	0
ENSONIT00000000191.1	1545	1241.89	0	0
ENSONIT00000000192.1	3799	3495.89	215	9.36038
ENSONIT00000000193.1	1941	1637.89	0	0
ENSONIT00000000194.1	3441	3137.89	4	0.194015
ENSONIT00000000195.1	1623	1319.89	0	0
ENSONIT00000000196.1	1987	1683.89	17.3219	1.56565
ENSONIT00000000197.1	2391	2087.89	152	11.0802
ENSONIT00000000198.1	1707	1403.89	0	0
ENSONIT00000000199.1	665	368.811	55	22.6971
ENSONIT00000000200.1	2070	1766.89	2	0.172279
ENSONIT00000000201.1	552	265.583	0	0
ENSONIT00000000202.1	5547	5243.89	13873.7	402.672
ENSONIT00000000203.1	4068	3764.89	303.302	12.2613
ENSONIT00000000204.1	3111	2807.89	0	0
ENSONIT00000000205.1	2490	2186.89	0	0
ENSONIT00000000206.1	1716	1412.89	1	0.107722
ENSONIT00000000207.1	2172	1868.89	46	3.74616
ENSONIT00000000208.1	1087	783.891	5	0.970794
ENSONIT00000000209.1	2754	2450.89	1	0.0620996
ENSONIT00000000210.1	5231	4927.89	1	0.0308853
ENSONIT00000000211.1	5273	4969.89	2	0.0612486
ENSONIT00000000212.1	2822	2518.89	18.2797	1.10452
ENSONIT00000000213.1	1308	1004.89	0	0
ENSONIT00000000214.1	2786	2482.89	2	0.122599
ENSONIT00000000215.1	3284	2980.89	25	1.27646
ENSONIT00000000216.1	1795	1491.89	2	0.204036
ENSONIT00000000217.1	1350	1046.89	0	0
ENSONIT00000000218.1	2829	2525.89	11	0.662813
ENSONIT00000000219.1	1668	1364.89	0	0
ENSONIT00000000220.1	1342	1038.89	31.0407	4.54751
ENSONIT00000000221.1	630	336.048	4.95933	2.24612
ENSONIT00000000222.1	1335	1031.89	5	0.737478
ENSONIT00000000223.1	3988	3684.89	114	4.70861
ENSONIT00000000224.1	3635	3331.89	10	0.456796
ENSONIT00000000225.1	1509	1205.89	0	0
ENSONIT00000000226.1	2841	2537.89	85	5.09752
ENSONIT00000000227.1	2067	1763.89	0	0
ENSONIT00000000228.1	2127	1823.89	0	0
ENSONIT00000000229.1	2606	2302.89	20	1.32181
ENSONIT00000000230.1	648	352.84	0	0
ENSONIT00000000231.1	3445	3141.89	68	3.29405
ENSONIT00000000232.1	5172	4868.89	827.469	25.8663
ENSONIT00000000233.1	2250	1946.89	12.5306	0.979588
ENSONIT00000000234.1	4822	4518.89	11	0.370488
ENSONIT00000000235.1	4328	4024.89	1	0.0378145
ENSONIT00000000236.1	2552	2248.89	1	0.0676775
ENSONIT00000000237.1	957	654.068	0	0
ENSONIT00000000238.1	6531	6227.89	101	2.46827
ENSONIT00000000239.1	3228	2924.89	8.58553e-05	4.46756e-06
ENSONIT00000000240.1	5451	5147.89	193	5.70612
ENSONIT00000000241.1	5566	5262.89	7	0.202435
ENSONIT00000000242.1	6539	6235.89	0	0
ENSONIT00000000243.1	5601	5297.89	0	0
ENSONIT00000000244.1	6372	6068.89	5.1081	0.128104
ENSONIT00000000245.1	6669	6365.89	9.8919	0.236501
ENSONIT00000000246.1	1464	1160.89	0	0
ENSONIT00000000247.1	1197	893.891	1	0.170266
ENSONIT00000000248.1	3539	3235.89	1	0.0470348
ENSONIT00000000249.1	504	224.191	20	13.5776
ENSONIT00000000250.1	3112	2808.89	2	0.10837
ENSONIT00000000251.1	864	561.903	0	0
ENSONIT00000000252.1	3341	3037.89	5.35311	0.268193
ENSONIT00000000253.1	1071	767.891	1.64689	0.32642
ENSONIT00000000254.1	1866	1562.89	3	0.29215
ENSONIT00000000255.1	2797	2493.89	559	34.1151
ENSONIT00000000256.1	6170	5866.89	9.1068	0.236249
ENSONIT00000000257.1	4173	3869.89	89	3.50029
