target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1211.84	41	1.98106
ENSAMXT00000000013.1	2742	2566.84	41.9113	0.956075
ENSAMXT00000000002.1	698	522.968	7.16013	0.801687
ENSAMXT00000000003.1	2951	2775.84	2	0.0421886
ENSAMXT00000000004.1	4909	4733.84	94.9932	1.175
ENSAMXT00000000005.1	2699	2523.84	0	0
ENSAMXT00000000009.1	4468	4292.84	11	0.15004
ENSAMXT00000000017.1	3702	3526.84	11.1577	0.185246
ENSAMXT00000000006.1	1382	1206.84	78.2682	3.79748
ENSAMXT00000000021.1	1777	1601.84	5.9432	0.217251
ENSAMXT00000000007.1	338	166.388	3	1.05574
ENSAMXT00000000014.1	3833	3657.84	2953.83	47.2847
ENSAMXT00000000008.1	730	554.913	1	0.10552
ENSAMXT00000000010.1	3144	2968.84	75	1.47922
ENSAMXT00000000012.1	1317	1141.84	8.31952	0.426632
ENSAMXT00000000020.1	4361	4185.84	16.2514	0.227335
ENSAMXT00000000032.1	6532	6356.84	528.958	4.87236
ENSAMXT00000000011.1	487	312.224	67.4635	12.6521
ENSAMXT00000000019.1	4510	4334.84	335.26	4.52864
ENSAMXT00000000015.1	1354	1178.84	10.5302	0.523049
ENSAMXT00000000016.1	1460	1284.84	19.7105	0.898274
ENSAMXT00000000018.1	1955	1779.84	22.4988	0.74018
ENSAMXT00000000026.1	4946	4770.84	163	2.00056
ENSAMXT00000000022.1	1361	1185.84	23.8111	1.17575
ENSAMXT00000000029.1	1836	1660.84	10	0.352559
ENSAMXT00000000023.1	411	237.18	155	38.266
ENSAMXT00000000024.1	6022	5846.84	146.496	1.46711
ENSAMXT00000000027.1	5983	5807.84	0	0
ENSAMXT00000000025.1	611	435.968	244.51	32.8398
ENSAMXT00000000028.1	398	224.365	15	3.91467
ENSAMXT00000000031.1	1558	1382.84	1.01431	0.0429496
ENSAMXT00000000030.1	587	412.012	8	1.13695
ENSAMXT00000000052.1	7118	6942.84	9.20946	0.0776706
ENSAMXT00000000033.1	1117	941.837	256	15.9156
ENSAMXT00000000034.1	1170	994.837	9	0.529724
ENSAMXT00000000036.1	2322	2146.84	38.1004	1.03918
ENSAMXT00000000035.1	3873	3697.84	303	4.79793
ENSAMXT00000000041.1	3969	3793.84	122	1.88296
ENSAMXT00000000039.1	1715	1539.84	12	0.456316
ENSAMXT00000000037.1	4153	3977.84	20	0.294403
ENSAMXT00000000043.1	1547	1371.84	134	5.71954
ENSAMXT00000000065.1	2244	2068.84	3	0.0849091
ENSAMXT00000000038.1	2289	2113.84	1279	35.4289
ENSAMXT00000000040.1	2212	2036.84	6310.58	181.415
ENSAMXT00000000042.1	1829	1653.84	46	1.62864
ENSAMXT00000000044.1	1955	1779.84	5.49375	0.180737
ENSAMXT00000000051.1	3826	3650.84	86.9662	1.39482
ENSAMXT00000000045.1	2440	2264.84	1.01027	0.0261191
ENSAMXT00000000046.1	1286	1110.84	56	2.95187
ENSAMXT00000000047.1	7797	7621.84	36.3433	0.279205
ENSAMXT00000000048.1	1002	826.837	12	0.849807
ENSAMXT00000000049.1	1274	1098.84	208.779	11.1253
ENSAMXT00000000050.1	6515	6339.84	179.925	1.66178
ENSAMXT00000000053.1	1652	1476.84	138	5.47149
ENSAMXT00000000054.1	4869	4693.84	0	0
ENSAMXT00000000063.1	1407	1231.84	82	3.8978
ENSAMXT00000000058.1	2714	2538.84	1536	35.4255
ENSAMXT00000000056.1	843	667.913	5	0.438338
ENSAMXT00000000055.1	4261	4085.84	9	0.128979
ENSAMXT00000000057.1	4748	4572.84	197	2.52255
ENSAMXT00000000059.1	5094	4918.84	170	2.0237
ENSAMXT00000000060.1	4119	3943.84	42	0.623576
ENSAMXT00000000062.1	4425	4249.84	37	0.509787
ENSAMXT00000000061.1	2803	2627.84	76.3628	1.70154
ENSAMXT00000000067.1	2352	2176.84	1392.12	37.4465
ENSAMXT00000000064.1	498	323.193	1	0.181175
ENSAMXT00000000072.1	1206	1030.84	37	2.1017
ENSAMXT00000000098.1	3336	3160.84	59	1.09297
ENSAMXT00000000069.1	2395	2219.84	0	0
ENSAMXT00000000070.1	1471	1295.84	69.7886	3.1535
ENSAMXT00000000066.1	2866	2690.84	5.00461	0.108904
ENSAMXT00000000068.1	1562	1386.84	0	0
ENSAMXT00000000074.1	1686	1510.84	271	10.5029
ENSAMXT00000000071.1	1616	1440.84	78	3.16985
ENSAMXT00000000073.1	5684	5508.84	211.947	2.25282
ENSAMXT00000000075.1	11921	11745.8	27	0.134598
ENSAMXT00000000077.1	2640	2464.84	6.20546	0.147416
ENSAMXT00000000078.1	4271	4095.84	119	1.70123
ENSAMXT00000000076.1	1158	982.837	205	12.2133
ENSAMXT00000000079.1	3280	3104.84	25.3767	0.478581
ENSAMXT00000000080.1	1413	1237.84	6.01424	0.284496
ENSAMXT00000000081.1	2343	2167.84	430.331	11.6234
ENSAMXT00000000082.1	1240	1064.84	5	0.274945
ENSAMXT00000000083.1	1080	904.837	3	0.194138
ENSAMXT00000000084.1	1912	1736.84	45.3042	1.52735
ENSAMXT00000000085.1	1319	1143.84	38	1.94526
ENSAMXT00000000086.1	4010	3834.84	481.669	7.35463
ENSAMXT00000000089.1	1778	1602.84	16	0.584507
ENSAMXT00000000092.1	2043	1867.84	212	6.64593
ENSAMXT00000000087.1	768	592.913	0	0
ENSAMXT00000000088.1	743	567.913	4	0.412418
ENSAMXT00000000090.1	1204	1028.84	6	0.341479
ENSAMXT00000000093.1	1601	1425.84	1	0.0410666
ENSAMXT00000000091.1	504	329.16	0	0
ENSAMXT00000000094.1	1738	1562.84	21	0.786801
ENSAMXT00000000095.1	766	590.913	40.4988	4.01308
ENSAMXT00000000103.1	6249	6073.84	76	0.732672
ENSAMXT00000000096.1	4218	4042.84	134.561	1.94891
ENSAMXT00000000097.1	7264	7088.84	3401.5	28.0967
ENSAMXT00000000104.1	2735	2559.84	34	0.777724
ENSAMXT00000000099.1	1614	1438.84	1	0.0406956
ENSAMXT00000000111.1	3849	3673.84	75	1.19536
ENSAMXT00000000100.1	3188	3012.84	5.1312	0.0997247
ENSAMXT00000000101.1	696	520.968	1	0.112395
ENSAMXT00000000102.1	2344	2168.84	98.0635	2.64752
ENSAMXT00000000105.1	577	402.012	155	22.5763
ENSAMXT00000000106.1	1206	1030.84	18	1.02245
ENSAMXT00000000146.1	6163	5987.84	1534	15.0008
ENSAMXT00000000107.1	2308	2132.84	21.4074	0.587714
ENSAMXT00000000108.1	5144	4968.84	9.05446	0.106701
ENSAMXT00000000109.1	4893	4717.84	419	5.20032
ENSAMXT00000000122.1	4701	4525.84	412.681	5.33918
ENSAMXT00000000110.1	1316	1140.84	1	0.0513258
ENSAMXT00000000113.1	3032	2856.84	1986	40.7055
ENSAMXT00000000112.1	2140	1964.84	76	2.26488
ENSAMXT00000000114.1	3281	3105.84	1107	20.8703
ENSAMXT00000000115.1	3763	3587.84	568	9.26989
ENSAMXT00000000130.1	1119	943.837	0	0
ENSAMXT00000000116.1	2365	2189.84	645.458	17.259
ENSAMXT00000000117.1	1135	959.837	6	0.366027
ENSAMXT00000000118.1	2339	2163.84	432.542	11.7048
ENSAMXT00000000119.1	3476	3300.84	18	0.319306
ENSAMXT00000000120.1	1061	885.837	251	16.5912
ENSAMXT00000000121.1	2042	1866.84	38	1.19189
ENSAMXT00000000123.1	4275	4099.84	6	0.0856927
ENSAMXT00000000124.1	4766	4590.84	773	9.85931
ENSAMXT00000000125.1	3535	3359.84	797.171	13.8929
ENSAMXT00000000126.1	4829	4653.84	642.235	8.08057
ENSAMXT00000000127.1	883	707.913	15	1.24071
ENSAMXT00000000128.1	1063	887.837	2	0.131903
ENSAMXT00000000129.1	3089	2913.84	28.8584	0.579917
ENSAMXT00000000133.1	2249	2073.84	269	7.59516
ENSAMXT00000000131.1	2491	2315.84	155	3.91907
ENSAMXT00000000132.1	2529	2353.84	0	0
ENSAMXT00000000135.1	2119	1943.84	19.9152	0.599908
