target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7216.67	1382.7	31.5686
ENSONIT00000000002.1	2865	2554.67	86.5915	5.58475
ENSONIT00000000003.1	1261	950.669	845.291	146.501
ENSONIT00000000004.1	5342	5031.67	233	7.62969
ENSONIT00000000005.1	3889	3578.67	227	10.4512
ENSONIT00000000006.1	948	637.824	0	0
ENSONIT00000000007.1	3180	2869.67	480	27.5596
ENSONIT00000000008.1	487	201.515	4768	3898.45
ENSONIT00000000009.1	1438	1127.67	1	0.146111
ENSONIT00000000010.1	837	527.596	1	0.312293
ENSONIT00000000011.1	7684	7373.67	299	6.68114
ENSONIT00000000012.1	6448	6137.67	592.679	15.9103
ENSONIT00000000013.1	1659	1348.67	203.767	24.8938
ENSONIT00000000014.1	1419	1108.67	293.06	43.553
ENSONIT00000000015.1	903	593.066	51.4945	14.3061
ENSONIT00000000016.1	1940	1629.67	117.251	11.8544
ENSONIT00000000017.1	933	622.911	0	0
ENSONIT00000000018.1	3892	3581.67	777	35.7436
ENSONIT00000000019.1	1045	734.669	198.418	44.4993
ENSONIT00000000020.1	2356	2045.67	5	0.402715
ENSONIT00000000021.1	4333	4022.67	1	0.040959
ENSONIT00000000022.1	1581	1270.67	5	0.648337
ENSONIT00000000023.1	4614	4303.67	2099.83	80.3914
ENSONIT00000000024.1	3198	2887.67	204.165	11.6492
ENSONIT00000000025.1	4590	4279.67	9	0.346494
ENSONIT00000000026.1	681	375.681	151	66.2249
ENSONIT00000000027.1	828	518.733	0	0
ENSONIT00000000028.1	1315	1004.67	1	0.163999
ENSONIT00000000029.1	771	462.659	0	0
ENSONIT00000000030.1	705	398.639	3	1.23995
ENSONIT00000000031.1	1431	1120.67	2.09896	0.308595
ENSONIT00000000032.1	732	424.736	5	1.93961
ENSONIT00000000033.1	1746	1435.67	0	0
ENSONIT00000000034.1	489	203.157	5	4.05511
ENSONIT00000000035.1	4196	3885.67	2184.81	92.6426
ENSONIT00000000036.1	663	358.579	0	0
ENSONIT00000000037.1	1910	1599.67	6	0.617994
ENSONIT00000000038.1	444	167.635	3	2.94863
ENSONIT00000000039.1	3574	3263.67	513	25.8985
ENSONIT00000000040.1	4793	4482.67	45	1.65401
ENSONIT00000000041.1	3381	3070.67	0	0
ENSONIT00000000042.1	2159	1848.67	198	17.6469
ENSONIT00000000043.1	2452	2141.67	288.193	22.1715
ENSONIT00000000044.1	1593	1282.67	0	0
ENSONIT00000000045.1	2701	2390.67	3.81923	0.26322
ENSONIT00000000046.1	822	512.802	0.18077	0.0580818
ENSONIT00000000047.1	5615	5304.67	703.62	21.8546
ENSONIT00000000048.1	3524	3213.67	32.1328	1.64745
ENSONIT00000000049.1	2216	1905.67	485.762	41.999
ENSONIT00000000050.1	3987	3676.67	21	0.941083
ENSONIT00000000051.1	1779	1468.67	474	53.1763
ENSONIT00000000052.1	4225	3914.67	23.9676	1.00877
ENSONIT00000000053.1	252	52.6125	7	21.9216
ENSONIT00000000054.1	1925	1614.67	9	0.91838
ENSONIT00000000055.1	2408	2097.67	117	9.18993
ENSONIT00000000056.1	621	319.15	0	0
ENSONIT00000000057.1	2756	2445.67	2081	140.197
ENSONIT00000000058.1	1560	1249.67	248	32.6979
ENSONIT00000000059.1	4662	4351.67	712	26.958
ENSONIT00000000060.1	3705	3394.67	373	18.104
ENSONIT00000000061.1	5249	4938.67	76	2.53552
ENSONIT00000000062.1	3788	3477.67	25.0047	1.18467
ENSONIT00000000063.1	1281	970.669	0	0
ENSONIT00000000064.1	1084	773.669	1	0.212965
ENSONIT00000000065.1	932	621.921	108	28.6122
ENSONIT00000000066.1	1914	1603.67	201	20.6512
ENSONIT00000000067.1	989	678.703	222	53.8935
ENSONIT00000000068.1	2325	2014.67	164	13.4123
ENSONIT00000000069.1	3923	3612.67	415	18.9271
ENSONIT00000000070.1	3705	3394.67	1261	61.2041
ENSONIT00000000071.1	2997	2686.67	0.000716569	4.39448e-05
ENSONIT00000000072.1	1976	1665.67	74	7.31992
