target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	25.865	1.43902	3.35076
ENSELUT00000043746.1	57	25.865	1.43902	3.35076
ENSELUT00000037603.1	57	25.865	0	0
ENSELUT00000037622.1	60	27.7571	2	4.33954
ENSELUT00000043756.1	60	27.7571	2	4.33954
ENSELUT00000036957.1	291	143.523	57.4976	24.1277
ENSELUT00000043605.1	309	160.079	21.0842	7.93251
ENSELUT00000013117.1	339	188.227	26.3294	8.42453
ENSELUT00000013112.1	252	109.073	0	0
ENSELUT00000036937.1	291	143.523	38.4823	16.1483
ENSELUT00000036941.1	273	127.344	0	0
ENSELUT00000036943.1	306	157.286	0	0
ENSELUT00000036966.1	306	157.286	48.4356	18.5465
ENSELUT00000036993.1	288	140.808	12.7836	5.46781
ENSELUT00000037021.1	291	143.523	9.82346	4.12222
ENSELUT00000043560.1	333	182.518	0	0
ENSELUT00000037132.1	354	202.464	93.359	27.7713
ENSELUT00000037138.1	333	182.518	27.9439	9.2208
ENSELUT00000043572.1	315	165.66	31	11.2702
ENSELUT00000037291.1	348	196.734	4.93561	1.51095
ENSELUT00000037323.1	333	182.518	18.9578	6.25561
ENSELUT00000037354.1	348	196.734	8.34934	2.556
ENSELUT00000043648.1	309	160.079	14.8547	5.58878
ENSELUT00000037369.1	333	182.518	0	0
ENSELUT00000037383.1	330	179.696	22.3164	7.47953
ENSELUT00000037448.1	333	182.518	5.59057	1.84475
ENSELUT00000043712.1	318	168.456	15	5.36282
ENSELUT00000037530.1	333	182.518	3.42138	1.12897
ENSELUT00000037640.1	303	154.531	0	0
ENSELUT00000000007.1	975	819.678	51265	3766.74
ENSELUT00000000011.1	1050	894.678	81359	5476.8
ENSELUT00000000017.1	1551	1395.68	474730	20485.6
ENSELUT00000000020.1	691	535.719	201176	22616.6
ENSELUT00000000022.1	168	45.8299	9735	12793.1
ENSELUT00000000023.1	682	526.729	81825	9355.92
ENSELUT00000000024.1	785	629.703	300664	28756.3
ENSELUT00000000026.1	349	197.692	10580	3223.18
ENSELUT00000000028.1	297	149.038	8816	3562.56
ENSELUT00000000029.1	1381	1225.68	81466	4003.02
ENSELUT00000000033.1	1839	1683.68	48554	1736.82
ENSELUT00000000034.1	522	367.278	16955	2780.29
ENSELUT00000000036.1	1137	981.678	104438	6407.33
ENSELUT00000019592.1	708	552.719	8.65268	0.942831
ENSELUT00000019593.1	4511	4355.68	90.3271	1.24896
ENSELUT00000019594.1	4531	4375.68	110.94	1.52697
ENSELUT00000019595.1	4384	4228.68	37.5579	0.534914
ENSELUT00000019596.1	3561	3405.68	4.52265	0.0799791
ENSELUT00000019574.1	1629	1473.68	185.103	7.56482
ENSELUT00000019438.1	3662	3506.68	6	0.103049
ENSELUT00000019409.1	1280	1124.68	1271.21	68.0734
ENSELUT00000019402.1	975	819.678	72.7355	5.3443
ENSELUT00000019395.1	1083	927.678	180.029	11.6878
ENSELUT00000019290.1	600	444.85	4.67944	0.633531
ENSELUT00000019243.1	429	275.502	116	25.3583
ENSELUT00000019228.1	2097	1941.68	5	0.155089
ENSELUT00000019086.1	4509	4353.68	0	0
ENSELUT00000019091.1	4367	4211.68	0	0
ENSELUT00000019093.1	4024	3868.68	0	0
ENSELUT00000018995.1	1461	1305.68	93.5851	4.31676
ENSELUT00000019012.1	1755	1599.68	4.64008	0.174695
ENSELUT00000018900.1	4974	4818.68	4.08257	0.0510262
ENSELUT00000018903.1	1902	1746.68	2.09103	0.0721
ENSELUT00000018901.1	6151	5995.68	1261	12.6667
ENSELUT00000018898.1	2022	1866.68	642.663	20.7349
ENSELUT00000018899.1	1921	1765.68	824.531	28.1244
ENSELUT00000018776.1	1584	1428.68	0	0
ENSELUT00000018774.1	456	302.08	2.07492	0.413682
ENSELUT00000018782.1	453	299.11	25.3691	5.10813
ENSELUT00000018563.1	5430	5274.68	358.549	4.09393
ENSELUT00000018091.1	597	441.854	7.80467	1.06381
ENSELUT00000018094.1	3092	2936.68	12.5914	0.258228
ENSELUT00000018069.1	6177	6021.68	641.083	6.41186
ENSELUT00000018071.1	6060	5904.68	11.6032	0.11835
ENSELUT00000018075.1	5249	5093.68	842.101	9.95681
ENSELUT00000018064.1	1683	1527.68	2	0.0788471
ENSELUT00000018065.1	1885	1729.68	0	0
ENSELUT00000018014.1	4172	4016.68	324.337	4.86314
ENSELUT00000018021.1	1858	1702.68	736.553	26.0531
ENSELUT00000018011.1	1421	1265.68	1875	89.2207
ENSELUT00000018006.1	1809	1653.68	0	0
ENSELUT00000017993.1	453	299.11	0	0
ENSELUT00000017644.1	726	570.719	3.719	0.392457
ENSELUT00000017648.1	13089	12933.7	1180	5.49474
ENSELUT00000017666.1	12885	12729.7	9.03446e-05	4.27437e-07
ENSELUT00000017633.1	747	591.714	0	0
ENSELUT00000017635.1	2969	2813.68	61	1.3057
ENSELUT00000017647.1	1239	1083.68	0	0
ENSELUT00000017575.1	5191	5035.68	1159.6	13.8688
ENSELUT00000017586.1	5104	4948.68	0	0
ENSELUT00000017606.1	3867	3711.68	89.9093	1.45889
ENSELUT00000017622.1	3204	3048.68	74.4886	1.47152
ENSELUT00000017589.1	921	765.678	30980.9	2436.89
ENSELUT00000017594.1	1521	1365.68	92033.1	4058.67
ENSELUT00000017526.1	1029	873.678	82.43	5.68227
ENSELUT00000017539.1	1179	1023.68	431	25.3572
ENSELUT00000017528.1	1204	1048.68	1157	66.4475
ENSELUT00000017533.1	5835	5679.68	143.696	1.52373
ENSELUT00000017550.1	5642	5486.68	1185.3	13.0109
ENSELUT00000017537.1	4887	4731.68	1155.32	14.7053
ENSELUT00000017560.1	2163	2007.68	112.612	3.37816
ENSELUT00000017568.1	1104	948.678	106.734	6.77596
ENSELUT00000017522.1	2061	1905.68	145.25	4.59043
ENSELUT00000017525.1	1995	1839.68	0	0
ENSELUT00000017542.1	1077	921.678	149.75	9.78534
ENSELUT00000017510.1	2709	2553.68	463.224	10.9248
ENSELUT00000017499.1	360	208.203	842	243.563
ENSELUT00000017214.1	2777	2621.68	1027	23.5928
ENSELUT00000017196.1	4279	4123.68	893.216	13.0455
ENSELUT00000017127.1	672	516.738	1	0.116551
ENSELUT00000017157.1	1647	1491.68	0	0
ENSELUT00000017187.1	1684	1528.68	0	0
ENSELUT00000017115.1	2515	2359.68	133.987	3.41976
