target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	25.2138	0	0
ENSELUT00000043746.1	57	25.2138	0	0
ENSELUT00000037603.1	57	25.2138	0	0
ENSELUT00000037622.1	60	27.2056	0	0
ENSELUT00000043756.1	60	27.2056	0	0
ENSELUT00000036957.1	291	142.837	3.33216	1.07286
ENSELUT00000043605.1	309	158.949	0	0
ENSELUT00000013117.1	339	186.445	0	0
ENSELUT00000013112.1	252	109.068	0	0
ENSELUT00000036937.1	291	142.837	0	0
ENSELUT00000036941.1	273	127.019	0	0
ENSELUT00000036943.1	306	156.223	0	0
ENSELUT00000036966.1	306	156.223	5.55439	1.63512
ENSELUT00000036993.1	288	140.177	0	0
ENSELUT00000037021.1	291	142.837	0	0
ENSELUT00000043560.1	333	180.894	0	0
ENSELUT00000037132.1	354	200.521	0	0
ENSELUT00000037138.1	333	180.894	0	0
ENSELUT00000043572.1	315	164.379	1	0.279776
ENSELUT00000037291.1	348	194.879	0	0
ENSELUT00000037323.1	333	180.894	0	0
ENSELUT00000037354.1	348	194.879	0	0
ENSELUT00000043648.1	309	158.949	0	0
ENSELUT00000037369.1	333	180.894	2	0.508468
ENSELUT00000037383.1	330	178.112	0	0
ENSELUT00000037448.1	333	180.894	0	0
ENSELUT00000043712.1	318	167.146	0	0
ENSELUT00000037530.1	333	180.894	0	0
ENSELUT00000037640.1	303	153.539	0	0
ENSELUT00000000007.1	975	816.461	19813	1116.02
ENSELUT00000000011.1	1050	891.451	23543	1214.57
ENSELUT00000000017.1	1551	1392.45	342690	11318.2
ENSELUT00000000020.1	691	532.611	101578	8770.95
ENSELUT00000000022.1	168	46.1956	7163	7131.02
ENSELUT00000000023.1	682	523.624	52637	4623.05
ENSELUT00000000024.1	785	626.532	139471	10237.6
ENSELUT00000000026.1	349	195.834	5401	1268.36
ENSELUT00000000028.1	297	148.153	6156	1910.94
ENSELUT00000000029.1	1381	1222.45	41386	1556.97
ENSELUT00000000033.1	1839	1680.45	39624	1084.4
ENSELUT00000000034.1	522	364.16	12724	1606.9
ENSELUT00000000036.1	1137	978.451	74741	3512.99
ENSELUT00000019592.1	708	549.59	0	0
ENSELUT00000019593.1	4511	4352.45	36.9252	0.390163
ENSELUT00000019594.1	4531	4372.45	43.0449	0.452745
ENSELUT00000019595.1	4384	4225.45	14.5908	0.158805
ENSELUT00000019596.1	3561	3402.45	3.4391	0.0464847
ENSELUT00000019574.1	1629	1470.45	149.2	4.66633
ENSELUT00000019438.1	3662	3503.45	74	0.971388
ENSELUT00000019409.1	1280	1121.45	877.593	35.989
ENSELUT00000019402.1	975	816.461	128.711	7.25
ENSELUT00000019395.1	1083	924.451	155.534	7.73746
ENSELUT00000019290.1	600	441.777	27.7359	2.88733
ENSELUT00000019243.1	429	272.557	73	12.3175
ENSELUT00000019228.1	2097	1938.45	26	0.616844
ENSELUT00000019086.1	4509	4350.45	70.0176	0.740168
ENSELUT00000019091.1	4367	4208.45	912.352	9.97005
ENSELUT00000019093.1	4024	3865.45	183.63	2.18474
ENSELUT00000018995.1	1461	1302.45	26.3167	0.929239
ENSELUT00000019012.1	1755	1596.45	27.849	0.802252
ENSELUT00000018900.1	4974	4815.45	7.26968	0.0694281
ENSELUT00000018903.1	1902	1743.45	6.61476	0.174486
ENSELUT00000018901.1	6151	5992.45	8104	62.1945
ENSELUT00000018898.1	2022	1863.45	1188.27	29.3261
ENSELUT00000018899.1	1921	1762.45	16805.4	438.52
ENSELUT00000018776.1	1584	1425.45	470.808	15.1897
ENSELUT00000018774.1	456	298.952	11.2946	1.73751
ENSELUT00000018782.1	453	296.027	101.121	15.7096
ENSELUT00000018563.1	5430	5271.45	509.887	4.44837
ENSELUT00000018091.1	597	438.783	23.1478	2.42614
ENSELUT00000018094.1	3092	2933.45	928.286	14.5533
ENSELUT00000018069.1	6177	6018.45	254.494	1.94469
ENSELUT00000018071.1	6060	5901.45	40.3051	0.314093
ENSELUT00000018075.1	5249	5090.45	204.919	1.85133
ENSELUT00000018064.1	1683	1524.45	82.7193	2.49546
ENSELUT00000018065.1	1885	1726.45	51.2807	1.36602
ENSELUT00000018014.1	4172	4013.45	423.218	4.84957
ENSELUT00000018021.1	1858	1699.45	966.963	26.1673
ENSELUT00000018011.1	1421	1262.45	3072	111.909
ENSELUT00000018006.1	1809	1650.45	99	2.75861
ENSELUT00000017993.1	453	296.027	0	0
ENSELUT00000017644.1	726	567.583	23.4763	1.9022
ENSELUT00000017648.1	13089	12930.5	2143.3	7.62302
ENSELUT00000017666.1	12885	12726.5	182.696	0.660206
ENSELUT00000017633.1	747	588.555	7	0.546976
ENSELUT00000017635.1	2969	2810.45	19	0.31091
ENSELUT00000017647.1	1239	1080.45	0	0
