target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1480.38	1617	73.4322
ENSORLT00000000002.1	1641	1507.38	190.146	8.48037
ENSORLT00000000003.1	1389	1255.38	101.854	5.45445
ENSORLT00000000004.1	537	403.428	5	0.833211
ENSORLT00000000005.1	520	386.468	129	22.4402
ENSORLT00000000007.1	1809	1675.38	291	11.677
ENSORLT00000000008.1	1098	964.384	108	7.52878
ENSORLT00000000010.1	1071	937.384	0	0
ENSORLT00000000011.1	1071	937.384	0	0
ENSORLT00000000006.1	936	802.384	101	8.46234
ENSORLT00000000009.1	1271	1137.38	293	17.3186
ENSORLT00000000013.1	1707	1573.38	16	0.683654
ENSORLT00000000014.1	1062	928.384	0	0
ENSORLT00000000012.1	1495	1361.38	328	16.1974
ENSORLT00000000016.1	1239	1105.38	0	0
ENSORLT00000000022.1	1851	1717.38	0	0
ENSORLT00000000024.1	1770	1636.38	2	0.0821667
ENSORLT00000000015.1	1368	1234.38	89	4.8472
ENSORLT00000000017.1	150	39.0777	214	368.159
ENSORLT00000000019.1	972	838.384	81.7171	6.55272
ENSORLT00000000021.1	2412	2278.38	260	7.6718
ENSORLT00000000020.1	267	137.352	16	7.83132
ENSORLT00000000023.1	375	242.145	1.66092e-08	4.61131e-09
ENSORLT00000000025.1	312	180.559	0	0
ENSORLT00000000027.1	735	601.384	409.047	45.727
ENSORLT00000000026.1	489	355.543	0	0
ENSORLT00000000028.1	987	853.384	156	12.2894
ENSORLT00000000031.1	4884	4750.38	166	2.34926
ENSORLT00000000030.1	750	616.384	173	18.8689
ENSORLT00000000032.1	726	592.384	6.47588	0.734931
ENSORLT00000000033.1	807	673.384	26.5241	2.64807
ENSORLT00000000034.1	1818	1684.38	306	12.2133
ENSORLT00000000039.1	3546	3412.38	776	15.2881
ENSORLT00000000036.1	2979	2845.38	523.409	12.3666
ENSORLT00000000038.1	2802	2668.38	775.591	19.5405
ENSORLT00000000037.1	1376	1242.38	745	40.3136
ENSORLT00000000040.1	126	24.4717	67.1026	184.343
ENSORLT00000000041.1	756	622.384	1600.36	172.866
ENSORLT00000000042.1	1503	1369.38	1941	95.2909
ENSORLT00000000043.1	1311	1177.38	785.087	44.8281
ENSORLT00000000045.1	1911	1777.38	0	0
ENSORLT00000000046.1	1818	1684.38	4	0.15965
ENSORLT00000000047.1	966	832.384	45	3.63446
ENSORLT00000000053.1	2118	1984.38	9	0.304907
ENSORLT00000000052.1	2925	2791.38	194	4.67233
ENSORLT00000000050.1	447	313.611	5	1.07184
ENSORLT00000000051.1	597	463.384	26	3.7721
ENSORLT00000000054.1	9129	8995.38	1316.29	9.83749
ENSORLT00000000055.1	1438	1304.38	3924.94	202.292
ENSORLT00000000060.1	2820	2686.38	179	4.47957
ENSORLT00000000058.1	1737	1603.38	1	0.0419289
ENSORLT00000000059.1	561	427.428	0	0
ENSORLT00000000061.1	588	454.384	0	0
ENSORLT00000000062.1	2190	2056.38	734	23.9962
ENSORLT00000000063.1	1194	1060.38	326	20.6683
ENSORLT00000000064.1	585	451.384	0	0
ENSORLT00000000072.1	4620	4486.38	2	0.0299698
ENSORLT00000000066.1	416	282.73	1	0.237782
ENSORLT00000000067.1	1137	1003.38	73	4.8911
ENSORLT00000000068.1	1154	1020.38	1	0.0658851
ENSORLT00000000071.1	2130	1996.38	9	0.303075
ENSORLT00000000073.1	1341	1207.38	0	0
ENSORLT00000000069.1	780	646.384	1.59747e-08	1.66147e-09
ENSORLT00000000070.1	768	634.384	1	0.105974
ENSORLT00000000074.1	1482	1348.38	43	2.14391
ENSORLT00000000076.1	4947	4813.38	504	7.03932
ENSORLT00000000075.1	795	661.384	2	0.203295
ENSORLT00000000077.1	2199	2065.38	0	0
ENSORLT00000000078.1	1770	1636.38	0	0
ENSORLT00000000079.1	1827	1693.38	10	0.397005
ENSORLT00000000080.1	504	370.543	54.2072	9.83488
ENSORLT00000000082.1	657	523.384	0	0
ENSORLT00000000086.1	3076	2942.38	361	8.24819
ENSORLT00000000083.1	2049	1915.38	137	4.80857
ENSORLT00000000085.1	1203	1069.38	103	6.47522
ENSORLT00000000094.1	2772	2638.38	27	0.687982
ENSORLT00000000096.1	2625	2491.38	0	0
ENSORLT00000000098.1	2613	2479.38	0	0
ENSORLT00000000100.1	2244	2110.38	0	0
ENSORLT00000000087.1	1516	1382.38	646	31.4163
ENSORLT00000000089.1	3735	3601.38	157	2.93077
ENSORLT00000000088.1	1320	1186.38	212	12.0133
ENSORLT00000000090.1	2256	2122.38	1	0.0316758
ENSORLT00000000091.1	873	739.384	15.4952	1.4089
ENSORLT00000000092.1	834	700.384	24.5048	2.35215
ENSORLT00000000110.1	4494	4360.38	64	0.986748
ENSORLT00000000093.1	2019	1885.38	7	0.249603
ENSORLT00000000095.1	1167	1033.38	1913	124.453
ENSORLT00000000097.1	173	55.7417	4	4.82426
ENSORLT00000000099.1	1190	1056.38	114.519	7.28794
ENSORLT00000000101.1	1349	1215.38	1531	84.6862
ENSORLT00000000102.1	1148	1014.38	0	0
ENSORLT00000000103.1	1385	1251.38	503.481	27.0485
ENSORLT00000000104.1	1205	1071.38	1.52815e-05	9.58897e-07
ENSORLT00000000106.1	1013	879.384	0	0
ENSORLT00000000105.1	957	823.384	25	2.04121
ENSORLT00000000111.1	1317	1183.38	114.992	6.53269
ENSORLT00000000112.1	1226	1092.38	1762.01	108.439
ENSORLT00000000107.1	858	724.384	3	0.278422
ENSORLT00000000108.1	2385	2251.38	648	19.3498
ENSORLT00000000113.1	1389	1255.38	23	1.23169
ENSORLT00000000114.1	1532	1398.38	6680	321.145
ENSORLT00000000117.1	1041	907.384	0	0
ENSORLT00000000116.1	1392	1258.38	307	16.4012
ENSORLT00000000115.1	2217	2083.38	3	0.0968062
ENSORLT00000000119.1	1323	1189.38	4	0.226094
ENSORLT00000000120.1	3732	3598.38	389	7.26763
ENSORLT00000000122.1	1545	1411.38	367	17.4812
ENSORLT00000000123.1	6681	6547.38	325	3.33708
ENSORLT00000000124.1	1062	928.384	0	0
ENSORLT00000000126.1	1900	1766.38	218	8.29703
ENSORLT00000000127.1	1254	1120.38	225	13.501
ENSORLT00000000130.1	5304	5170.38	322	4.18682
ENSORLT00000000131.1	2197	2063.38	667	21.7319
ENSORLT00000000132.1	1189	1055.38	508.833	32.4127
ENSORLT00000000133.1	1168	1034.38	13.1671	0.855776
ENSORLT00000000134.1	3974	3840.38	29.5706	0.51765
ENSORLT00000000136.1	3896	3762.38	724.429	12.9445
ENSORLT00000000138.1	2871	2737.38	10	0.245593
ENSORLT00000000135.1	2631	2497.38	360.865	9.71427
ENSORLT00000000137.1	2231	2097.38	89.1353	2.85708
ENSORLT00000000139.1	2352	2218.38	94	2.84867
ENSORLT00000000144.1	2679	2545.38	1775	46.8809
ENSORLT00000000140.1	1398	1264.38	6	0.319024
ENSORLT00000000143.1	6492	6358.38	20	0.211463
ENSORLT00000000142.1	2583	2449.38	5	0.137235
ENSORLT00000000145.1	1912	1778.38	393.772	14.8857
ENSORLT00000000146.1	925	791.384	84.2284	7.15521
ENSORLT00000000149.1	1356	1222.38	1989	109.39
ENSORLT00000000151.1	4809	4675.38	1484	21.3387
ENSORLT00000000147.1	816	682.384	135	13.3001
ENSORLT00000000148.1	417	283.73	143	33.883
ENSORLT00000000150.1	2538	2404.38	271.001	7.57737
ENSORLT00000000154.1	2031	1897.38	265	9.38948
ENSORLT00000000153.1	128	25.6455	149.556	392.052
ENSORLT00000000160.1	4002	3868.38	194	3.3715
ENSORLT00000000155.1	1438	1304.38	152	7.8341
ENSORLT00000000156.1	681	547.384	86	10.5623
ENSORLT00000000158.1	1974	1840.38	7	0.255706
ENSORLT00000000162.1	2028	1894.38	0	0
ENSORLT00000000157.1	702	568.384	38	4.49462
ENSORLT00000000164.1	2096	1962.38	148	5.07024
ENSORLT00000000161.1	525	391.468	67	11.5061
ENSORLT00000000163.1	2799	2665.38	10	0.252227
ENSORLT00000000166.1	2715	2581.38	899	23.4131
ENSORLT00000000167.1	1424	1290.38	99.0069	5.15819
ENSORLT00000000168.1	3646	3512.38	138	2.64136
ENSORLT00000000174.1	2824	2690.38	1148.43	28.6972
ENSORLT00000000169.1	441	307.611	16.186	3.53745
ENSORLT00000000170.1	2390	2256.38	509	15.1655
ENSORLT00000000172.1	490	356.543	964	181.767
ENSORLT00000000173.1	796	662.384	21	2.13138
ENSORLT00000000175.1	1476	1342.38	154	7.7125
ENSORLT00000000178.1	1881	1747.38	1	0.0384736
ENSORLT00000000183.1	3531	3397.38	956	18.9175
ENSORLT00000000176.1	1002	868.384	557	43.1216
ENSORLT00000000177.1	382	249.072	205	55.3325
ENSORLT00000000201.1	5138	5004.38	6231	83.7063
ENSORLT00000000181.1	1614	1480.38	178	8.08345
ENSORLT00000000180.1	1107	973.384	267.85	18.4994
ENSORLT00000000182.1	1063	929.384	166.15	12.0187
ENSORLT00000000184.1	972	838.384	0	0
ENSORLT00000000188.1	2430	2296.38	72.5122	2.12284
ENSORLT00000000190.1	3093	2959.38	408.488	9.27959
ENSORLT00000000185.1	1542	1408.38	3721.2	177.629
ENSORLT00000000187.1	950	816.384	59.8023	4.92464
ENSORLT00000000186.1	429	295.671	16.9793	3.86067
ENSORLT00000000189.1	634	500.384	1.32951	0.178624
ENSORLT00000000195.1	1461	1327.38	5	0.253235
ENSORLT00000000191.1	600	466.384	3.42671	0.493952
ENSORLT00000000192.1	1187	1053.38	230	14.6789
ENSORLT00000000194.1	312	180.559	0	0
ENSORLT00000000200.1	2262	2128.38	2948	93.1169
ENSORLT00000000196.1	312	180.559	0	0
ENSORLT00000000197.1	1011	877.384	33	2.52857
ENSORLT00000000198.1	375	242.145	1.66092e-08	4.61131e-09
ENSORLT00000000199.1	432	298.641	0	0
ENSORLT00000000202.1	507	373.506	27.1886	4.89373
ENSORLT00000000203.1	411	277.786	0	0
ENSORLT00000000205.1	525	391.468	40	6.86934
ENSORLT00000000208.1	1385	1251.38	152.96	8.21747
ENSORLT00000000209.1	942	808.384	75.0401	6.24061
ENSORLT00000000210.1	933	799.384	0	0
ENSORLT00000000206.1	786	652.384	2339.77	241.114
ENSORLT00000000207.1	375	242.145	18.643	5.17595
ENSORLT00000000212.1	1701	1567.38	285.446	12.2433
ENSORLT00000000213.1	1596	1462.38	119.554	5.4961
ENSORLT00000000211.1	312	180.559	0	0
ENSORLT00000000214.1	534	400.428	0.243781	0.0409285
ENSORLT00000000217.1	1245	1111.38	205.784	12.4479
ENSORLT00000000218.1	963	829.384	321.409	26.0527
ENSORLT00000000215.1	1329	1195.38	376	21.1462
ENSORLT00000000216.1	978	844.384	0	0
ENSORLT00000000220.1	1373	1239.38	231.483	12.5564
ENSORLT00000000222.1	722	588.384	54.5165	6.229
ENSORLT00000000219.1	1073	939.384	347	24.8335
ENSORLT00000000227.1	1584	1450.38	371.577	17.2233
ENSORLT00000000238.1	2318	2184.38	732.423	22.5416
ENSORLT00000000241.1	8301	8167.38	24.3045	0.200057
ENSORLT00000000251.1	7728	7594.38	19.6955	0.174352
ENSORLT00000000221.1	615	481.384	0	0
ENSORLT00000000244.1	2452	2318.38	329.451	9.55337
ENSORLT00000000249.1	2344	2210.38	471.549	14.342
ENSORLT00000000225.1	638	504.384	21	2.79904
ENSORLT00000000230.1	1242	1108.38	1	0.0606542
ENSORLT00000000228.1	1869	1735.38	6	0.232438
ENSORLT00000000229.1	504	370.543	40.718	7.38752
ENSORLT00000000234.1	708	574.384	208.596	24.4149
ENSORLT00000000235.1	576	442.428	0	0
ENSORLT00000000236.1	504	370.543	21.5387	3.9078
ENSORLT00000000250.1	2544	2410.38	3.09024	0.0861899
ENSORLT00000000253.1	1764	1630.38	0.909764	0.0375137
ENSORLT00000000237.1	672	538.384	213.044	26.6029
ENSORLT00000000243.1	809	675.384	4	0.398163
ENSORLT00000000239.1	815	681.384	89	8.78111
ENSORLT00000000240.1	477	343.578	0	0
ENSORLT00000000242.1	1188	1054.38	18.2598	1.16426
ENSORLT00000000245.1	1044	910.384	61.8621	4.56826
ENSORLT00000000254.1	1379	1245.38	1318.24	71.1613
ENSORLT00000000256.1	1213	1079.38	14.7558	0.919047
ENSORLT00000000246.1	1152	1018.38	371	24.4914
ENSORLT00000000247.1	1017	883.384	23.1696	1.76327
ENSORLT00000000248.1	945	811.384	3.83044	0.317376
ENSORLT00000000252.1	739	605.384	101	11.2161
ENSORLT00000000257.1	2811	2677.38	753	18.9076
ENSORLT00000000255.1	736	602.384	158.834	17.7265
ENSORLT00000000258.1	796	662.384	307.166	31.1755
ENSORLT00000000259.1	1989	1855.38	87.1455	3.15764
ENSORLT00000000260.1	1314	1180.38	87.9082	5.00677
ENSORLT00000000261.1	660	526.384	59.9153	7.6522
ENSORLT00000000262.1	1014	880.384	79.0847	6.03909
ENSORLT00000000263.1	567	433.428	54.2688	8.41752
ENSORLT00000000265.1	1331	1197.38	431	24.1989
ENSORLT00000000264.1	546	412.428	0	0
ENSORLT00000000268.1	1815	1681.38	103	4.11833
ENSORLT00000000266.1	566	432.428	32.8128	5.10129
ENSORLT00000000267.1	627	493.384	36	4.90533
