target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1475.58	354	14.1294
ENSORLT00000000002.1	1641	1502.58	224.726	8.80843
ENSORLT00000000003.1	1389	1250.58	59.2743	2.79151
ENSORLT00000000004.1	537	398.807	10	1.4768
ENSORLT00000000005.1	520	381.807	2	0.30851
ENSORLT00000000007.1	1809	1670.58	183	6.4516
ENSORLT00000000008.1	1098	959.579	65	3.98948
ENSORLT00000000010.1	1071	932.579	0	0
ENSORLT00000000011.1	1071	932.579	0	0
ENSORLT00000000006.1	936	797.579	102	7.53199
ENSORLT00000000009.1	1271	1132.58	299	15.5484
ENSORLT00000000013.1	1707	1568.58	648.268	24.3406
ENSORLT00000000014.1	1062	923.579	31.7322	2.02353
ENSORLT00000000012.1	1495	1356.58	189	8.2054
ENSORLT00000000016.1	1239	1100.58	1	0.0535133
ENSORLT00000000022.1	1851	1712.58	0	0
ENSORLT00000000024.1	1770	1631.58	3	0.108292
ENSORLT00000000015.1	1368	1229.58	203	9.72351
ENSORLT00000000017.1	150	38.1822	106	163.504
ENSORLT00000000019.1	972	833.579	7.26975	0.513636
ENSORLT00000000021.1	2412	2273.58	1	0.0259044
ENSORLT00000000020.1	267	133.383	0	0
ENSORLT00000000023.1	375	237.542	0	0
ENSORLT00000000025.1	312	176.138	2	0.668743
ENSORLT00000000027.1	735	596.579	39.014	3.85155
ENSORLT00000000026.1	489	350.807	0	0
ENSORLT00000000028.1	987	848.579	82	5.69121
ENSORLT00000000031.1	4884	4745.58	211	2.61864
ENSORLT00000000030.1	750	611.579	4	0.385204
ENSORLT00000000032.1	726	587.579	16.1385	1.61764
ENSORLT00000000033.1	807	668.579	17.8615	1.57343
ENSORLT00000000034.1	1818	1679.58	205	7.18847
ENSORLT00000000039.1	3546	3407.58	790	13.6541
ENSORLT00000000036.1	2979	2840.58	558.411	11.5779
ENSORLT00000000038.1	2802	2663.58	872.589	19.2942
ENSORLT00000000037.1	1376	1237.58	3176	151.144
ENSORLT00000000040.1	126	23.8886	35.0707	86.4645
ENSORLT00000000041.1	756	617.579	471.319	44.9475
ENSORLT00000000042.1	1503	1364.58	767	33.104
ENSORLT00000000043.1	1311	1172.58	205.199	10.3066
ENSORLT00000000045.1	1911	1772.58	9.81729	0.326189
ENSORLT00000000046.1	1818	1679.58	19.1827	0.672656
ENSORLT00000000047.1	966	827.579	159	11.3154
ENSORLT00000000053.1	2118	1979.58	6	0.17851
ENSORLT00000000052.1	2925	2786.58	34	0.718606
ENSORLT00000000050.1	447	308.904	16	3.05056
ENSORLT00000000051.1	597	458.636	45	5.77867
ENSORLT00000000054.1	9129	8990.58	1379.43	9.03641
ENSORLT00000000055.1	1438	1299.58	3552.33	160.988
ENSORLT00000000060.1	2820	2681.58	284	6.23751
ENSORLT00000000058.1	1737	1598.58	8	0.29474
ENSORLT00000000059.1	561	422.767	0	0
ENSORLT00000000061.1	588	449.681	0	0
ENSORLT00000000062.1	2190	2051.58	375	10.7653
ENSORLT00000000063.1	1194	1055.58	96	5.35629
ENSORLT00000000064.1	585	446.681	0	0
ENSORLT00000000072.1	4620	4481.58	2	0.0262834
ENSORLT00000000066.1	416	278.08	2	0.423589
ENSORLT00000000067.1	1137	998.579	36	2.12326
ENSORLT00000000068.1	1154	1015.58	9	0.52193
ENSORLT00000000071.1	2130	1991.58	2	0.0591447
ENSORLT00000000073.1	1341	1202.58	0	0
ENSORLT00000000069.1	780	641.579	0	0
ENSORLT00000000070.1	768	629.579	0	0
ENSORLT00000000074.1	1482	1343.58	5	0.219175
ENSORLT00000000076.1	4947	4808.58	285	3.49069
ENSORLT00000000075.1	795	656.579	1	0.0897008
ENSORLT00000000077.1	2199	2060.58	131.277	3.75217
ENSORLT00000000078.1	1770	1631.58	57.0118	2.05797
ENSORLT00000000079.1	1827	1688.58	24.7114	0.861903
ENSORLT00000000080.1	504	365.807	60.3046	9.70916
